,token,chapter,verse,book
0,In,1,1,01-GEN
1,the,1,1,01-GEN
2,"beginning,",1,1,01-GEN
3,God,1,1,01-GEN
4,created,1,1,01-GEN
5,the,1,1,01-GEN
6,heavens,1,1,01-GEN
7,and,1,1,01-GEN
8,the,1,1,01-GEN
9,earth.,1,1,01-GEN
10,The,1,2,01-GEN
11,earth,1,2,01-GEN
12,was,1,2,01-GEN
13,without,1,2,01-GEN
14,form,1,2,01-GEN
15,and,1,2,01-GEN
16,empty.,1,2,01-GEN
17,Darkness,1,2,01-GEN
18,was,1,2,01-GEN
19,upon,1,2,01-GEN
20,the,1,2,01-GEN
21,surface,1,2,01-GEN
22,of,1,2,01-GEN
23,the,1,2,01-GEN
24,deep.,1,2,01-GEN
25,The,1,2,01-GEN
26,Spirit,1,2,01-GEN
27,of,1,2,01-GEN
28,God,1,2,01-GEN
29,was,1,2,01-GEN
30,moving,1,2,01-GEN
31,above,1,2,01-GEN
32,the,1,2,01-GEN
33,surface,1,2,01-GEN
34,of,1,2,01-GEN
35,the,1,2,01-GEN
36,waters.,1,2,01-GEN
37,God,1,3,01-GEN
38,"said,",1,3,01-GEN
39,“Let,1,3,01-GEN
40,there,1,3,01-GEN
41,be,1,3,01-GEN
42,"light,”",1,3,01-GEN
43,and,1,3,01-GEN
44,there,1,3,01-GEN
45,was,1,3,01-GEN
46,light.,1,3,01-GEN
47,God,1,4,01-GEN
48,saw,1,4,01-GEN
49,the,1,4,01-GEN
50,"light,",1,4,01-GEN
51,that,1,4,01-GEN
52,it,1,4,01-GEN
53,was,1,4,01-GEN
54,good.,1,4,01-GEN
55,He,1,4,01-GEN
56,divided,1,4,01-GEN
57,the,1,4,01-GEN
58,light,1,4,01-GEN
59,from,1,4,01-GEN
60,the,1,4,01-GEN
61,darkness.,1,4,01-GEN
62,God,1,5,01-GEN
63,called,1,5,01-GEN
64,the,1,5,01-GEN
65,light,1,5,01-GEN
66,"“day,”",1,5,01-GEN
67,and,1,5,01-GEN
68,the,1,5,01-GEN
69,darkness,1,5,01-GEN
70,he,1,5,01-GEN
71,called,1,5,01-GEN
72,“night.”,1,5,01-GEN
73,This,1,5,01-GEN
74,was,1,5,01-GEN
75,evening,1,5,01-GEN
76,and,1,5,01-GEN
77,"morning,",1,5,01-GEN
78,the,1,5,01-GEN
79,first,1,5,01-GEN
80,day.,1,5,01-GEN
81,\p,1,5,01-GEN
82,God,1,6,01-GEN
83,"said,",1,6,01-GEN
84,“Let,1,6,01-GEN
85,there,1,6,01-GEN
86,be,1,6,01-GEN
87,an,1,6,01-GEN
88,expanse,1,6,01-GEN
89,between,1,6,01-GEN
90,the,1,6,01-GEN
91,"waters,",1,6,01-GEN
92,and,1,6,01-GEN
93,let,1,6,01-GEN
94,it,1,6,01-GEN
95,divide,1,6,01-GEN
96,the,1,6,01-GEN
97,waters,1,6,01-GEN
98,from,1,6,01-GEN
99,the,1,6,01-GEN
100,waters.”,1,6,01-GEN
101,God,1,7,01-GEN
102,made,1,7,01-GEN
103,the,1,7,01-GEN
104,expanse,1,7,01-GEN
105,and,1,7,01-GEN
106,divided,1,7,01-GEN
107,the,1,7,01-GEN
108,waters,1,7,01-GEN
109,which,1,7,01-GEN
110,were,1,7,01-GEN
111,under,1,7,01-GEN
112,the,1,7,01-GEN
113,expanse,1,7,01-GEN
114,from,1,7,01-GEN
115,the,1,7,01-GEN
116,waters,1,7,01-GEN
117,which,1,7,01-GEN
118,were,1,7,01-GEN
119,above,1,7,01-GEN
120,the,1,7,01-GEN
121,expanse.,1,7,01-GEN
122,It,1,7,01-GEN
123,was,1,7,01-GEN
124,so.,1,7,01-GEN
125,God,1,8,01-GEN
126,called,1,8,01-GEN
127,the,1,8,01-GEN
128,expanse,1,8,01-GEN
129,“sky.”,1,8,01-GEN
130,This,1,8,01-GEN
131,was,1,8,01-GEN
132,evening,1,8,01-GEN
133,and,1,8,01-GEN
134,"morning,",1,8,01-GEN
135,the,1,8,01-GEN
136,second,1,8,01-GEN
137,day.,1,8,01-GEN
138,\p,1,8,01-GEN
139,God,1,9,01-GEN
140,"said,",1,9,01-GEN
141,“Let,1,9,01-GEN
142,the,1,9,01-GEN
143,waters,1,9,01-GEN
144,under,1,9,01-GEN
145,the,1,9,01-GEN
146,sky,1,9,01-GEN
147,be,1,9,01-GEN
148,gathered,1,9,01-GEN
149,together,1,9,01-GEN
150,to,1,9,01-GEN
151,one,1,9,01-GEN
