,token,chapter,verse,book
0,These,1,1,02-EXO
1,are,1,1,02-EXO
2,the,1,1,02-EXO
3,names,1,1,02-EXO
4,of,1,1,02-EXO
5,the,1,1,02-EXO
6,sons,1,1,02-EXO
7,of,1,1,02-EXO
8,Israel,1,1,02-EXO
9,who,1,1,02-EXO
10,came,1,1,02-EXO
11,into,1,1,02-EXO
12,Egypt,1,1,02-EXO
13,with,1,1,02-EXO
14,"Jacob,",1,1,02-EXO
15,each,1,1,02-EXO
16,with,1,1,02-EXO
17,his,1,1,02-EXO
18,household:,1,1,02-EXO
19,"Reuben,",1,2,02-EXO
20,"Simeon,",1,2,02-EXO
21,"Levi,",1,2,02-EXO
22,and,1,2,02-EXO
23,"Judah,",1,2,02-EXO
24,"Issachar,",1,3,02-EXO
25,"Zebulun,",1,3,02-EXO
26,and,1,3,02-EXO
27,"Benjamin,",1,3,02-EXO
28,"Dan,",1,4,02-EXO
29,"Naphtali,",1,4,02-EXO
30,"Gad,",1,4,02-EXO
31,and,1,4,02-EXO
32,Asher.,1,4,02-EXO
33,All,1,5,02-EXO
34,the,1,5,02-EXO
35,people,1,5,02-EXO
36,who,1,5,02-EXO
37,were,1,5,02-EXO
38,descendants,1,5,02-EXO
39,of,1,5,02-EXO
40,Jacob,1,5,02-EXO
41,were,1,5,02-EXO
42,seventy,1,5,02-EXO
43,in,1,5,02-EXO
44,number.,1,5,02-EXO
45,Joseph,1,5,02-EXO
46,was,1,5,02-EXO
47,already,1,5,02-EXO
48,in,1,5,02-EXO
49,Egypt.,1,5,02-EXO
50,Then,1,6,02-EXO
51,"Joseph,",1,6,02-EXO
52,all,1,6,02-EXO
53,his,1,6,02-EXO
54,"brothers,",1,6,02-EXO
55,and,1,6,02-EXO
56,all,1,6,02-EXO
57,that,1,6,02-EXO
58,generation,1,6,02-EXO
59,died.,1,6,02-EXO
60,The,1,7,02-EXO
61,Israelites,1,7,02-EXO
62,were,1,7,02-EXO
63,"fruitful,",1,7,02-EXO
64,increased,1,7,02-EXO
65,greatly,1,7,02-EXO
66,in,1,7,02-EXO
67,"numbers,",1,7,02-EXO
68,and,1,7,02-EXO
69,became,1,7,02-EXO
70,very,1,7,02-EXO
71,strong;,1,7,02-EXO
72,the,1,7,02-EXO
73,land,1,7,02-EXO
74,was,1,7,02-EXO
75,filled,1,7,02-EXO
76,with,1,7,02-EXO
77,them.,1,7,02-EXO
78,\p,1,7,02-EXO
79,Now,1,8,02-EXO
80,then,1,8,02-EXO
81,a,1,8,02-EXO
82,new,1,8,02-EXO
83,king,1,8,02-EXO
84,arose,1,8,02-EXO
85,over,1,8,02-EXO
86,"Egypt,",1,8,02-EXO
87,one,1,8,02-EXO
88,who,1,8,02-EXO
89,did,1,8,02-EXO
90,not,1,8,02-EXO
91,know,1,8,02-EXO
92,about,1,8,02-EXO
93,Joseph.,1,8,02-EXO
94,He,1,9,02-EXO
95,said,1,9,02-EXO
96,to,1,9,02-EXO
97,his,1,9,02-EXO
98,"people,",1,9,02-EXO
99,"“Look,",1,9,02-EXO
100,the,1,9,02-EXO
101,Israelites,1,9,02-EXO
102,are,1,9,02-EXO
103,more,1,9,02-EXO
104,numerous,1,9,02-EXO
105,and,1,9,02-EXO
106,stronger,1,9,02-EXO
107,than,1,9,02-EXO
108,we,1,9,02-EXO
109,are.,1,9,02-EXO
110,"Come,",1,10,02-EXO
111,let,1,10,02-EXO
112,us,1,10,02-EXO
113,deal,1,10,02-EXO
114,with,1,10,02-EXO
115,them,1,10,02-EXO
116,"wisely,",1,10,02-EXO
117,otherwise,1,10,02-EXO
118,they,1,10,02-EXO
119,will,1,10,02-EXO
120,continue,1,10,02-EXO
121,to,1,10,02-EXO
122,grow,1,10,02-EXO
123,in,1,10,02-EXO
124,"numbers,",1,10,02-EXO
125,and,1,10,02-EXO
126,if,1,10,02-EXO
127,war,1,10,02-EXO
128,breaks,1,10,02-EXO
129,"out,",1,10,02-EXO
130,they,1,10,02-EXO
131,will,1,10,02-EXO
132,join,1,10,02-EXO
133,our,1,10,02-EXO
134,"enemies,",1,10,02-EXO
135,fight,1,10,02-EXO
136,against,1,10,02-EXO
137,"us,",1,10,02-EXO
138,and,1,10,02-EXO
139,leave,1,10,02-EXO
140,the,1,10,02-EXO
141,land.”,1,10,02-EXO
142,So,1,11,02-EXO
143,they,1,11,02-EXO
144,put,1,11,02-EXO
145,taskmasters,1,11,02-EXO
146,over,1,11,02-EXO
147,them,1,11,02-EXO
148,to,1,11,02-EXO
149,oppress,1,11,02-EXO
150,them,1,11,02-EXO
151,with,1,11,02-EXO
152,hard,1,11,02-EXO
153,labor.,1,11,02-EXO
154,The,1,11,02-EXO
155,Israelites,1,11,02-EXO
156,built,1,11,02-EXO
157,store,1,11,02-EXO
158,cities,1,11,02-EXO
159,for,1,11,02-EXO
160,Pharaoh:,1,11,02-EXO
161,Pithom,1,11,02-EXO
162,and,1,11,02-EXO
163,Rameses.,1,11,02-EXO
164,But,1,12,02-EXO
165,the,1,12,02-EXO
166,more,1,12,02-EXO
167,the,1,12,02-EXO
168,Egyptians,1,12,02-EXO
169,oppressed,1,12,02-EXO
170,"them,",1,12,02-EXO
171,the,1,12,02-EXO
172,more,1,12,02-EXO
173,the,1,12,02-EXO
174,Israelites,1,12,02-EXO
175,increased,1,12,02-EXO
176,in,1,12,02-EXO
177,numbers,1,12,02-EXO
178,and,1,12,02-EXO
179,spread.,1,12,02-EXO
180,So,1,12,02-EXO
181,the,1,12,02-EXO
182,Egyptians,1,12,02-EXO
183,began,1,12,02-EXO
184,to,1,12,02-EXO
185,dread,1,12,02-EXO
186,the,1,12,02-EXO
187,Israelites.,1,12,02-EXO
188,The,1,13,02-EXO
189,Egyptians,1,13,02-EXO
190,made,1,13,02-EXO
191,the,1,13,02-EXO
192,Israelites,1,13,02-EXO
193,work,1,13,02-EXO
194,rigorously.,1,13,02-EXO
195,They,1,14,02-EXO
196,made,1,14,02-EXO
197,their,1,14,02-EXO
198,lives,1,14,02-EXO
199,bitter,1,14,02-EXO
200,with,1,14,02-EXO
201,hard,1,14,02-EXO
202,service,1,14,02-EXO
203,with,1,14,02-EXO
204,mortar,1,14,02-EXO
205,and,1,14,02-EXO
206,"brick,",1,14,02-EXO
207,and,1,14,02-EXO
208,with,1,14,02-EXO
209,all,1,14,02-EXO
210,kinds,1,14,02-EXO
211,of,1,14,02-EXO
212,work,1,14,02-EXO
213,in,1,14,02-EXO
214,the,1,14,02-EXO
215,fields.,1,14,02-EXO
216,All,1,14,02-EXO
217,their,1,14,02-EXO
218,required,1,14,02-EXO
219,work,1,14,02-EXO
220,was,1,14,02-EXO
221,hard.,1,14,02-EXO
222,\p,1,14,02-EXO
223,Then,1,15,02-EXO
224,the,1,15,02-EXO
225,king,1,15,02-EXO
226,of,1,15,02-EXO
227,Egypt,1,15,02-EXO
228,spoke,1,15,02-EXO
229,to,1,15,02-EXO
230,the,1,15,02-EXO
231,Hebrew,1,15,02-EXO
232,midwives;,1,15,02-EXO
