,token,chapter,verse,book
0,Yahweh,1,1,03-LEV
1,called,1,1,03-LEV
2,to,1,1,03-LEV
3,Moses,1,1,03-LEV
4,and,1,1,03-LEV
5,spoke,1,1,03-LEV
6,to,1,1,03-LEV
7,him,1,1,03-LEV
8,from,1,1,03-LEV
9,the,1,1,03-LEV
10,tent,1,1,03-LEV
11,of,1,1,03-LEV
12,"meeting,",1,1,03-LEV
13,"saying,",1,1,03-LEV
14,“Speak,1,2,03-LEV
15,to,1,2,03-LEV
16,the,1,2,03-LEV
17,people,1,2,03-LEV
18,of,1,2,03-LEV
19,Israel,1,2,03-LEV
20,and,1,2,03-LEV
21,tell,1,2,03-LEV
22,"them,",1,2,03-LEV
23,‘When,1,2,03-LEV
24,any,1,2,03-LEV
25,man,1,2,03-LEV
26,from,1,2,03-LEV
27,among,1,2,03-LEV
28,you,1,2,03-LEV
29,brings,1,2,03-LEV
30,an,1,2,03-LEV
31,offering,1,2,03-LEV
32,to,1,2,03-LEV
33,"Yahweh,",1,2,03-LEV
34,bring,1,2,03-LEV
35,as,1,2,03-LEV
36,your,1,2,03-LEV
37,offering,1,2,03-LEV
38,one,1,2,03-LEV
39,of,1,2,03-LEV
40,your,1,2,03-LEV
41,"animals,",1,2,03-LEV
42,either,1,2,03-LEV
43,from,1,2,03-LEV
44,the,1,2,03-LEV
45,herd,1,2,03-LEV
46,or,1,2,03-LEV
47,from,1,2,03-LEV
48,the,1,2,03-LEV
49,flock.,1,2,03-LEV
50,\p,1,2,03-LEV
51,If,1,3,03-LEV
52,his,1,3,03-LEV
53,offering,1,3,03-LEV
54,is,1,3,03-LEV
55,a,1,3,03-LEV
56,burnt,1,3,03-LEV
57,offering,1,3,03-LEV
58,from,1,3,03-LEV
59,the,1,3,03-LEV
60,"herd,",1,3,03-LEV
61,he,1,3,03-LEV
62,must,1,3,03-LEV
63,offer,1,3,03-LEV
64,a,1,3,03-LEV
65,male,1,3,03-LEV
66,without,1,3,03-LEV
67,blemish.,1,3,03-LEV
68,He,1,3,03-LEV
69,is,1,3,03-LEV
70,to,1,3,03-LEV
71,offer,1,3,03-LEV
72,it,1,3,03-LEV
73,at,1,3,03-LEV
74,the,1,3,03-LEV
75,entrance,1,3,03-LEV
76,of,1,3,03-LEV
77,the,1,3,03-LEV
78,tent,1,3,03-LEV
79,of,1,3,03-LEV
80,"meeting,",1,3,03-LEV
81,so,1,3,03-LEV
82,that,1,3,03-LEV
83,it,1,3,03-LEV
84,may,1,3,03-LEV
85,be,1,3,03-LEV
86,accepted,1,3,03-LEV
87,before,1,3,03-LEV
88,Yahweh.,1,3,03-LEV
89,He,1,4,03-LEV
