,token,chapter,verse,book
0,Yahweh,1,1,04-NUM
1,spoke,1,1,04-NUM
2,to,1,1,04-NUM
3,Moses,1,1,04-NUM
4,in,1,1,04-NUM
5,the,1,1,04-NUM
6,tent,1,1,04-NUM
7,of,1,1,04-NUM
8,meeting,1,1,04-NUM
9,in,1,1,04-NUM
10,the,1,1,04-NUM
11,wilderness,1,1,04-NUM
12,of,1,1,04-NUM
13,Sinai.,1,1,04-NUM
14,This,1,1,04-NUM
15,happened,1,1,04-NUM
16,on,1,1,04-NUM
17,the,1,1,04-NUM
18,first,1,1,04-NUM
19,day,1,1,04-NUM
20,of,1,1,04-NUM
21,the,1,1,04-NUM
22,second,1,1,04-NUM
23,month,1,1,04-NUM
24,during,1,1,04-NUM
25,the,1,1,04-NUM
26,second,1,1,04-NUM
27,year,1,1,04-NUM
28,after,1,1,04-NUM
29,the,1,1,04-NUM
30,people,1,1,04-NUM
31,of,1,1,04-NUM
32,Israel,1,1,04-NUM
33,had,1,1,04-NUM
34,come,1,1,04-NUM
35,out,1,1,04-NUM
36,from,1,1,04-NUM
37,the,1,1,04-NUM
38,land,1,1,04-NUM
39,of,1,1,04-NUM
40,Egypt.,1,1,04-NUM
41,Yahweh,1,1,04-NUM
42,"said,",1,1,04-NUM
43,“Conduct,1,2,04-NUM
44,a,1,2,04-NUM
45,census,1,2,04-NUM
46,of,1,2,04-NUM
47,all,1,2,04-NUM
48,the,1,2,04-NUM
49,men,1,2,04-NUM
50,of,1,2,04-NUM
51,Israel,1,2,04-NUM
52,in,1,2,04-NUM
53,each,1,2,04-NUM
54,"clan,",1,2,04-NUM
55,in,1,2,04-NUM
56,their,1,2,04-NUM
57,fathers’,1,2,04-NUM
58,families.,1,2,04-NUM
59,Count,1,2,04-NUM
60,them,1,2,04-NUM
61,by,1,2,04-NUM
62,name.,1,2,04-NUM
63,Count,1,2,04-NUM
64,every,1,2,04-NUM
65,"male,",1,2,04-NUM
66,each,1,2,04-NUM
67,man,1,2,04-NUM
68,who,1,3,04-NUM
69,is,1,3,04-NUM
70,twenty,1,3,04-NUM
71,years,1,3,04-NUM
72,old,1,3,04-NUM
73,or,1,3,04-NUM
74,older.,1,3,04-NUM
75,Count,1,3,04-NUM
76,all,1,3,04-NUM
77,who,1,3,04-NUM
78,can,1,3,04-NUM
79,fight,1,3,04-NUM
80,as,1,3,04-NUM
81,soldiers,1,3,04-NUM
82,for,1,3,04-NUM
83,Israel.,1,3,04-NUM
84,You,1,3,04-NUM
85,and,1,3,04-NUM
86,Aaron,1,3,04-NUM
87,must,1,3,04-NUM
88,record,1,3,04-NUM
89,the,1,3,04-NUM
90,number,1,3,04-NUM
91,of,1,3,04-NUM
92,men,1,3,04-NUM
93,in,1,3,04-NUM
94,their,1,3,04-NUM
95,armed,1,3,04-NUM
96,groups.,1,3,04-NUM
97,A,1,4,04-NUM
98,man,1,4,04-NUM
99,from,1,4,04-NUM
100,each,1,4,04-NUM
101,"tribe,",1,4,04-NUM
102,a,1,4,04-NUM
103,clan,1,4,04-NUM
104,"head,",1,4,04-NUM
105,must,1,4,04-NUM
106,serve,1,4,04-NUM
107,with,1,4,04-NUM
108,you,1,4,04-NUM
109,as,1,4,04-NUM
110,his,1,4,04-NUM
111,tribe’s,1,4,04-NUM
112,leader.,1,4,04-NUM
113,Each,1,4,04-NUM
114,leader,1,4,04-NUM
115,must,1,4,04-NUM
116,lead,1,4,04-NUM
117,the,1,4,04-NUM
118,men,1,4,04-NUM
119,who,1,4,04-NUM
120,will,1,4,04-NUM
121,fight,1,4,04-NUM
122,for,1,4,04-NUM
123,his,1,4,04-NUM
124,tribe.,1,4,04-NUM
125,These,1,5,04-NUM
126,are,1,5,04-NUM
127,the,1,5,04-NUM
128,names,1,5,04-NUM
129,of,1,5,04-NUM
130,the,1,5,04-NUM
131,leaders,1,5,04-NUM
132,who,1,5,04-NUM
133,must,1,5,04-NUM
134,fight,1,5,04-NUM
135,with,1,5,04-NUM
136,you:,1,5,04-NUM
137,\q1,1,5,04-NUM
138,From,1,5,04-NUM
139,the,1,5,04-NUM
140,tribe,1,5,04-NUM
141,of,1,5,04-NUM
142,"Reuben,",1,5,04-NUM
143,Elizur,1,5,04-NUM
144,son,1,5,04-NUM
145,of,1,5,04-NUM
146,Shedeur;,1,5,04-NUM
147,\q1,1,5,04-NUM
148,from,1,6,04-NUM
149,the,1,6,04-NUM
150,tribe,1,6,04-NUM
151,of,1,6,04-NUM
152,"Simeon,",1,6,04-NUM
153,Shelumiel,1,6,04-NUM
154,son,1,6,04-NUM
155,of,1,6,04-NUM
156,Zurishaddai;,1,6,04-NUM
157,\q1,1,6,04-NUM
158,from,1,7,04-NUM
159,the,1,7,04-NUM
160,tribe,1,7,04-NUM
161,of,1,7,04-NUM
162,"Judah,",1,7,04-NUM
163,Nahshon,1,7,04-NUM
164,son,1,7,04-NUM
165,of,1,7,04-NUM
166,Amminadab;,1,7,04-NUM
167,\q1,1,7,04-NUM
168,from,1,8,04-NUM
169,the,1,8,04-NUM
170,tribe,1,8,04-NUM
171,of,1,8,04-NUM
172,"Issachar,",1,8,04-NUM
173,Nethanel,1,8,04-NUM
174,son,1,8,04-NUM
175,of,1,8,04-NUM
176,Zuar;,1,8,04-NUM
177,\q1,1,8,04-NUM
178,from,1,9,04-NUM
179,the,1,9,04-NUM
180,tribe,1,9,04-NUM
181,of,1,9,04-NUM
182,"Zebulun,",1,9,04-NUM
183,Eliab,1,9,04-NUM
