,token,chapter,verse,book
0,These,1,1,05-DEU
1,are,1,1,05-DEU
2,the,1,1,05-DEU
3,words,1,1,05-DEU
4,that,1,1,05-DEU
5,Moses,1,1,05-DEU
6,spoke,1,1,05-DEU
7,to,1,1,05-DEU
8,all,1,1,05-DEU
9,Israel,1,1,05-DEU
10,beyond,1,1,05-DEU
11,the,1,1,05-DEU
12,Jordan,1,1,05-DEU
13,in,1,1,05-DEU
14,the,1,1,05-DEU
15,"wilderness,",1,1,05-DEU
16,in,1,1,05-DEU
17,the,1,1,05-DEU
18,plain,1,1,05-DEU
19,of,1,1,05-DEU
20,the,1,1,05-DEU
21,Jordan,1,1,05-DEU
22,River,1,1,05-DEU
23,valley,1,1,05-DEU
24,over,1,1,05-DEU
25,against,1,1,05-DEU
26,"Suph,",1,1,05-DEU
27,between,1,1,05-DEU
28,"Paran,",1,1,05-DEU
29,"Tophel,",1,1,05-DEU
30,"Laban,",1,1,05-DEU
31,"Hazeroth,",1,1,05-DEU
32,and,1,1,05-DEU
33,Dizahab.,1,1,05-DEU
34,It,1,2,05-DEU
35,is,1,2,05-DEU
36,eleven,1,2,05-DEU
37,days’,1,2,05-DEU
38,journey,1,2,05-DEU
39,from,1,2,05-DEU
40,Horeb,1,2,05-DEU
41,by,1,2,05-DEU
42,the,1,2,05-DEU
43,way,1,2,05-DEU
44,of,1,2,05-DEU
45,Mount,1,2,05-DEU
46,Seir,1,2,05-DEU
47,to,1,2,05-DEU
48,Kadesh,1,2,05-DEU
49,Barnea.,1,2,05-DEU
50,It,1,3,05-DEU
51,happened,1,3,05-DEU
52,in,1,3,05-DEU
53,the,1,3,05-DEU
54,fortieth,1,3,05-DEU
55,"year,",1,3,05-DEU
56,in,1,3,05-DEU
57,the,1,3,05-DEU
58,eleventh,1,3,05-DEU
59,"month,",1,3,05-DEU
60,on,1,3,05-DEU
61,the,1,3,05-DEU
62,first,1,3,05-DEU
63,day,1,3,05-DEU
64,of,1,3,05-DEU
65,the,1,3,05-DEU
66,"month,",1,3,05-DEU
67,that,1,3,05-DEU
68,Moses,1,3,05-DEU
69,spoke,1,3,05-DEU
70,to,1,3,05-DEU
71,the,1,3,05-DEU
72,people,1,3,05-DEU
73,of,1,3,05-DEU
74,"Israel,",1,3,05-DEU
75,telling,1,3,05-DEU
76,them,1,3,05-DEU
77,all,1,3,05-DEU
78,that,1,3,05-DEU
79,Yahweh,1,3,05-DEU
80,commanded,1,3,05-DEU
81,him,1,3,05-DEU
82,concerning,1,3,05-DEU
83,them.,1,3,05-DEU
84,This,1,4,05-DEU
85,was,1,4,05-DEU
86,after,1,4,05-DEU
87,Yahweh,1,4,05-DEU
88,had,1,4,05-DEU
89,attacked,1,4,05-DEU
90,Sihon,1,4,05-DEU
91,the,1,4,05-DEU
92,king,1,4,05-DEU
93,of,1,4,05-DEU
94,the,1,4,05-DEU
95,"Amorites,",1,4,05-DEU
96,who,1,4,05-DEU
97,lived,1,4,05-DEU
98,in,1,4,05-DEU
99,"Heshbon,",1,4,05-DEU
100,and,1,4,05-DEU
101,Og,1,4,05-DEU
102,the,1,4,05-DEU
103,king,1,4,05-DEU
104,of,1,4,05-DEU
105,"Bashan,",1,4,05-DEU
106,who,1,4,05-DEU
107,lived,1,4,05-DEU
108,in,1,4,05-DEU
109,Ashtaroth,1,4,05-DEU
110,at,1,4,05-DEU
111,Edrei.,1,4,05-DEU
112,Beyond,1,5,05-DEU
113,the,1,5,05-DEU
114,"Jordan,",1,5,05-DEU
115,in,1,5,05-DEU
116,the,1,5,05-DEU
117,land,1,5,05-DEU
118,of,1,5,05-DEU
119,"Moab,",1,5,05-DEU
120,Moses,1,5,05-DEU
121,began,1,5,05-DEU
122,to,1,5,05-DEU
123,announce,1,5,05-DEU
124,these,1,5,05-DEU
125,"instructions,",1,5,05-DEU
126,"saying,",1,5,05-DEU
127,“Yahweh,1,6,05-DEU
128,our,1,6,05-DEU
129,God,1,6,05-DEU
130,spoke,1,6,05-DEU
131,to,1,6,05-DEU
132,us,1,6,05-DEU
133,at,1,6,05-DEU
134,"Horeb,",1,6,05-DEU
135,"saying,",1,6,05-DEU
136,‘You,1,6,05-DEU
137,have,1,6,05-DEU
138,lived,1,6,05-DEU
139,long,1,6,05-DEU
140,enough,1,6,05-DEU
141,in,1,6,05-DEU
142,this,1,6,05-DEU
143,hill,1,6,05-DEU
144,country.,1,6,05-DEU
145,Turn,1,7,05-DEU
146,and,1,7,05-DEU
147,take,1,7,05-DEU
148,your,1,7,05-DEU
149,"journey,",1,7,05-DEU
150,and,1,7,05-DEU
151,go,1,7,05-DEU
152,to,1,7,05-DEU
153,the,1,7,05-DEU
154,hill,1,7,05-DEU
155,country,1,7,05-DEU
156,of,1,7,05-DEU
157,the,1,7,05-DEU
158,Amorites,1,7,05-DEU
159,and,1,7,05-DEU
160,to,1,7,05-DEU
161,all,1,7,05-DEU
162,the,1,7,05-DEU
163,places,1,7,05-DEU
164,near,1,7,05-DEU
165,there,1,7,05-DEU
166,in,1,7,05-DEU
167,the,1,7,05-DEU
168,plain,1,7,05-DEU
169,of,1,7,05-DEU
170,the,1,7,05-DEU
171,Jordan,1,7,05-DEU
172,River,1,7,05-DEU
173,"valley,",1,7,05-DEU
174,in,1,7,05-DEU
175,the,1,7,05-DEU
176,hill,1,7,05-DEU
177,"country,",1,7,05-DEU
178,in,1,7,05-DEU
179,the,1,7,05-DEU
180,"lowland,",1,7,05-DEU
181,in,1,7,05-DEU
182,the,1,7,05-DEU
183,"Negev,",1,7,05-DEU
184,and,1,7,05-DEU
185,by,1,7,05-DEU
186,the,1,7,05-DEU
187,seashore—the,1,7,05-DEU
188,land,1,7,05-DEU
189,of,1,7,05-DEU
190,the,1,7,05-DEU
191,"Canaanites,",1,7,05-DEU
192,and,1,7,05-DEU
193,in,1,7,05-DEU
194,Lebanon,1,7,05-DEU
195,as,1,7,05-DEU
196,far,1,7,05-DEU
197,as,1,7,05-DEU
198,the,1,7,05-DEU
199,great,1,7,05-DEU
200,"river,",1,7,05-DEU
201,the,1,7,05-DEU
202,Euphrates.,1,7,05-DEU
203,"Look,",1,8,05-DEU
204,I,1,8,05-DEU
205,have,1,8,05-DEU
206,set,1,8,05-DEU
207,the,1,8,05-DEU
208,land,1,8,05-DEU
209,before,1,8,05-DEU
210,you;,1,8,05-DEU
211,go,1,8,05-DEU
212,in,1,8,05-DEU
213,and,1,8,05-DEU
214,possess,1,8,05-DEU
215,the,1,8,05-DEU
216,land,1,8,05-DEU
217,that,1,8,05-DEU
218,Yahweh,1,8,05-DEU
219,swore,1,8,05-DEU
220,to,1,8,05-DEU
221,your,1,8,05-DEU
222,fathers—to,1,8,05-DEU
223,"Abraham,",1,8,05-DEU
224,to,1,8,05-DEU
225,"Isaac,",1,8,05-DEU
226,and,1,8,05-DEU
227,to,1,8,05-DEU
228,Jacob—to,1,8,05-DEU
229,give,1,8,05-DEU
230,to,1,8,05-DEU
231,them,1,8,05-DEU
232,and,1,8,05-DEU
233,to,1,8,05-DEU
234,their,1,8,05-DEU
235,descendants,1,8,05-DEU
236,after,1,8,05-DEU
237,them.’,1,8,05-DEU
238,\p,1,8,05-DEU
239,I,1,9,05-DEU
240,spoke,1,9,05-DEU
241,to,1,9,05-DEU
242,you,1,9,05-DEU
243,at,1,9,05-DEU
244,that,1,9,05-DEU
245,"time,",1,9,05-DEU
246,"saying,",1,9,05-DEU
247,‘I,1,9,05-DEU
248,am,1,9,05-DEU
249,not,1,9,05-DEU
250,able,1,9,05-DEU
251,to,1,9,05-DEU
252,carry,1,9,05-DEU
253,you,1,9,05-DEU
254,myself,1,9,05-DEU
255,alone.,1,9,05-DEU
256,Yahweh,1,10,05-DEU
257,your,1,10,05-DEU
258,God,1,10,05-DEU
259,has,1,10,05-DEU
260,multiplied,1,10,05-DEU
261,"you,",1,10,05-DEU
262,"and,",1,10,05-DEU
263,"look,",1,10,05-DEU
264,you,1,10,05-DEU
265,are,1,10,05-DEU
266,today,1,10,05-DEU
267,as,1,10,05-DEU
268,the,1,10,05-DEU
269,multitude,1,10,05-DEU
270,of,1,10,05-DEU
271,the,1,10,05-DEU
272,stars,1,10,05-DEU
273,of,1,10,05-DEU
274,heaven.,1,10,05-DEU
275,May,1,11,05-DEU
276,"Yahweh,",1,11,05-DEU
277,the,1,11,05-DEU
278,God,1,11,05-DEU
279,of,1,11,05-DEU
280,your,1,11,05-DEU
281,"fathers,",1,11,05-DEU
282,make,1,11,05-DEU
