,token,chapter,verse,book
0,There,1,1,09-1SA
1,was,1,1,09-1SA
2,a,1,1,09-1SA
3,certain,1,1,09-1SA
4,man,1,1,09-1SA
5,of,1,1,09-1SA
6,Ramathaim,1,1,09-1SA
7,of,1,1,09-1SA
8,the,1,1,09-1SA
9,"Zuphites,",1,1,09-1SA
10,of,1,1,09-1SA
11,the,1,1,09-1SA
12,hill,1,1,09-1SA
13,country,1,1,09-1SA
14,of,1,1,09-1SA
15,Ephraim;,1,1,09-1SA
16,his,1,1,09-1SA
17,name,1,1,09-1SA
18,was,1,1,09-1SA
19,Elkanah,1,1,09-1SA
20,son,1,1,09-1SA
21,of,1,1,09-1SA
22,Jeroham,1,1,09-1SA
23,son,1,1,09-1SA
24,of,1,1,09-1SA
25,Elihu,1,1,09-1SA
26,son,1,1,09-1SA
27,of,1,1,09-1SA
28,Tohu,1,1,09-1SA
29,son,1,1,09-1SA
30,of,1,1,09-1SA
31,"Zuph,",1,1,09-1SA
32,an,1,1,09-1SA
33,Ephraimite.,1,1,09-1SA
34,\f,1,1,09-1SA
35,+,1,1,09-1SA
36,Some,1,1,09-1SA
37,modern,1,1,09-1SA
38,versions,1,1,09-1SA
39,have,1,1,09-1SA
40,\fqa,1,1,09-1SA
41,Ramathaim,1,1,09-1SA
42,"Zophim,",1,1,09-1SA
43,\fqa*,1,1,09-1SA
44,but,1,1,09-1SA
45,it,1,1,09-1SA
46,is,1,1,09-1SA
47,understood,1,1,09-1SA
48,that,1,1,09-1SA
49,\fqa,1,1,09-1SA
50,Zophim,1,1,09-1SA
51,\fqa*,1,1,09-1SA
52,really,1,1,09-1SA
53,refers,1,1,09-1SA
54,to,1,1,09-1SA
55,the,1,1,09-1SA
56,region,1,1,09-1SA
57,in,1,1,09-1SA
58,which,1,1,09-1SA
59,the,1,1,09-1SA
60,clan,1,1,09-1SA
61,descended,1,1,09-1SA
62,from,1,1,09-1SA
63,Zuph,1,1,09-1SA
64,resided.,1,1,09-1SA
65,\f*,1,1,09-1SA
66,He,1,2,09-1SA
67,had,1,2,09-1SA
68,two,1,2,09-1SA
69,wives;,1,2,09-1SA
70,the,1,2,09-1SA
71,name,1,2,09-1SA
72,of,1,2,09-1SA
73,the,1,2,09-1SA
74,first,1,2,09-1SA
75,was,1,2,09-1SA
76,"Hannah,",1,2,09-1SA
77,and,1,2,09-1SA
78,the,1,2,09-1SA
79,name,1,2,09-1SA
80,of,1,2,09-1SA
81,the,1,2,09-1SA
82,second,1,2,09-1SA
83,was,1,2,09-1SA
84,Peninnah.,1,2,09-1SA
85,Peninnah,1,2,09-1SA
86,had,1,2,09-1SA
87,"children,",1,2,09-1SA
88,but,1,2,09-1SA
89,Hannah,1,2,09-1SA
90,had,1,2,09-1SA
91,none.,1,2,09-1SA
92,This,1,3,09-1SA
93,man,1,3,09-1SA
94,went,1,3,09-1SA
95,from,1,3,09-1SA
96,his,1,3,09-1SA
97,city,1,3,09-1SA
98,year,1,3,09-1SA
99,after,1,3,09-1SA
100,year,1,3,09-1SA
101,to,1,3,09-1SA
102,worship,1,3,09-1SA
103,and,1,3,09-1SA
104,to,1,3,09-1SA
105,sacrifice,1,3,09-1SA
106,to,1,3,09-1SA
107,Yahweh,1,3,09-1SA
108,of,1,3,09-1SA
109,hosts,1,3,09-1SA
110,in,1,3,09-1SA
111,Shiloh.,1,3,09-1SA
112,The,1,3,09-1SA
113,two,1,3,09-1SA
114,sons,1,3,09-1SA
115,of,1,3,09-1SA
116,"Eli,",1,3,09-1SA
117,Hophni,1,3,09-1SA
118,and,1,3,09-1SA
119,"Phinehas,",1,3,09-1SA
120,priests,1,3,09-1SA
121,to,1,3,09-1SA
122,"Yahweh,",1,3,09-1SA
123,were,1,3,09-1SA
124,there.,1,3,09-1SA
125,When,1,4,09-1SA
126,the,1,4,09-1SA
127,day,1,4,09-1SA
128,came,1,4,09-1SA
129,for,1,4,09-1SA
130,Elkanah,1,4,09-1SA
131,to,1,4,09-1SA
132,sacrifice,1,4,09-1SA
133,each,1,4,09-1SA
134,"year,",1,4,09-1SA
135,he,1,4,09-1SA
136,always,1,4,09-1SA
137,gave,1,4,09-1SA
138,portions,1,4,09-1SA
139,of,1,4,09-1SA
140,the,1,4,09-1SA
141,meat,1,4,09-1SA
142,to,1,4,09-1SA
143,Peninnah,1,4,09-1SA
144,his,1,4,09-1SA
145,"wife,",1,4,09-1SA
146,and,1,4,09-1SA
147,to,1,4,09-1SA
148,all,1,4,09-1SA
149,her,1,4,09-1SA
150,sons,1,4,09-1SA
151,and,1,4,09-1SA
152,her,1,4,09-1SA
153,daughters.,1,4,09-1SA
154,But,1,5,09-1SA
155,to,1,5,09-1SA
156,Hannah,1,5,09-1SA
157,he,1,5,09-1SA
158,always,1,5,09-1SA
159,gave,1,5,09-1SA
160,a,1,5,09-1SA
161,double,1,5,09-1SA
162,"portion,",1,5,09-1SA
163,for,1,5,09-1SA
164,he,1,5,09-1SA
165,loved,1,5,09-1SA
166,"Hannah,",1,5,09-1SA
167,although,1,5,09-1SA
168,Yahweh,1,5,09-1SA
169,had,1,5,09-1SA
170,closed,1,5,09-1SA
171,her,1,5,09-1SA
172,womb.,1,5,09-1SA
173,Her,1,6,09-1SA
174,rival,1,6,09-1SA
175,provoked,1,6,09-1SA
176,her,1,6,09-1SA
177,severely,1,6,09-1SA
178,in,1,6,09-1SA
179,order,1,6,09-1SA
180,to,1,6,09-1SA
181,irritate,1,6,09-1SA
182,"her,",1,6,09-1SA
183,because,1,6,09-1SA
184,Yahweh,1,6,09-1SA
185,had,1,6,09-1SA
186,closed,1,6,09-1SA
187,her,1,6,09-1SA
188,womb.,1,6,09-1SA
189,So,1,7,09-1SA
190,year,1,7,09-1SA
191,after,1,7,09-1SA
192,"year,",1,7,09-1SA
193,when,1,7,09-1SA
194,she,1,7,09-1SA
195,went,1,7,09-1SA
196,up,1,7,09-1SA
197,to,1,7,09-1SA
198,the,1,7,09-1SA
199,house,1,7,09-1SA
200,of,1,7,09-1SA
201,Yahweh,1,7,09-1SA
202,with,1,7,09-1SA
203,her,1,7,09-1SA
204,"family,",1,7,09-1SA
205,her,1,7,09-1SA
206,rival,1,7,09-1SA
207,always,1,7,09-1SA
208,provoked,1,7,09-1SA
209,her.,1,7,09-1SA
210,Therefore,1,7,09-1SA
211,she,1,7,09-1SA
212,used,1,7,09-1SA
213,to,1,7,09-1SA
214,weep,1,7,09-1SA
215,and,1,7,09-1SA
216,eat,1,7,09-1SA
217,nothing.,1,7,09-1SA
218,Elkanah,1,8,09-1SA
219,her,1,8,09-1SA
220,husband,1,8,09-1SA
221,always,1,8,09-1SA
222,said,1,8,09-1SA
223,to,1,8,09-1SA
224,"her,",1,8,09-1SA
225,"“Hannah,",1,8,09-1SA
226,why,1,8,09-1SA
227,do,1,8,09-1SA
228,you,1,8,09-1SA
229,weep?,1,8,09-1SA
230,Why,1,8,09-1SA
231,do,1,8,09-1SA
232,you,1,8,09-1SA
233,not,1,8,09-1SA
234,eat?,1,8,09-1SA
235,Why,1,8,09-1SA
236,is,1,8,09-1SA
237,your,1,8,09-1SA
238,heart,1,8,09-1SA
239,sad?,1,8,09-1SA
240,Am,1,8,09-1SA
241,I,1,8,09-1SA
242,not,1,8,09-1SA
243,better,1,8,09-1SA
244,to,1,8,09-1SA
245,you,1,8,09-1SA
246,than,1,8,09-1SA
247,ten,1,8,09-1SA
248,sons?”,1,8,09-1SA
249,\p,1,8,09-1SA
250,On,1,9,09-1SA
251,one,1,9,09-1SA
252,of,1,9,09-1SA
253,these,1,9,09-1SA
254,"occasions,",1,9,09-1SA
255,Hannah,1,9,09-1SA
256,rose,1,9,09-1SA
257,up,1,9,09-1SA
258,after,1,9,09-1SA
259,they,1,9,09-1SA
260,had,1,9,09-1SA
261,finished,1,9,09-1SA
262,eating,1,9,09-1SA
263,and,1,9,09-1SA
264,drinking,1,9,09-1SA
265,in,1,9,09-1SA
266,Shiloh.,1,9,09-1SA
267,Now,1,9,09-1SA
268,Eli,1,9,09-1SA
269,the,1,9,09-1SA
270,priest,1,9,09-1SA
271,was,1,9,09-1SA
272,sitting,1,9,09-1SA
273,upon,1,9,09-1SA
274,his,1,9,09-1SA
275,seat,1,9,09-1SA
276,by,1,9,09-1SA
277,the,1,9,09-1SA
278,doorway,1,9,09-1SA
279,to,1,9,09-1SA
280,the,1,9,09-1SA
281,temple,1,9,09-1SA
282,of,1,9,09-1SA
283,Yahweh.,1,9,09-1SA
284,She,1,10,09-1SA
285,was,1,10,09-1SA
286,deeply,1,10,09-1SA
287,distressed;,1,10,09-1SA
288,she,1,10,09-1SA
289,prayed,1,10,09-1SA
290,to,1,10,09-1SA
291,Yahweh,1,10,09-1SA
292,and,1,10,09-1SA
293,wept,1,10,09-1SA
294,bitterly.,1,10,09-1SA
295,She,1,11,09-1SA
296,made,1,11,09-1SA
297,a,1,11,09-1SA
298,vow,1,11,09-1SA
299,and,1,11,09-1SA
300,"said,",1,11,09-1SA
301,“Yahweh,1,11,09-1SA
302,of,1,11,09-1SA
303,"hosts,",1,11,09-1SA
304,if,1,11,09-1SA
305,you,1,11,09-1SA
306,will,1,11,09-1SA
307,look,1,11,09-1SA
308,on,1,11,09-1SA
309,the,1,11,09-1SA
310,affliction,1,11,09-1SA
311,of,1,11,09-1SA
312,your,1,11,09-1SA
313,servant,1,11,09-1SA
314,and,1,11,09-1SA
315,call,1,11,09-1SA
316,me,1,11,09-1SA
317,to,1,11,09-1SA
318,"mind,",1,11,09-1SA
319,and,1,11,09-1SA
320,do,1,11,09-1SA
321,not,1,11,09-1SA
322,forget,1,11,09-1SA
323,your,1,11,09-1SA
324,"servant,",1,11,09-1SA
325,but,1,11,09-1SA
326,give,1,11,09-1SA
327,your,1,11,09-1SA
328,servant,1,11,09-1SA
329,a,1,11,09-1SA
330,"son,",1,11,09-1SA
331,then,1,11,09-1SA
332,I,1,11,09-1SA
333,will,1,11,09-1SA
334,give,1,11,09-1SA
335,him,1,11,09-1SA
336,to,1,11,09-1SA
337,Yahweh,1,11,09-1SA
338,all,1,11,09-1SA
339,the,1,11,09-1SA
340,days,1,11,09-1SA
341,of,1,11,09-1SA
342,his,1,11,09-1SA
343,"life,",1,11,09-1SA
344,and,1,11,09-1SA
345,no,1,11,09-1SA
346,razor,1,11,09-1SA
347,will,1,11,09-1SA
348,ever,1,11,09-1SA
349,touch,1,11,09-1SA
350,his,1,11,09-1SA
351,head.”,1,11,09-1SA
352,\p,1,11,09-1SA
353,As,1,12,09-1SA
354,she,1,12,09-1SA
355,continued,1,12,09-1SA
356,praying,1,12,09-1SA
357,before,1,12,09-1SA
358,"Yahweh,",1,12,09-1SA
359,Eli,1,12,09-1SA
360,watched,1,12,09-1SA
361,her,1,12,09-1SA
362,mouth.,1,12,09-1SA
363,Hannah,1,13,09-1SA
364,spoke,1,13,09-1SA
365,in,1,13,09-1SA
366,her,1,13,09-1SA
367,heart.,1,13,09-1SA
368,Her,1,13,09-1SA
369,lips,1,13,09-1SA
370,"moved,",1,13,09-1SA
371,but,1,13,09-1SA
372,her,1,13,09-1SA
373,voice,1,13,09-1SA
374,was,1,13,09-1SA
375,not,1,13,09-1SA
376,heard.,1,13,09-1SA
377,Therefore,1,13,09-1SA
378,Eli,1,13,09-1SA
379,thought,1,13,09-1SA
380,she,1,13,09-1SA
381,was,1,13,09-1SA
382,drunk.,1,13,09-1SA
383,Eli,1,14,09-1SA
384,said,1,14,09-1SA
385,to,1,14,09-1SA
386,"her,",1,14,09-1SA
387,“How,1,14,09-1SA
388,long,1,14,09-1SA
389,will,1,14,09-1SA
390,you,1,14,09-1SA
391,be,1,14,09-1SA
392,drunk?,1,14,09-1SA
393,Get,1,14,09-1SA
394,rid,1,14,09-1SA
395,of,1,14,09-1SA
396,your,1,14,09-1SA
397,wine.”,1,14,09-1SA
398,Hannah,1,15,09-1SA
399,"answered,",1,15,09-1SA
400,"“No,",1,15,09-1SA
401,my,1,15,09-1SA
402,"master,",1,15,09-1SA
403,I,1,15,09-1SA
404,am,1,15,09-1SA
405,a,1,15,09-1SA
406,woman,1,15,09-1SA
407,of,1,15,09-1SA
408,a,1,15,09-1SA
409,sorrowful,1,15,09-1SA
410,spirit.,1,15,09-1SA
411,I,1,15,09-1SA
412,have,1,15,09-1SA
413,drunk,1,15,09-1SA
414,neither,1,15,09-1SA
415,wine,1,15,09-1SA
416,nor,1,15,09-1SA
417,strong,1,15,09-1SA
418,"drink,",1,15,09-1SA
419,but,1,15,09-1SA
420,I,1,15,09-1SA
