,token,chapter,verse,book
0,Solomon,1,1,14-2CH
1,son,1,1,14-2CH
2,of,1,1,14-2CH
3,David,1,1,14-2CH
4,was,1,1,14-2CH
5,strengthened,1,1,14-2CH
6,in,1,1,14-2CH
7,his,1,1,14-2CH
8,"rule,",1,1,14-2CH
9,and,1,1,14-2CH
10,Yahweh,1,1,14-2CH
11,his,1,1,14-2CH
12,God,1,1,14-2CH
13,was,1,1,14-2CH
14,with,1,1,14-2CH
15,him,1,1,14-2CH
16,and,1,1,14-2CH
17,made,1,1,14-2CH
18,him,1,1,14-2CH
19,very,1,1,14-2CH
20,powerful.,1,1,14-2CH
21,Solomon,1,2,14-2CH
22,spoke,1,2,14-2CH
23,to,1,2,14-2CH
24,all,1,2,14-2CH
25,"Israel,",1,2,14-2CH
26,to,1,2,14-2CH
27,the,1,2,14-2CH
28,commanders,1,2,14-2CH
29,of,1,2,14-2CH
30,thousands,1,2,14-2CH
31,and,1,2,14-2CH
32,of,1,2,14-2CH
33,"hundreds,",1,2,14-2CH
34,and,1,2,14-2CH
35,to,1,2,14-2CH
36,the,1,2,14-2CH
37,"judges,",1,2,14-2CH
38,and,1,2,14-2CH
39,to,1,2,14-2CH
40,every,1,2,14-2CH
41,prince,1,2,14-2CH
42,in,1,2,14-2CH
43,all,1,2,14-2CH
44,"Israel,",1,2,14-2CH
45,the,1,2,14-2CH
46,heads,1,2,14-2CH
47,of,1,2,14-2CH
48,the,1,2,14-2CH
49,fathers’,1,2,14-2CH
50,houses.,1,2,14-2CH
51,So,1,3,14-2CH
52,Solomon,1,3,14-2CH
53,and,1,3,14-2CH
54,all,1,3,14-2CH
55,the,1,3,14-2CH
56,assembly,1,3,14-2CH
57,with,1,3,14-2CH
58,him,1,3,14-2CH
59,went,1,3,14-2CH
60,to,1,3,14-2CH
61,the,1,3,14-2CH
62,high,1,3,14-2CH
63,place,1,3,14-2CH
64,that,1,3,14-2CH
65,was,1,3,14-2CH
66,at,1,3,14-2CH
67,"Gibeon,",1,3,14-2CH
68,for,1,3,14-2CH
69,there,1,3,14-2CH
70,was,1,3,14-2CH
71,the,1,3,14-2CH
72,tent,1,3,14-2CH
73,of,1,3,14-2CH
74,meeting,1,3,14-2CH
75,of,1,3,14-2CH
76,"God,",1,3,14-2CH
77,which,1,3,14-2CH
78,Moses,1,3,14-2CH
79,the,1,3,14-2CH
80,servant,1,3,14-2CH
81,of,1,3,14-2CH
82,"Yahweh,",1,3,14-2CH
83,had,1,3,14-2CH
84,made,1,3,14-2CH
85,in,1,3,14-2CH
86,the,1,3,14-2CH
87,wilderness.,1,3,14-2CH
88,But,1,4,14-2CH
89,David,1,4,14-2CH
90,had,1,4,14-2CH
91,brought,1,4,14-2CH
92,up,1,4,14-2CH
93,the,1,4,14-2CH
94,ark,1,4,14-2CH
95,of,1,4,14-2CH
96,God,1,4,14-2CH
97,from,1,4,14-2CH
98,Kiriath,1,4,14-2CH
99,Jearim,1,4,14-2CH
100,to,1,4,14-2CH
101,the,1,4,14-2CH
102,place,1,4,14-2CH
103,that,1,4,14-2CH
104,he,1,4,14-2CH
105,had,1,4,14-2CH
106,prepared,1,4,14-2CH
107,for,1,4,14-2CH
108,"it,",1,4,14-2CH
109,for,1,4,14-2CH
110,he,1,4,14-2CH
111,had,1,4,14-2CH
112,pitched,1,4,14-2CH
113,a,1,4,14-2CH
114,tent,1,4,14-2CH
115,for,1,4,14-2CH
116,it,1,4,14-2CH
117,in,1,4,14-2CH
118,Jerusalem.,1,4,14-2CH
119,In,1,5,14-2CH
120,"addition,",1,5,14-2CH
121,the,1,5,14-2CH
122,bronze,1,5,14-2CH
123,altar,1,5,14-2CH
124,made,1,5,14-2CH
125,by,1,5,14-2CH
126,Bezalel,1,5,14-2CH
127,son,1,5,14-2CH
128,of,1,5,14-2CH
129,Uri,1,5,14-2CH
130,son,1,5,14-2CH
131,of,1,5,14-2CH
132,Hur,1,5,14-2CH
133,was,1,5,14-2CH
134,there,1,5,14-2CH
135,before,1,5,14-2CH
136,the,1,5,14-2CH
137,tabernacle,1,5,14-2CH
138,of,1,5,14-2CH
139,Yahweh;,1,5,14-2CH
140,Solomon,1,5,14-2CH
141,and,1,5,14-2CH
142,the,1,5,14-2CH
143,assembly,1,5,14-2CH
