,token,alg,alg_id,chapter,verse,book
0,"\w The|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דִּבְרֵ֥י""\\*']",16-NEH-1,1,1,16-NEH
1," \w words|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דִּבְרֵ֥י""\\*']",16-NEH-1,1,1,16-NEH
2," \w of|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דִּבְרֵ֥י""\\*']",16-NEH-1,1,1,16-NEH
3,,"['\\zaln-s | x-strong=""H1697"" x-lemma=""דָּבָר"" x-morph=""He,Ncmpc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""דִּבְרֵ֥י""\\*']",16-NEH-1,1,1,16-NEH
4," \w Nehemiah|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H5166"" x-lemma=""נְחֶמְיָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""נְחֶמְיָ֖ה""\\*']",16-NEH-2,1,1,16-NEH
5,,"['\\zaln-s | x-strong=""H5166"" x-lemma=""נְחֶמְיָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""נְחֶמְיָ֖ה""\\*']",16-NEH-2,1,1,16-NEH
6," \w the|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s | x-strong=""H1121a"" x-lemma=""בֵּן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בֶּן""\\*']",16-NEH-3,1,1,16-NEH
7," \w son|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H1121a"" x-lemma=""בֵּן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בֶּן""\\*']",16-NEH-3,1,1,16-NEH
8," \w of|x-occurrence=""2"" x-occurrences=""3""","['\\zaln-s | x-strong=""H1121a"" x-lemma=""בֵּן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בֶּן""\\*']",16-NEH-3,1,1,16-NEH
9,,"['\\zaln-s | x-strong=""H1121a"" x-lemma=""בֵּן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בֶּן""\\*']",16-NEH-3,1,1,16-NEH
10," \w Hakaliah|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H2446"" x-lemma=""חֲכַלְיָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲכַלְיָ֑ה""\\*']",16-NEH-4,1,1,16-NEH
