,token,chapter,verse,book
0,Blessed,1,1,19-PSA
1,is,1,1,19-PSA
2,the,1,1,19-PSA
3,man,1,1,19-PSA
4,who,1,1,19-PSA
5,does,1,1,19-PSA
6,not,1,1,19-PSA
7,walk,1,1,19-PSA
8,in,1,1,19-PSA
9,the,1,1,19-PSA
10,advice,1,1,19-PSA
11,of,1,1,19-PSA
12,the,1,1,19-PSA
13,"wicked,",1,1,19-PSA
14,or,1,1,19-PSA
15,stand,1,1,19-PSA
16,in,1,1,19-PSA
17,the,1,1,19-PSA
18,pathway,1,1,19-PSA
19,with,1,1,19-PSA
20,"sinners,",1,1,19-PSA
21,or,1,1,19-PSA
22,sit,1,1,19-PSA
23,in,1,1,19-PSA
24,the,1,1,19-PSA
25,assembly,1,1,19-PSA
26,of,1,1,19-PSA
27,mockers.,1,1,19-PSA
28,But,1,2,19-PSA
29,his,1,2,19-PSA
30,delight,1,2,19-PSA
31,is,1,2,19-PSA
32,in,1,2,19-PSA
33,the,1,2,19-PSA
34,law,1,2,19-PSA
35,of,1,2,19-PSA
36,"Yahweh,",1,2,19-PSA
37,and,1,2,19-PSA
38,on,1,2,19-PSA
39,his,1,2,19-PSA
40,law,1,2,19-PSA
41,he,1,2,19-PSA
42,meditates,1,2,19-PSA
43,day,1,2,19-PSA
44,and,1,2,19-PSA
45,night.,1,2,19-PSA
46,He,1,3,19-PSA
47,will,1,3,19-PSA
48,be,1,3,19-PSA
49,like,1,3,19-PSA
50,a,1,3,19-PSA
51,tree,1,3,19-PSA
52,planted,1,3,19-PSA
53,by,1,3,19-PSA
54,the,1,3,19-PSA
55,streams,1,3,19-PSA
56,of,1,3,19-PSA
57,water,1,3,19-PSA
58,that,1,3,19-PSA
59,produces,1,3,19-PSA
60,its,1,3,19-PSA
61,fruit,1,3,19-PSA
62,in,1,3,19-PSA
63,its,1,3,19-PSA
64,"season,",1,3,19-PSA
65,whose,1,3,19-PSA
66,leaves,1,3,19-PSA
67,do,1,3,19-PSA
68,not,1,3,19-PSA
69,wither;,1,3,19-PSA
70,whatever,1,3,19-PSA
71,he,1,3,19-PSA
72,does,1,3,19-PSA
73,will,1,3,19-PSA
74,prosper.,1,3,19-PSA
75,The,1,4,19-PSA
76,wicked,1,4,19-PSA
77,are,1,4,19-PSA
78,not,1,4,19-PSA
79,"so,",1,4,19-PSA
80,but,1,4,19-PSA
81,are,1,4,19-PSA
82,instead,1,4,19-PSA
83,like,1,4,19-PSA
84,the,1,4,19-PSA
85,chaff,1,4,19-PSA
86,that,1,4,19-PSA
87,the,1,4,19-PSA
88,wind,1,4,19-PSA
89,drives,1,4,19-PSA
90,away.,1,4,19-PSA
91,So,1,5,19-PSA
92,the,1,5,19-PSA
93,wicked,1,5,19-PSA
94,will,1,5,19-PSA
95,not,1,5,19-PSA
96,stand,1,5,19-PSA
97,in,1,5,19-PSA
98,the,1,5,19-PSA
99,"judgment,",1,5,19-PSA
100,nor,1,5,19-PSA
101,sinners,1,5,19-PSA
102,in,1,5,19-PSA
103,the,1,5,19-PSA
104,assembly,1,5,19-PSA
105,of,1,5,19-PSA
106,the,1,5,19-PSA
107,righteous.,1,5,19-PSA
108,For,1,6,19-PSA
109,Yahweh,1,6,19-PSA
110,approves,1,6,19-PSA
111,of,1,6,19-PSA
112,the,1,6,19-PSA
113,way,1,6,19-PSA
114,of,1,6,19-PSA
115,the,1,6,19-PSA
116,"righteous,",1,6,19-PSA
117,but,1,6,19-PSA
118,the,1,6,19-PSA
119,way,1,6,19-PSA
120,of,1,6,19-PSA
121,the,1,6,19-PSA
122,wicked,1,6,19-PSA
123,will,1,6,19-PSA
124,perish.,1,6,19-PSA
125,\s5,1,6,19-PSA
126,Why,2,1,19-PSA
127,are,2,1,19-PSA
128,the,2,1,19-PSA
129,nations,2,1,19-PSA
130,in,2,1,19-PSA
131,"turmoil,",2,1,19-PSA
132,and,2,1,19-PSA
133,why,2,1,19-PSA
134,do,2,1,19-PSA
135,the,2,1,19-PSA
136,peoples,2,1,19-PSA
137,make,2,1,19-PSA
138,plots,2,1,19-PSA
139,that,2,1,19-PSA
140,will,2,1,19-PSA
141,fail?,2,1,19-PSA
142,The,2,2,19-PSA
143,kings,2,2,19-PSA
144,of,2,2,19-PSA
145,the,2,2,19-PSA
146,earth,2,2,19-PSA
147,take,2,2,19-PSA
148,their,2,2,19-PSA
149,stand,2,2,19-PSA
150,together,2,2,19-PSA
151,and,2,2,19-PSA
152,the,2,2,19-PSA
153,rulers,2,2,19-PSA
154,conspire,2,2,19-PSA
155,together,2,2,19-PSA
156,against,2,2,19-PSA
157,Yahweh,2,2,19-PSA
158,and,2,2,19-PSA
159,against,2,2,19-PSA
160,his,2,2,19-PSA
161,"Messiah,",2,2,19-PSA
162,"saying,",2,2,19-PSA
163,“Let,2,3,19-PSA
164,us,2,3,19-PSA
165,tear,2,3,19-PSA
166,off,2,3,19-PSA
167,the,2,3,19-PSA
168,shackles,2,3,19-PSA
169,they,2,3,19-PSA
170,put,2,3,19-PSA
171,on,2,3,19-PSA
172,us,2,3,19-PSA
173,and,2,3,19-PSA
174,throw,2,3,19-PSA
175,off,2,3,19-PSA
176,their,2,3,19-PSA
177,chains.”,2,3,19-PSA
178,He,2,4,19-PSA
179,who,2,4,19-PSA
180,sits,2,4,19-PSA
181,in,2,4,19-PSA
182,the,2,4,19-PSA
183,heavens,2,4,19-PSA
184,will,2,4,19-PSA
185,sneer,2,4,19-PSA
186,at,2,4,19-PSA
187,them;,2,4,19-PSA
188,the,2,4,19-PSA
189,Lord,2,4,19-PSA
190,mocks,2,4,19-PSA
191,them.,2,4,19-PSA
192,Then,2,5,19-PSA
193,he,2,5,19-PSA
194,will,2,5,19-PSA
195,speak,2,5,19-PSA
196,to,2,5,19-PSA
197,them,2,5,19-PSA
198,in,2,5,19-PSA
199,his,2,5,19-PSA
200,anger,2,5,19-PSA
201,and,2,5,19-PSA
202,terrify,2,5,19-PSA
203,them,2,5,19-PSA
204,in,2,5,19-PSA
205,his,2,5,19-PSA
206,"rage,",2,5,19-PSA
207,"saying,",2,5,19-PSA
208,“I,2,6,19-PSA
209,myself,2,6,19-PSA
210,have,2,6,19-PSA
211,anointed,2,6,19-PSA
212,my,2,6,19-PSA
213,king,2,6,19-PSA
214,on,2,6,19-PSA
215,"Zion,",2,6,19-PSA
216,my,2,6,19-PSA
217,holy,2,6,19-PSA
218,mountain.”,2,6,19-PSA
219,I,2,7,19-PSA
220,will,2,7,19-PSA
221,announce,2,7,19-PSA
222,a,2,7,19-PSA
223,decree,2,7,19-PSA
224,of,2,7,19-PSA
225,Yahweh.,2,7,19-PSA
226,He,2,7,19-PSA
227,said,2,7,19-PSA
228,to,2,7,19-PSA
229,"me,",2,7,19-PSA
230,“You,2,7,19-PSA
231,are,2,7,19-PSA
232,my,2,7,19-PSA
233,son!,2,7,19-PSA
234,This,2,7,19-PSA
235,day,2,7,19-PSA
236,I,2,7,19-PSA
237,have,2,7,19-PSA
238,become,2,7,19-PSA
239,your,2,7,19-PSA
240,father.,2,7,19-PSA
241,Ask,2,8,19-PSA
242,"me,",2,8,19-PSA
243,and,2,8,19-PSA
244,I,2,8,19-PSA
245,will,2,8,19-PSA
246,give,2,8,19-PSA
247,you,2,8,19-PSA
248,the,2,8,19-PSA
249,nations,2,8,19-PSA
250,for,2,8,19-PSA
251,your,2,8,19-PSA
252,inheritance,2,8,19-PSA
253,and,2,8,19-PSA
254,the,2,8,19-PSA
255,farthermost,2,8,19-PSA
256,regions,2,8,19-PSA
257,of,2,8,19-PSA
258,the,2,8,19-PSA
259,earth,2,8,19-PSA
260,for,2,8,19-PSA
261,your,2,8,19-PSA
262,possession.,2,8,19-PSA
263,You,2,9,19-PSA
264,will,2,9,19-PSA
265,break,2,9,19-PSA
266,them,2,9,19-PSA
267,with,2,9,19-PSA
268,an,2,9,19-PSA
269,iron,2,9,19-PSA
270,rod;,2,9,19-PSA
271,like,2,9,19-PSA
272,a,2,9,19-PSA
273,jar,2,9,19-PSA
274,of,2,9,19-PSA
275,a,2,9,19-PSA
276,"potter,",2,9,19-PSA
277,you,2,9,19-PSA
278,will,2,9,19-PSA
279,smash,2,9,19-PSA
280,them,2,9,19-PSA
281,to,2,9,19-PSA
282,pieces.”,2,9,19-PSA
283,So,2,10,19-PSA
284,"now,",2,10,19-PSA
285,you,2,10,19-PSA
286,"kings,",2,10,19-PSA
287,be,2,10,19-PSA
288,warned;,2,10,19-PSA
289,be,2,10,19-PSA
290,"corrected,",2,10,19-PSA
291,you,2,10,19-PSA
292,rulers,2,10,19-PSA
293,of,2,10,19-PSA
294,the,2,10,19-PSA
295,earth.,2,10,19-PSA
296,Worship,2,11,19-PSA
297,Yahweh,2,11,19-PSA
298,in,2,11,19-PSA
299,fear,2,11,19-PSA
300,and,2,11,19-PSA
301,rejoice,2,11,19-PSA
302,with,2,11,19-PSA
303,trembling.,2,11,19-PSA
304,Kiss,2,12,19-PSA
305,the,2,12,19-PSA
306,son,2,12,19-PSA
307,or,2,12,19-PSA
308,he,2,12,19-PSA
309,will,2,12,19-PSA
310,be,2,12,19-PSA
311,angry,2,12,19-PSA
312,with,2,12,19-PSA
313,"you,",2,12,19-PSA
314,and,2,12,19-PSA
315,you,2,12,19-PSA
316,will,2,12,19-PSA
317,die,2,12,19-PSA
318,in,2,12,19-PSA
319,the,2,12,19-PSA
320,way,2,12,19-PSA
321,when,2,12,19-PSA
322,his,2,12,19-PSA
323,anger,2,12,19-PSA
324,burns,2,12,19-PSA
325,for,2,12,19-PSA
326,just,2,12,19-PSA
327,a,2,12,19-PSA
328,moment.,2,12,19-PSA
329,How,2,12,19-PSA
330,blessed,2,12,19-PSA
331,are,2,12,19-PSA
332,all,2,12,19-PSA
333,those,2,12,19-PSA
334,who,2,12,19-PSA
335,seek,2,12,19-PSA
336,refuge,2,12,19-PSA
337,in,2,12,19-PSA
338,him.,2,12,19-PSA
339,\s5,2,12,19-PSA
340,"Yahweh,",3,1,19-PSA
341,how,3,1,19-PSA
342,many,3,1,19-PSA
343,are,3,1,19-PSA
344,my,3,1,19-PSA
345,enemies!,3,1,19-PSA
346,Many,3,1,19-PSA
347,have,3,1,19-PSA
348,risen,3,1,19-PSA
349,against,3,1,19-PSA
350,me.,3,1,19-PSA
351,Many,3,2,19-PSA
352,say,3,2,19-PSA
353,about,3,2,19-PSA
354,"me,",3,2,19-PSA
355,“There,3,2,19-PSA
356,is,3,2,19-PSA
357,no,3,2,19-PSA
358,help,3,2,19-PSA
359,for,3,2,19-PSA
360,him,3,2,19-PSA
361,from,3,2,19-PSA
362,God.”,3,2,19-PSA
363,\qs,3,2,19-PSA
364,Selah\qs*,3,2,19-PSA
365,But,3,3,19-PSA
366,"you,",3,3,19-PSA
367,"Yahweh,",3,3,19-PSA
368,are,3,3,19-PSA
369,a,3,3,19-PSA
370,shield,3,3,19-PSA
371,around,3,3,19-PSA
372,"me,",3,3,19-PSA
373,my,3,3,19-PSA
374,"glory,",3,3,19-PSA
375,and,3,3,19-PSA
376,the,3,3,19-PSA
377,one,3,3,19-PSA
378,who,3,3,19-PSA
379,lifts,3,3,19-PSA
380,up,3,3,19-PSA
381,my,3,3,19-PSA
382,head.,3,3,19-PSA
383,I,3,4,19-PSA
