,token,chapter,verse,book
0,The,1,1,20-PRO
1,proverbs,1,1,20-PRO
2,of,1,1,20-PRO
3,Solomon,1,1,20-PRO
4,son,1,1,20-PRO
5,of,1,1,20-PRO
6,"David,",1,1,20-PRO
7,the,1,1,20-PRO
8,king,1,1,20-PRO
9,of,1,1,20-PRO
10,Israel.,1,1,20-PRO
11,These,1,2,20-PRO
12,proverbs,1,2,20-PRO
13,are,1,2,20-PRO
14,to,1,2,20-PRO
15,teach,1,2,20-PRO
16,wisdom,1,2,20-PRO
17,and,1,2,20-PRO
18,"instruction,",1,2,20-PRO
19,to,1,2,20-PRO
20,teach,1,2,20-PRO
21,words,1,2,20-PRO
22,of,1,2,20-PRO
23,"insight,",1,2,20-PRO
24,that,1,3,20-PRO
25,you,1,3,20-PRO
26,may,1,3,20-PRO
27,receive,1,3,20-PRO
28,instruction,1,3,20-PRO
29,in,1,3,20-PRO
30,order,1,3,20-PRO
31,to,1,3,20-PRO
32,live,1,3,20-PRO
33,by,1,3,20-PRO
34,doing,1,3,20-PRO
35,what,1,3,20-PRO
36,is,1,3,20-PRO
37,"right,",1,3,20-PRO
38,"just,",1,3,20-PRO
39,and,1,3,20-PRO
40,fair.,1,3,20-PRO
41,These,1,4,20-PRO
42,proverbs,1,4,20-PRO
43,are,1,4,20-PRO
44,also,1,4,20-PRO
45,to,1,4,20-PRO
46,give,1,4,20-PRO
47,wisdom,1,4,20-PRO
48,to,1,4,20-PRO
49,the,1,4,20-PRO
50,"naive,",1,4,20-PRO
51,and,1,4,20-PRO
52,to,1,4,20-PRO
53,give,1,4,20-PRO
54,knowledge,1,4,20-PRO
55,and,1,4,20-PRO
56,discretion,1,4,20-PRO
57,to,1,4,20-PRO
58,young,1,4,20-PRO
59,people.,1,4,20-PRO
60,Let,1,5,20-PRO
61,wise,1,5,20-PRO
62,people,1,5,20-PRO
63,listen,1,5,20-PRO
64,and,1,5,20-PRO
65,increase,1,5,20-PRO
66,their,1,5,20-PRO
67,"learning,",1,5,20-PRO
68,and,1,5,20-PRO
69,let,1,5,20-PRO
70,discerning,1,5,20-PRO
71,people,1,5,20-PRO
72,get,1,5,20-PRO
73,"guidance,",1,5,20-PRO
74,to,1,6,20-PRO
