,token,chapter,verse,book
0,These,1,1,21-ECC
1,are,1,1,21-ECC
2,the,1,1,21-ECC
3,words,1,1,21-ECC
4,of,1,1,21-ECC
5,the,1,1,21-ECC
6,"Teacher,",1,1,21-ECC
7,the,1,1,21-ECC
8,descendant,1,1,21-ECC
9,of,1,1,21-ECC
10,David,1,1,21-ECC
11,and,1,1,21-ECC
12,king,1,1,21-ECC
13,in,1,1,21-ECC
14,Jerusalem.,1,1,21-ECC
15,The,1,2,21-ECC
16,Teacher,1,2,21-ECC
17,says,1,2,21-ECC
18,this.,1,2,21-ECC
19,\q1,1,2,21-ECC
20,“Like,1,2,21-ECC
21,a,1,2,21-ECC
22,vapor,1,2,21-ECC
23,of,1,2,21-ECC
24,"mist,",1,2,21-ECC
25,like,1,2,21-ECC
26,a,1,2,21-ECC
27,breeze,1,2,21-ECC
28,in,1,2,21-ECC
29,the,1,2,21-ECC
30,"wind,",1,2,21-ECC
31,\q1,1,2,21-ECC
32,everything,1,2,21-ECC
33,"vanishes,",1,2,21-ECC
34,leaving,1,2,21-ECC
35,many,1,2,21-ECC
36,questions.,1,2,21-ECC
37,\q1,1,2,21-ECC
38,What,1,3,21-ECC
39,profit,1,3,21-ECC
40,does,1,3,21-ECC
41,mankind,1,3,21-ECC
42,gain,1,3,21-ECC
43,from,1,3,21-ECC
44,all,1,3,21-ECC
45,the,1,3,21-ECC
46,work,1,3,21-ECC
47,that,1,3,21-ECC
48,they,1,3,21-ECC
49,labor,1,3,21-ECC
50,at,1,3,21-ECC
51,under,1,3,21-ECC
52,the,1,3,21-ECC
53,sun?,1,3,21-ECC
54,\q1,1,3,21-ECC
55,One,1,4,21-ECC
56,generation,1,4,21-ECC
57,"goes,",1,4,21-ECC
58,and,1,4,21-ECC
59,another,1,4,21-ECC
60,generation,1,4,21-ECC
61,"comes,",1,4,21-ECC
62,\q1,1,4,21-ECC
63,but,1,4,21-ECC
64,the,1,4,21-ECC
65,earth,1,4,21-ECC
66,remains,1,4,21-ECC
67,forever.,1,4,21-ECC
68,\q1,1,4,21-ECC
69,The,1,5,21-ECC
70,sun,1,5,21-ECC
71,"rises,",1,5,21-ECC
72,and,1,5,21-ECC
73,it,1,5,21-ECC
74,goes,1,5,21-ECC
75,down,1,5,21-ECC
76,\q1,1,5,21-ECC
77,and,1,5,21-ECC
78,hurries,1,5,21-ECC
79,back,1,5,21-ECC
80,to,1,5,21-ECC
81,the,1,5,21-ECC
82,place,1,5,21-ECC
83,where,1,5,21-ECC
84,it,1,5,21-ECC
85,rises,1,5,21-ECC
86,again.,1,5,21-ECC
87,\q1,1,5,21-ECC
88,The,1,6,21-ECC
89,wind,1,6,21-ECC
90,blows,1,6,21-ECC
91,south,1,6,21-ECC
92,and,1,6,21-ECC
93,circles,1,6,21-ECC
94,around,1,6,21-ECC
95,to,1,6,21-ECC
96,the,1,6,21-ECC
97,"north,",1,6,21-ECC
98,\q1,1,6,21-ECC
99,always,1,6,21-ECC
100,going,1,6,21-ECC
101,around,1,6,21-ECC
102,along,1,6,21-ECC
103,its,1,6,21-ECC
104,pathway,1,6,21-ECC
105,and,1,6,21-ECC
106,coming,1,6,21-ECC
107,back,1,6,21-ECC
108,again.,1,6,21-ECC
109,\q1,1,6,21-ECC
110,All,1,7,21-ECC
111,the,1,7,21-ECC
112,rivers,1,7,21-ECC
113,flow,1,7,21-ECC
114,into,1,7,21-ECC
115,the,1,7,21-ECC
116,"sea,",1,7,21-ECC
117,but,1,7,21-ECC
118,the,1,7,21-ECC
119,sea,1,7,21-ECC
120,is,1,7,21-ECC
121,never,1,7,21-ECC
122,full.,1,7,21-ECC
123,\q1,1,7,21-ECC
124,To,1,7,21-ECC
125,the,1,7,21-ECC
126,place,1,7,21-ECC
127,where,1,7,21-ECC
128,the,1,7,21-ECC
129,rivers,1,7,21-ECC
130,"go,",1,7,21-ECC
131,there,1,7,21-ECC
132,they,1,7,21-ECC
133,go,1,7,21-ECC
134,again.,1,7,21-ECC
135,\q1,1,7,21-ECC
136,Everything,1,8,21-ECC
137,becomes,1,8,21-ECC
138,"wearisome,",1,8,21-ECC
139,and,1,8,21-ECC
140,no,1,8,21-ECC
141,one,1,8,21-ECC
142,can,1,8,21-ECC
143,explain,1,8,21-ECC
144,it.,1,8,21-ECC
145,\q1,1,8,21-ECC
146,The,1,8,21-ECC
147,eye,1,8,21-ECC
148,is,1,8,21-ECC
149,not,1,8,21-ECC
150,satisfied,1,8,21-ECC
151,by,1,8,21-ECC
152,what,1,8,21-ECC
153,it,1,8,21-ECC
154,"sees,",1,8,21-ECC
155,nor,1,8,21-ECC
156,is,1,8,21-ECC
157,the,1,8,21-ECC
158,ear,1,8,21-ECC
159,fulfilled,1,8,21-ECC
160,by,1,8,21-ECC
161,what,1,8,21-ECC
162,it,1,8,21-ECC
163,hears.,1,8,21-ECC
164,\q1,1,8,21-ECC
165,Whatever,1,9,21-ECC
166,has,1,9,21-ECC
167,been,1,9,21-ECC
168,is,1,9,21-ECC
169,what,1,9,21-ECC
170,will,1,9,21-ECC
171,"be,",1,9,21-ECC
172,and,1,9,21-ECC
173,whatever,1,9,21-ECC
174,has,1,9,21-ECC
175,been,1,9,21-ECC
176,done,1,9,21-ECC
177,is,1,9,21-ECC
178,what,1,9,21-ECC
179,will,1,9,21-ECC
180,be,1,9,21-ECC
181,done.,1,9,21-ECC
182,\q1,1,9,21-ECC
183,There,1,9,21-ECC
184,is,1,9,21-ECC
185,nothing,1,9,21-ECC
186,new,1,9,21-ECC
187,under,1,9,21-ECC
188,the,1,9,21-ECC
189,sun.,1,9,21-ECC
190,\q1,1,9,21-ECC
191,Is,1,10,21-ECC
192,there,1,10,21-ECC
193,anything,1,10,21-ECC
194,about,1,10,21-ECC
195,which,1,10,21-ECC
196,it,1,10,21-ECC
197,may,1,10,21-ECC
198,be,1,10,21-ECC
199,"said,",1,10,21-ECC
200,"‘Look,",1,10,21-ECC
201,this,1,10,21-ECC
202,is,1,10,21-ECC
203,new’?,1,10,21-ECC
204,\q1,1,10,21-ECC
205,Whatever,1,10,21-ECC
206,exists,1,10,21-ECC
207,has,1,10,21-ECC
208,already,1,10,21-ECC
209,existed,1,10,21-ECC
210,for,1,10,21-ECC
211,a,1,10,21-ECC
212,long,1,10,21-ECC
213,"time,",1,10,21-ECC
214,during,1,10,21-ECC
215,ages,1,10,21-ECC
216,which,1,10,21-ECC
217,came,1,10,21-ECC
218,long,1,10,21-ECC
219,before,1,10,21-ECC
220,us.,1,10,21-ECC
221,\q1,1,10,21-ECC
222,No,1,11,21-ECC
223,one,1,11,21-ECC
224,seems,1,11,21-ECC
225,to,1,11,21-ECC
226,remember,1,11,21-ECC
227,the,1,11,21-ECC
228,things,1,11,21-ECC
229,that,1,11,21-ECC
230,happened,1,11,21-ECC
231,in,1,11,21-ECC
232,ancient,1,11,21-ECC
233,"times,",1,11,21-ECC
234,and,1,11,21-ECC
235,the,1,11,21-ECC
236,things,1,11,21-ECC
237,that,1,11,21-ECC
238,happened,1,11,21-ECC
