,token,chapter,verse,book
0,The,1,1,22-SNG
1,Song,1,1,22-SNG
2,of,1,1,22-SNG
3,"Songs,",1,1,22-SNG
4,which,1,1,22-SNG
5,is,1,1,22-SNG
6,Solomon’s.,1,1,22-SNG
7,\sp,1,1,22-SNG
8,The,1,1,22-SNG
9,woman,1,1,22-SNG
10,speaking,1,1,22-SNG
11,to,1,1,22-SNG
12,herself,1,1,22-SNG
13,"Oh,",1,2,22-SNG
14,that,1,2,22-SNG
15,he,1,2,22-SNG
16,would,1,2,22-SNG
17,kiss,1,2,22-SNG
18,me,1,2,22-SNG
19,with,1,2,22-SNG
20,the,1,2,22-SNG
21,kisses,1,2,22-SNG
22,of,1,2,22-SNG
23,his,1,2,22-SNG
24,"mouth,",1,2,22-SNG
25,\sp,1,2,22-SNG
26,The,1,2,22-SNG
27,woman,1,2,22-SNG
28,speaking,1,2,22-SNG
29,to,1,2,22-SNG
30,the,1,2,22-SNG
31,man,1,2,22-SNG
32,for,1,2,22-SNG
33,your,1,2,22-SNG
34,love,1,2,22-SNG
35,is,1,2,22-SNG
36,better,1,2,22-SNG
37,than,1,2,22-SNG
38,wine.,1,2,22-SNG
39,Your,1,3,22-SNG
40,anointing,1,3,22-SNG
41,oils,1,3,22-SNG
42,have,1,3,22-SNG
43,a,1,3,22-SNG
44,delightful,1,3,22-SNG
45,fragrance;,1,3,22-SNG
46,your,1,3,22-SNG
47,name,1,3,22-SNG
48,is,1,3,22-SNG
49,like,1,3,22-SNG
50,flowing,1,3,22-SNG
51,"perfume,",1,3,22-SNG
52,so,1,3,22-SNG
53,the,1,3,22-SNG
54,young,1,3,22-SNG
55,women,1,3,22-SNG
56,love,1,3,22-SNG
57,you.,1,3,22-SNG
58,Take,1,4,22-SNG
59,me,1,4,22-SNG
60,with,1,4,22-SNG
61,"you,",1,4,22-SNG
62,and,1,4,22-SNG
63,we,1,4,22-SNG
64,will,1,4,22-SNG
65,run.,1,4,22-SNG
66,\sp,1,4,22-SNG
67,The,1,4,22-SNG
68,woman,1,4,22-SNG
69,speaking,1,4,22-SNG
70,to,1,4,22-SNG
71,herself,1,4,22-SNG
72,The,1,4,22-SNG
73,king,1,4,22-SNG
74,has,1,4,22-SNG
75,brought,1,4,22-SNG
76,me,1,4,22-SNG
77,into,1,4,22-SNG
78,his,1,4,22-SNG
79,rooms.,1,4,22-SNG
80,\sp,1,4,22-SNG
81,The,1,4,22-SNG
82,woman,1,4,22-SNG
83,speaking,1,4,22-SNG
84,to,1,4,22-SNG
85,the,1,4,22-SNG
86,man,1,4,22-SNG
87,We,1,4,22-SNG
88,are,1,4,22-SNG
89,glad;,1,4,22-SNG
90,We,1,4,22-SNG
91,rejoice,1,4,22-SNG
92,about,1,4,22-SNG
93,you;,1,4,22-SNG
94,let,1,4,22-SNG
95,us,1,4,22-SNG
96,celebrate,1,4,22-SNG
97,your,1,4,22-SNG
98,love;,1,4,22-SNG
99,it,1,4,22-SNG
100,is,1,4,22-SNG
101,better,1,4,22-SNG
102,than,1,4,22-SNG
103,wine.,1,4,22-SNG
104,It,1,4,22-SNG
105,is,1,4,22-SNG
106,natural,1,4,22-SNG
107,for,1,4,22-SNG
108,the,1,4,22-SNG
109,other,1,4,22-SNG
110,women,1,4,22-SNG
111,to,1,4,22-SNG
112,adore,1,4,22-SNG
113,you.,1,4,22-SNG
114,\sp,1,4,22-SNG
115,The,1,4,22-SNG
116,woman,1,4,22-SNG
117,speaking,1,4,22-SNG
118,to,1,4,22-SNG
119,the,1,4,22-SNG
120,other,1,4,22-SNG
121,women,1,4,22-SNG
122,I,1,5,22-SNG
123,am,1,5,22-SNG
124,dark,1,5,22-SNG
125,but,1,5,22-SNG
126,"lovely,",1,5,22-SNG
127,you,1,5,22-SNG
128,daughters,1,5,22-SNG
129,of,1,5,22-SNG
130,Jerusalem—,1,5,22-SNG
131,dark,1,5,22-SNG
132,like,1,5,22-SNG
133,the,1,5,22-SNG
