,token,chapter,verse,book
0,These,1,1,24-JER
1,are,1,1,24-JER
2,the,1,1,24-JER
3,words,1,1,24-JER
4,of,1,1,24-JER
5,Jeremiah,1,1,24-JER
6,son,1,1,24-JER
7,of,1,1,24-JER
8,"Hilkiah,",1,1,24-JER
9,one,1,1,24-JER
10,of,1,1,24-JER
11,the,1,1,24-JER
12,priests,1,1,24-JER
13,at,1,1,24-JER
14,Anathoth,1,1,24-JER
15,in,1,1,24-JER
16,the,1,1,24-JER
17,land,1,1,24-JER
18,of,1,1,24-JER
19,Benjamin.,1,1,24-JER
20,The,1,2,24-JER
21,word,1,2,24-JER
22,of,1,2,24-JER
23,Yahweh,1,2,24-JER
24,came,1,2,24-JER
25,to,1,2,24-JER
26,him,1,2,24-JER
27,in,1,2,24-JER
28,the,1,2,24-JER
29,days,1,2,24-JER
30,of,1,2,24-JER
31,Josiah,1,2,24-JER
32,son,1,2,24-JER
33,of,1,2,24-JER
34,"Amon,",1,2,24-JER
35,king,1,2,24-JER
36,of,1,2,24-JER
37,"Judah,",1,2,24-JER
38,in,1,2,24-JER
39,the,1,2,24-JER
40,thirteenth,1,2,24-JER
41,year,1,2,24-JER
42,of,1,2,24-JER
43,his,1,2,24-JER
44,reign.,1,2,24-JER
45,It,1,3,24-JER
46,also,1,3,24-JER
47,came,1,3,24-JER
48,in,1,3,24-JER
49,the,1,3,24-JER
50,days,1,3,24-JER
51,of,1,3,24-JER
52,Jehoiakim,1,3,24-JER
53,son,1,3,24-JER
54,of,1,3,24-JER
55,"Josiah,",1,3,24-JER
56,king,1,3,24-JER
57,of,1,3,24-JER
58,"Judah,",1,3,24-JER
59,until,1,3,24-JER
60,the,1,3,24-JER
61,fifth,1,3,24-JER
62,month,1,3,24-JER
63,of,1,3,24-JER
64,the,1,3,24-JER
65,eleventh,1,3,24-JER
66,year,1,3,24-JER
67,of,1,3,24-JER
68,Zedekiah,1,3,24-JER
69,son,1,3,24-JER
70,of,1,3,24-JER
71,"Josiah,",1,3,24-JER
72,king,1,3,24-JER
73,of,1,3,24-JER
74,"Judah,",1,3,24-JER
75,when,1,3,24-JER
76,the,1,3,24-JER
77,people,1,3,24-JER
78,of,1,3,24-JER
79,Jerusalem,1,3,24-JER
80,were,1,3,24-JER
81,taken,1,3,24-JER
82,away,1,3,24-JER
83,as,1,3,24-JER
84,prisoners.,1,3,24-JER
85,The,1,4,24-JER
86,word,1,4,24-JER
87,of,1,4,24-JER
88,Yahweh,1,4,24-JER
89,came,1,4,24-JER
90,to,1,4,24-JER
91,"me,",1,4,24-JER
92,"saying,",1,4,24-JER
93,“Before,1,5,24-JER
94,I,1,5,24-JER
95,formed,1,5,24-JER
96,you,1,5,24-JER
97,in,1,5,24-JER
98,the,1,5,24-JER
99,"womb,",1,5,24-JER
100,I,1,5,24-JER
101,chose,1,5,24-JER
102,you;,1,5,24-JER
103,before,1,5,24-JER
104,you,1,5,24-JER
105,came,1,5,24-JER
106,out,1,5,24-JER
107,from,1,5,24-JER
108,the,1,5,24-JER
109,womb,1,5,24-JER
110,I,1,5,24-JER
111,set,1,5,24-JER
112,you,1,5,24-JER
113,apart;,1,5,24-JER
114,I,1,5,24-JER
115,made,1,5,24-JER
116,you,1,5,24-JER
117,a,1,5,24-JER
118,prophet,1,5,24-JER
119,to,1,5,24-JER
120,the,1,5,24-JER
121,nations.”,1,5,24-JER
122,\p,1,5,24-JER
123,"“Ah,",1,6,24-JER
124,Lord,1,6,24-JER
125,Yahweh!”,1,6,24-JER
126,I,1,6,24-JER
127,"said,",1,6,24-JER
128,“I,1,6,24-JER
129,do,1,6,24-JER
130,not,1,6,24-JER
131,know,1,6,24-JER
132,how,1,6,24-JER
133,to,1,6,24-JER
134,"speak,",1,6,24-JER
135,for,1,6,24-JER
136,I,1,6,24-JER
137,am,1,6,24-JER
138,too,1,6,24-JER
139,young.”,1,6,24-JER
140,But,1,7,24-JER
141,Yahweh,1,7,24-JER
142,said,1,7,24-JER
143,to,1,7,24-JER
144,"me,",1,7,24-JER
145,“Do,1,7,24-JER
146,not,1,7,24-JER
147,"say,",1,7,24-JER
148,‘I,1,7,24-JER
149,am,1,7,24-JER
150,too,1,7,24-JER
151,young.’,1,7,24-JER
152,You,1,7,24-JER
153,must,1,7,24-JER
154,go,1,7,24-JER
155,everywhere,1,7,24-JER
156,I,1,7,24-JER
157,send,1,7,24-JER
158,"you,",1,7,24-JER
159,and,1,7,24-JER
160,you,1,7,24-JER
161,must,1,7,24-JER
162,say,1,7,24-JER
163,whatever,1,7,24-JER
164,I,1,7,24-JER
165,command,1,7,24-JER
166,you!,1,7,24-JER
167,Do,1,8,24-JER
168,not,1,8,24-JER
169,be,1,8,24-JER
170,afraid,1,8,24-JER
171,of,1,8,24-JER
172,"them,",1,8,24-JER
173,for,1,8,24-JER
174,I,1,8,24-JER
175,am,1,8,24-JER
176,with,1,8,24-JER
177,you,1,8,24-JER
178,to,1,8,24-JER
179,rescue,1,8,24-JER
180,you—this,1,8,24-JER
181,is,1,8,24-JER
182,Yahweh’s,1,8,24-JER
183,declaration.”,1,8,24-JER
184,Then,1,9,24-JER
185,Yahweh,1,9,24-JER
186,reached,1,9,24-JER
187,out,1,9,24-JER
188,with,1,9,24-JER
189,his,1,9,24-JER
190,"hand,",1,9,24-JER
191,touched,1,9,24-JER
192,my,1,9,24-JER
193,"mouth,",1,9,24-JER
194,and,1,9,24-JER
195,said,1,9,24-JER
196,to,1,9,24-JER
197,"me,",1,9,24-JER
198,"“Now,",1,9,24-JER
199,I,1,9,24-JER
200,have,1,9,24-JER
201,placed,1,9,24-JER
202,my,1,9,24-JER
203,word,1,9,24-JER
204,in,1,9,24-JER
205,your,1,9,24-JER
206,mouth.,1,9,24-JER
207,I,1,10,24-JER
208,am,1,10,24-JER
209,appointing,1,10,24-JER
210,you,1,10,24-JER
211,today,1,10,24-JER
212,over,1,10,24-JER
213,nations,1,10,24-JER
214,and,1,10,24-JER
215,over,1,10,24-JER
216,"kingdoms,",1,10,24-JER
217,to,1,10,24-JER
218,uproot,1,10,24-JER
219,and,1,10,24-JER
220,break,1,10,24-JER
221,"down,",1,10,24-JER
222,to,1,10,24-JER
223,destroy,1,10,24-JER
224,and,1,10,24-JER
225,"overthrow,",1,10,24-JER
226,to,1,10,24-JER
227,build,1,10,24-JER
228,and,1,10,24-JER
229,plant.”,1,10,24-JER
230,\p,1,10,24-JER
231,The,1,11,24-JER
232,word,1,11,24-JER
233,of,1,11,24-JER
234,Yahweh,1,11,24-JER
235,came,1,11,24-JER
236,to,1,11,24-JER
237,"me,",1,11,24-JER
238,"saying,",1,11,24-JER
239,“What,1,11,24-JER
240,do,1,11,24-JER
241,you,1,11,24-JER
242,"see,",1,11,24-JER
243,Jeremiah?”,1,11,24-JER
244,I,1,11,24-JER
245,"said,",1,11,24-JER
246,“I,1,11,24-JER
247,see,1,11,24-JER
248,an,1,11,24-JER
249,almond,1,11,24-JER
250,branch.”,1,11,24-JER
251,Yahweh,1,12,24-JER
252,said,1,12,24-JER
253,to,1,12,24-JER
254,"me,",1,12,24-JER
255,“You,1,12,24-JER
256,have,1,12,24-JER
257,seen,1,12,24-JER
258,"well,",1,12,24-JER
259,for,1,12,24-JER
260,I,1,12,24-JER
261,am,1,12,24-JER
262,watching,1,12,24-JER
263,over,1,12,24-JER
264,my,1,12,24-JER
265,word,1,12,24-JER
266,to,1,12,24-JER
267,carry,1,12,24-JER
268,it,1,12,24-JER
269,out.”,1,12,24-JER
270,\p,1,12,24-JER
271,The,1,13,24-JER
272,word,1,13,24-JER
273,of,1,13,24-JER
274,Yahweh,1,13,24-JER
275,came,1,13,24-JER
276,to,1,13,24-JER
277,me,1,13,24-JER
278,a,1,13,24-JER
279,second,1,13,24-JER
280,"time,",1,13,24-JER
281,"saying,",1,13,24-JER
282,“What,1,13,24-JER
283,do,1,13,24-JER
284,you,1,13,24-JER
285,see?”,1,13,24-JER
286,I,1,13,24-JER
287,"said,",1,13,24-JER
288,“I,1,13,24-JER
289,see,1,13,24-JER
290,a,1,13,24-JER
291,heated,1,13,24-JER
292,"pot,",1,13,24-JER
293,whose,1,13,24-JER
294,surface,1,13,24-JER
295,is,1,13,24-JER
296,"churning,",1,13,24-JER
297,tipping,1,13,24-JER
298,away,1,13,24-JER
299,from,1,13,24-JER
300,the,1,13,24-JER
301,north.”,1,13,24-JER
302,Yahweh,1,14,24-JER
303,said,1,14,24-JER
304,to,1,14,24-JER
305,"me,",1,14,24-JER
306,“Disaster,1,14,24-JER
307,will,1,14,24-JER
308,be,1,14,24-JER
309,opened,1,14,24-JER
310,up,1,14,24-JER
311,out,1,14,24-JER
312,of,1,14,24-JER
313,the,1,14,24-JER
314,north,1,14,24-JER
315,on,1,14,24-JER
316,all,1,14,24-JER
317,who,1,14,24-JER
318,live,1,14,24-JER
319,in,1,14,24-JER
320,this,1,14,24-JER
321,land.,1,14,24-JER
322,For,1,15,24-JER
323,I,1,15,24-JER
324,am,1,15,24-JER
325,calling,1,15,24-JER
326,all,1,15,24-JER
327,the,1,15,24-JER
328,tribes,1,15,24-JER
329,of,1,15,24-JER
330,the,1,15,24-JER
331,northern,1,15,24-JER
332,"kingdoms,",1,15,24-JER
333,declares,1,15,24-JER
334,Yahweh.,1,15,24-JER
335,They,1,15,24-JER
336,will,1,15,24-JER
337,"come,",1,15,24-JER
338,and,1,15,24-JER
339,everyone,1,15,24-JER
340,will,1,15,24-JER
341,set,1,15,24-JER
342,his,1,15,24-JER
343,throne,1,15,24-JER
344,at,1,15,24-JER
345,the,1,15,24-JER
346,entrance,1,15,24-JER
347,of,1,15,24-JER
348,the,1,15,24-JER
349,gates,1,15,24-JER
350,of,1,15,24-JER
351,"Jerusalem,",1,15,24-JER
352,against,1,15,24-JER
353,all,1,15,24-JER
354,the,1,15,24-JER
355,walls,1,15,24-JER
356,that,1,15,24-JER
357,surround,1,15,24-JER
358,"it,",1,15,24-JER
359,and,1,15,24-JER
360,against,1,15,24-JER
361,all,1,15,24-JER
362,the,1,15,24-JER
363,cities,1,15,24-JER
364,of,1,15,24-JER
365,Judah.,1,15,24-JER
366,I,1,16,24-JER
367,will,1,16,24-JER
368,pronounce,1,16,24-JER
369,sentence,1,16,24-JER
370,against,1,16,24-JER
371,them,1,16,24-JER
372,for,1,16,24-JER
373,all,1,16,24-JER
374,their,1,16,24-JER
375,evil,1,16,24-JER
376,in,1,16,24-JER
377,forsaking,1,16,24-JER
378,"me,",1,16,24-JER
379,in,1,16,24-JER
380,burning,1,16,24-JER
381,incense,1,16,24-JER
382,to,1,16,24-JER
383,other,1,16,24-JER
384,"gods,",1,16,24-JER
385,and,1,16,24-JER
386,in,1,16,24-JER
387,worshiping,1,16,24-JER
388,what,1,16,24-JER
389,they,1,16,24-JER
390,made,1,16,24-JER
391,with,1,16,24-JER
392,their,1,16,24-JER
393,own,1,16,24-JER
394,hands.,1,16,24-JER
395,Get,1,17,24-JER
396,yourself,1,17,24-JER
397,ready!,1,17,24-JER
398,Stand,1,17,24-JER
399,up,1,17,24-JER
400,and,1,17,24-JER
401,say,1,17,24-JER
402,to,1,17,24-JER
403,them,1,17,24-JER
404,whatever,1,17,24-JER
405,I,1,17,24-JER
406,command,1,17,24-JER
407,you.,1,17,24-JER
408,Do,1,17,24-JER
409,not,1,17,24-JER
410,be,1,17,24-JER
411,shattered,1,17,24-JER
412,before,1,17,24-JER
413,"them,",1,17,24-JER
414,or,1,17,24-JER
415,I,1,17,24-JER
416,will,1,17,24-JER
417,shatter,1,17,24-JER
418,you,1,17,24-JER
419,before,1,17,24-JER
420,them!,1,17,24-JER
421,Behold!,1,18,24-JER
422,Today,1,18,24-JER
423,I,1,18,24-JER
424,have,1,18,24-JER
425,made,1,18,24-JER
426,you,1,18,24-JER
