,token,alg,alg_id,chapter,verse,book
0,"\w The|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֖וֹן""\\*']",31-OBA-1,1,1,31-OBA
1," \w vision|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֖וֹן""\\*']",31-OBA-1,1,1,31-OBA
2," \w of|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֖וֹן""\\*']",31-OBA-1,1,1,31-OBA
3,,"['\\zaln-s |x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֖וֹן""\\*']",31-OBA-1,1,1,31-OBA
4," \w Obadiah|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H5662"" x-lemma=""עֹבַדְיָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""עֹֽבַדְיָ֑ה""\\*']",31-OBA-2,1,1,31-OBA
5,,"['\\zaln-s |x-strong=""H5662"" x-lemma=""עֹבַדְיָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""עֹֽבַדְיָ֑ה""\\*']",31-OBA-2,1,1,31-OBA
6,": \w thus|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H3541"" x-lemma=""כֹּה"" x-morph=""He,D"" x-occurrence=""1"" x-occurrences=""1"" x-content=""כֹּֽה""\\*']",31-OBA-3,1,1,31-OBA
7,,"['\\zaln-s |x-strong=""H3541"" x-lemma=""כֹּה"" x-morph=""He,D"" x-occurrence=""1"" x-occurrences=""1"" x-content=""כֹּֽה""\\*']",31-OBA-3,1,1,31-OBA
8," \w says|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H0559"" x-lemma=""אָמַר"" x-morph=""He,Vqp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אָמַר֩""\\*']",31-OBA-4,1,1,31-OBA
9,,"['\\zaln-s |x-strong=""H0559"" x-lemma=""אָמַר"" x-morph=""He,Vqp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אָמַר֩""\\*']",31-OBA-4,1,1,31-OBA
10," \w my|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H0136"" x-lemma=""אֲדֹנָי"" x-morph=""He,Ncmpc:Sp1cs"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֲדֹנָ֨\u2060י""\\*']",31-OBA-5,1,1,31-OBA
11," \w Lord|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H0136"" x-lemma=""אֲדֹנָי"" x-morph=""He,Ncmpc:Sp1cs"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֲדֹנָ֨\u2060י""\\*']",31-OBA-5,1,1,31-OBA
12,,"['\\zaln-s |x-strong=""H0136"" x-lemma=""אֲדֹנָי"" x-morph=""He,Ncmpc:Sp1cs"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֲדֹנָ֨\u2060י""\\*']",31-OBA-5,1,1,31-OBA
13," \w Yahweh|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""H3069"" x-lemma=""יְהֹוִה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוִ֜ה""\\*']",31-OBA-6,1,1,31-OBA
14,,"['\\zaln-s |x-strong=""H3069"" x-lemma=""יְהֹוִה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוִ֜ה""\\*']",31-OBA-6,1,1,31-OBA
15," \w concerning|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""l:H0123"" x-lemma=""אֱדֹם"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לֶ\u2060אֱד֗וֹם""\\*']",31-OBA-7,1,1,31-OBA
16," \w Edom|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""l:H0123"" x-lemma=""אֱדֹם"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לֶ\u2060אֱד֗וֹם""\\*']",31-OBA-7,1,1,31-OBA
17,,"['\\zaln-s |x-strong=""l:H0123"" x-lemma=""אֱדֹם"" x-morph=""He,R:Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לֶ\u2060אֱד֗וֹם""\\*']",31-OBA-7,1,1,31-OBA
18,". \q1 \w We|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H8085"" x-lemma=""שָׁמַע"" x-morph=""He,Vqp1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שָׁמַ֜עְנוּ""\\*']",31-OBA-8,1,1,31-OBA
19," \w have|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H8085"" x-lemma=""שָׁמַע"" x-morph=""He,Vqp1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שָׁמַ֜עְנוּ""\\*']",31-OBA-8,1,1,31-OBA
20," \w heard|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H8085"" x-lemma=""שָׁמַע"" x-morph=""He,Vqp1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שָׁמַ֜עְנוּ""\\*']",31-OBA-8,1,1,31-OBA
21,,"['\\zaln-s |x-strong=""H8085"" x-lemma=""שָׁמַע"" x-morph=""He,Vqp1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שָׁמַ֜עְנוּ""\\*']",31-OBA-8,1,1,31-OBA
22," \w a|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""H8052"" x-lemma=""שְׁמוּעָה"" x-morph=""He,Ncfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שְׁמוּעָ֨ה""\\*']",31-OBA-9,1,1,31-OBA
23," \w report|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H8052"" x-lemma=""שְׁמוּעָה"" x-morph=""He,Ncfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שְׁמוּעָ֨ה""\\*']",31-OBA-9,1,1,31-OBA
24,,"['\\zaln-s |x-strong=""H8052"" x-lemma=""שְׁמוּעָה"" x-morph=""He,Ncfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שְׁמוּעָ֨ה""\\*']",31-OBA-9,1,1,31-OBA
25," \w from|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""m:H0854"" x-lemma=""אֵת"" x-morph=""He,R:R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֵ\u2060אֵ֤ת""\\*']",31-OBA-10,1,1,31-OBA
26,,"['\\zaln-s |x-strong=""m:H0854"" x-lemma=""אֵת"" x-morph=""He,R:R"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מֵ\u2060אֵ֤ת""\\*']",31-OBA-10,1,1,31-OBA
27," \w Yahweh|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָה֙""\\*']",31-OBA-11,1,1,31-OBA
28,,"['\\zaln-s |x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָה֙""\\*']",31-OBA-11,1,1,31-OBA
29,", \w and|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H6735a"" x-lemma=""צִיר"" x-morph=""He,C:Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060צִיר֙""\\*']",31-OBA-12,1,1,31-OBA
30," \w a|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""c:H6735a"" x-lemma=""צִיר"" x-morph=""He,C:Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060צִיר֙""\\*']",31-OBA-12,1,1,31-OBA
31," \w messenger|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H6735a"" x-lemma=""צִיר"" x-morph=""He,C:Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060צִיר֙""\\*']",31-OBA-12,1,1,31-OBA
32,,"['\\zaln-s |x-strong=""c:H6735a"" x-lemma=""צִיר"" x-morph=""He,C:Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060צִיר֙""\\*']",31-OBA-12,1,1,31-OBA
33," \w has|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H7971"" x-lemma=""שָׁלַח"" x-morph=""He,VPp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שֻׁלָּ֔ח""\\*']",31-OBA-13,1,1,31-OBA
34," \w been|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H7971"" x-lemma=""שָׁלַח"" x-morph=""He,VPp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שֻׁלָּ֔ח""\\*']",31-OBA-13,1,1,31-OBA
35," \w sent|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H7971"" x-lemma=""שָׁלַח"" x-morph=""He,VPp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שֻׁלָּ֔ח""\\*']",31-OBA-13,1,1,31-OBA
36," \w off|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H7971"" x-lemma=""שָׁלַח"" x-morph=""He,VPp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שֻׁלָּ֔ח""\\*']",31-OBA-13,1,1,31-OBA
37,,"['\\zaln-s |x-strong=""H7971"" x-lemma=""שָׁלַח"" x-morph=""He,VPp3ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""שֻׁלָּ֔ח""\\*']",31-OBA-13,1,1,31-OBA
38," \w among|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""b:H1471a"" x-lemma=""גּוֹי"" x-morph=""He,Rd:Ncmpa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בַּ\u2060גּוֹיִ֣ם""\\*']",31-OBA-14,1,1,31-OBA
39," \w the|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""b:H1471a"" x-lemma=""גּוֹי"" x-morph=""He,Rd:Ncmpa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בַּ\u2060גּוֹיִ֣ם""\\*']",31-OBA-14,1,1,31-OBA
40," \w nations|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""b:H1471a"" x-lemma=""גּוֹי"" x-morph=""He,Rd:Ncmpa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בַּ\u2060גּוֹיִ֣ם""\\*']",31-OBA-14,1,1,31-OBA
41,,"['\\zaln-s |x-strong=""b:H1471a"" x-lemma=""גּוֹי"" x-morph=""He,Rd:Ncmpa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""בַּ\u2060גּוֹיִ֣ם""\\*']",31-OBA-14,1,1,31-OBA
42,": “\w Get|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H6965b"" x-lemma=""קוּם"" x-morph=""He,Vqv2mp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ק֛וּמוּ""\\*']",31-OBA-15,1,1,31-OBA
43," \w up|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""H6965b"" x-lemma=""קוּם"" x-morph=""He,Vqv2mp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ק֛וּמוּ""\\*']",31-OBA-15,1,1,31-OBA
44,,"['\\zaln-s |x-strong=""H6965b"" x-lemma=""קוּם"" x-morph=""He,Vqv2mp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ק֛וּמוּ""\\*']",31-OBA-15,1,1,31-OBA
45,"! \w And|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H6965b"" x-lemma=""קוּם"" x-morph=""He,C:Vqh1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נָק֥וּמָה""\\*']",31-OBA-16,1,1,31-OBA
46," \w let|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H6965b"" x-lemma=""קוּם"" x-morph=""He,C:Vqh1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נָק֥וּמָה""\\*']",31-OBA-16,1,1,31-OBA
47," \w us|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H6965b"" x-lemma=""קוּם"" x-morph=""He,C:Vqh1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נָק֥וּמָה""\\*']",31-OBA-16,1,1,31-OBA
48," \w rise|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""c:H6965b"" x-lemma=""קוּם"" x-morph=""He,C:Vqh1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נָק֥וּמָה""\\*']",31-OBA-16,1,1,31-OBA
49," \w up|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""c:H6965b"" x-lemma=""קוּם"" x-morph=""He,C:Vqh1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נָק֥וּמָה""\\*']",31-OBA-16,1,1,31-OBA
50,,"['\\zaln-s |x-strong=""c:H6965b"" x-lemma=""קוּם"" x-morph=""He,C:Vqh1cp"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נָק֥וּמָה""\\*']",31-OBA-16,1,1,31-OBA
51," \w against|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H5921a"" x-lemma=""עַל"" x-morph=""He,R:Sp3fs"" x-occurrence=""1"" x-occurrences=""1"" x-content=""עָלֶי\u2060הָ""\\*']",31-OBA-17,1,1,31-OBA
52," \w her|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H5921a"" x-lemma=""עַל"" x-morph=""He,R:Sp3fs"" x-occurrence=""1"" x-occurrences=""1"" x-content=""עָלֶי\u2060הָ""\\*']",31-OBA-17,1,1,31-OBA
53,,"['\\zaln-s |x-strong=""H5921a"" x-lemma=""עַל"" x-morph=""He,R:Sp3fs"" x-occurrence=""1"" x-occurrences=""1"" x-content=""עָלֶי\u2060הָ""\\*']",31-OBA-17,1,1,31-OBA
54," \w for|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""l:H4421"" x-lemma=""מִלְחָמָה"" x-morph=""He,Rd:Ncfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לַ\u2060מִּלְחָמָֽה""\\*']",31-OBA-18,1,1,31-OBA
55," \w battle|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""l:H4421"" x-lemma=""מִלְחָמָה"" x-morph=""He,Rd:Ncfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לַ\u2060מִּלְחָמָֽה""\\*']",31-OBA-18,1,1,31-OBA
56,,"['\\zaln-s |x-strong=""l:H4421"" x-lemma=""מִלְחָמָה"" x-morph=""He,Rd:Ncfsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""לַ\u2060מִּלְחָמָֽה""\\*']",31-OBA-18,1,1,31-OBA
57,!” \q1,[],31-OBA-19,1,1,31-OBA
58,"\w Behold|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H2009"" x-lemma=""הִנֵּה"" x-morph=""He,Tm"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הִנֵּ֥ה""\\*']",31-OBA-20,1,2,31-OBA
59,,"['\\zaln-s |x-strong=""H2009"" x-lemma=""הִנֵּה"" x-morph=""He,Tm"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הִנֵּ֥ה""\\*']",31-OBA-20,1,2,31-OBA
60,", \w I|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""H5414"" x-lemma=""נָתַן"" x-morph=""He,Vqp1cs:Sp2ms"" x-occurrence=""1"" x-occurrences=""1"" x-content=""נְתַתִּ֖י\u2060ךָ""\\*']",31-OBA-21,1,2,31-OBA
