,token,chapter,verse,book
0,This,1,1,33-MIC
1,is,1,1,33-MIC
2,the,1,1,33-MIC
3,word,1,1,33-MIC
4,of,1,1,33-MIC
5,Yahweh,1,1,33-MIC
6,that,1,1,33-MIC
7,came,1,1,33-MIC
8,to,1,1,33-MIC
9,Micah,1,1,33-MIC
10,the,1,1,33-MIC
11,Morashtite,1,1,33-MIC
12,in,1,1,33-MIC
13,the,1,1,33-MIC
14,days,1,1,33-MIC
15,of,1,1,33-MIC
16,"Jotham,",1,1,33-MIC
17,"Ahaz,",1,1,33-MIC
18,and,1,1,33-MIC
19,"Hezekiah,",1,1,33-MIC
20,kings,1,1,33-MIC
21,of,1,1,33-MIC
22,"Judah,",1,1,33-MIC
23,which,1,1,33-MIC
24,he,1,1,33-MIC
25,saw,1,1,33-MIC
26,concerning,1,1,33-MIC
27,Samaria,1,1,33-MIC
28,and,1,1,33-MIC
29,Jerusalem.,1,1,33-MIC
30,"Listen,",1,2,33-MIC
31,all,1,2,33-MIC
32,you,1,2,33-MIC
33,peoples.,1,2,33-MIC
34,"Listen,",1,2,33-MIC
35,"earth,",1,2,33-MIC
36,and,1,2,33-MIC
37,all,1,2,33-MIC
38,that,1,2,33-MIC
39,is,1,2,33-MIC
40,in,1,2,33-MIC
41,you.,1,2,33-MIC
42,Let,1,2,33-MIC
43,the,1,2,33-MIC
44,Lord,1,2,33-MIC
45,Yahweh,1,2,33-MIC
46,be,1,2,33-MIC
47,a,1,2,33-MIC
48,witness,1,2,33-MIC
49,against,1,2,33-MIC
50,"you,",1,2,33-MIC
51,the,1,2,33-MIC
52,Lord,1,2,33-MIC
53,from,1,2,33-MIC
54,his,1,2,33-MIC
55,holy,1,2,33-MIC
56,temple.,1,2,33-MIC
57,"Look,",1,3,33-MIC
58,Yahweh,1,3,33-MIC
59,comes,1,3,33-MIC
60,out,1,3,33-MIC
61,of,1,3,33-MIC
62,his,1,3,33-MIC
63,place;,1,3,33-MIC
64,he,1,3,33-MIC
65,will,1,3,33-MIC
66,come,1,3,33-MIC
67,down,1,3,33-MIC
68,and,1,3,33-MIC
69,tread,1,3,33-MIC
70,on,1,3,33-MIC
71,the,1,3,33-MIC
72,high,1,3,33-MIC
73,places,1,3,33-MIC
74,of,1,3,33-MIC
75,the,1,3,33-MIC
76,earth.,1,3,33-MIC
77,The,1,4,33-MIC
78,mountains,1,4,33-MIC
79,will,1,4,33-MIC
80,melt,1,4,33-MIC
81,under,1,4,33-MIC
82,him;,1,4,33-MIC
83,the,1,4,33-MIC
84,valleys,1,4,33-MIC
85,will,1,4,33-MIC
86,break,1,4,33-MIC
87,"apart,",1,4,33-MIC
88,like,1,4,33-MIC
89,wax,1,4,33-MIC
90,before,1,4,33-MIC
91,"fire,",1,4,33-MIC
92,like,1,4,33-MIC
93,waters,1,4,33-MIC
94,that,1,4,33-MIC
95,are,1,4,33-MIC
96,poured,1,4,33-MIC
97,down,1,4,33-MIC
98,a,1,4,33-MIC
99,steep,1,4,33-MIC
100,place.,1,4,33-MIC
101,All,1,5,33-MIC
102,this,1,5,33-MIC
