,token,chapter,verse,book
0,This,1,1,36-ZEP
1,is,1,1,36-ZEP
2,the,1,1,36-ZEP
3,word,1,1,36-ZEP
4,of,1,1,36-ZEP
5,Yahweh,1,1,36-ZEP
6,that,1,1,36-ZEP
7,came,1,1,36-ZEP
8,to,1,1,36-ZEP
9,Zephaniah,1,1,36-ZEP
10,son,1,1,36-ZEP
11,of,1,1,36-ZEP
12,Cushi,1,1,36-ZEP
13,son,1,1,36-ZEP
14,of,1,1,36-ZEP
15,Gedaliah,1,1,36-ZEP
16,son,1,1,36-ZEP
17,of,1,1,36-ZEP
18,Amariah,1,1,36-ZEP
19,son,1,1,36-ZEP
20,of,1,1,36-ZEP
21,"Hezekiah,",1,1,36-ZEP
22,in,1,1,36-ZEP
23,the,1,1,36-ZEP
24,days,1,1,36-ZEP
25,of,1,1,36-ZEP
26,Josiah,1,1,36-ZEP
27,son,1,1,36-ZEP
28,of,1,1,36-ZEP
29,"Amon,",1,1,36-ZEP
30,king,1,1,36-ZEP
31,of,1,1,36-ZEP
32,Judah.,1,1,36-ZEP
33,“I,1,2,36-ZEP
34,will,1,2,36-ZEP
35,utterly,1,2,36-ZEP
36,destroy,1,2,36-ZEP
37,everything,1,2,36-ZEP
38,from,1,2,36-ZEP
39,off,1,2,36-ZEP
40,the,1,2,36-ZEP
41,surface,1,2,36-ZEP
42,of,1,2,36-ZEP
43,the,1,2,36-ZEP
44,earth—this,1,2,36-ZEP
45,is,1,2,36-ZEP
46,Yahweh’s,1,2,36-ZEP
47,declaration.,1,2,36-ZEP
48,I,1,3,36-ZEP
49,will,1,3,36-ZEP
50,destroy,1,3,36-ZEP
51,man,1,3,36-ZEP
52,and,1,3,36-ZEP
53,beast;,1,3,36-ZEP
54,I,1,3,36-ZEP
55,will,1,3,36-ZEP
56,destroy,1,3,36-ZEP
57,the,1,3,36-ZEP
58,birds,1,3,36-ZEP
59,of,1,3,36-ZEP
60,the,1,3,36-ZEP
61,heavens,1,3,36-ZEP
62,and,1,3,36-ZEP
63,the,1,3,36-ZEP
64,fish,1,3,36-ZEP
65,of,1,3,36-ZEP
66,the,1,3,36-ZEP
67,"sea,",1,3,36-ZEP
68,the,1,3,36-ZEP
69,ruins,1,3,36-ZEP
70,along,1,3,36-ZEP
71,with,1,3,36-ZEP
72,the,1,3,36-ZEP
73,wicked.,1,3,36-ZEP
74,For,1,3,36-ZEP
75,I,1,3,36-ZEP
76,will,1,3,36-ZEP
77,cut,1,3,36-ZEP
78,off,1,3,36-ZEP
79,man,1,3,36-ZEP
80,from,1,3,36-ZEP
81,the,1,3,36-ZEP
82,surface,1,3,36-ZEP
83,of,1,3,36-ZEP
84,the,1,3,36-ZEP
85,earth—this,1,3,36-ZEP
86,is,1,3,36-ZEP
87,Yahweh’s,1,3,36-ZEP
88,declaration.,1,3,36-ZEP
89,I,1,4,36-ZEP
90,will,1,4,36-ZEP
91,reach,1,4,36-ZEP
92,out,1,4,36-ZEP
93,with,1,4,36-ZEP
94,my,1,4,36-ZEP
95,hand,1,4,36-ZEP
96,over,1,4,36-ZEP
97,Judah,1,4,36-ZEP
98,and,1,4,36-ZEP
99,all,1,4,36-ZEP
100,the,1,4,36-ZEP
101,inhabitants,1,4,36-ZEP
102,of,1,4,36-ZEP
103,Jerusalem.,1,4,36-ZEP
104,I,1,4,36-ZEP
105,will,1,4,36-ZEP
106,cut,1,4,36-ZEP
107,off,1,4,36-ZEP
108,every,1,4,36-ZEP
109,remnant,1,4,36-ZEP
110,of,1,4,36-ZEP
111,Baal,1,4,36-ZEP
112,from,1,4,36-ZEP
113,this,1,4,36-ZEP
114,place,1,4,36-ZEP
115,and,1,4,36-ZEP
116,the,1,4,36-ZEP
117,names,1,4,36-ZEP
118,of,1,4,36-ZEP
119,the,1,4,36-ZEP
120,idolatrous,1,4,36-ZEP
121,people,1,4,36-ZEP
122,among,1,4,36-ZEP
123,the,1,4,36-ZEP
124,"priests,",1,4,36-ZEP
125,the,1,5,36-ZEP
126,people,1,5,36-ZEP
127,who,1,5,36-ZEP
128,on,1,5,36-ZEP
129,the,1,5,36-ZEP
130,housetops,1,5,36-ZEP
131,worship,1,5,36-ZEP
132,the,1,5,36-ZEP
133,heavenly,1,5,36-ZEP
134,"bodies,",1,5,36-ZEP
135,and,1,5,36-ZEP
136,the,1,5,36-ZEP
137,people,1,5,36-ZEP
138,who,1,5,36-ZEP
139,worship,1,5,36-ZEP
140,and,1,5,36-ZEP
141,swear,1,5,36-ZEP
142,to,1,5,36-ZEP
143,Yahweh,1,5,36-ZEP
144,but,1,5,36-ZEP
145,who,1,5,36-ZEP
146,also,1,5,36-ZEP
147,swear,1,5,36-ZEP
148,by,1,5,36-ZEP
149,their,1,5,36-ZEP
150,king.,1,5,36-ZEP
151,\f,1,5,36-ZEP
152,+,1,5,36-ZEP
153,The,1,5,36-ZEP
154,Hebrew,1,5,36-ZEP
155,text,1,5,36-ZEP
156,has,1,5,36-ZEP
157,\fqa,1,5,36-ZEP
158,by,1,5,36-ZEP
159,their,1,5,36-ZEP
160,king,1,5,36-ZEP
161,\fqa*,1,5,36-ZEP
162,",",1,5,36-ZEP
163,but,1,5,36-ZEP
164,some,1,5,36-ZEP
165,modern,1,5,36-ZEP
166,versions,1,5,36-ZEP
167,read,1,5,36-ZEP
168,\fqa,1,5,36-ZEP
169,by,1,5,36-ZEP
170,Milcom,1,5,36-ZEP
171,\fqa*,1,5,36-ZEP
172,",",1,5,36-ZEP
173,the,1,5,36-ZEP
174,name,1,5,36-ZEP
175,of,1,5,36-ZEP
176,a,1,5,36-ZEP
177,pagan,1,5,36-ZEP
178,god,1,5,36-ZEP
179,that,1,5,36-ZEP
180,many,1,5,36-ZEP
181,people,1,5,36-ZEP
182,worshiped.,1,5,36-ZEP
183,\f*,1,5,36-ZEP
184,I,1,6,36-ZEP
185,will,1,6,36-ZEP
186,also,1,6,36-ZEP
187,cut,1,6,36-ZEP
188,off,1,6,36-ZEP
189,those,1,6,36-ZEP
190,who,1,6,36-ZEP
191,have,1,6,36-ZEP
192,turned,1,6,36-ZEP
193,away,1,6,36-ZEP
194,from,1,6,36-ZEP
195,following,1,6,36-ZEP
196,"Yahweh,",1,6,36-ZEP
197,those,1,6,36-ZEP
198,who,1,6,36-ZEP
199,neither,1,6,36-ZEP
200,seek,1,6,36-ZEP
201,Yahweh,1,6,36-ZEP
202,nor,1,6,36-ZEP
203,ask,1,6,36-ZEP
204,for,1,6,36-ZEP
205,his,1,6,36-ZEP
206,guidance.”,1,6,36-ZEP
207,Be,1,7,36-ZEP
208,silent,1,7,36-ZEP
209,before,1,7,36-ZEP
210,the,1,7,36-ZEP
211,Lord,1,7,36-ZEP
212,Yahweh!,1,7,36-ZEP
213,For,1,7,36-ZEP
214,the,1,7,36-ZEP
215,day,1,7,36-ZEP
216,of,1,7,36-ZEP
217,Yahweh,1,7,36-ZEP
218,is,1,7,36-ZEP
219,near;,1,7,36-ZEP
220,Yahweh,1,7,36-ZEP
221,has,1,7,36-ZEP
222,prepared,1,7,36-ZEP
223,the,1,7,36-ZEP
224,sacrifice,1,7,36-ZEP
225,and,1,7,36-ZEP
226,set,1,7,36-ZEP
227,apart,1,7,36-ZEP
228,his,1,7,36-ZEP
229,guests.,1,7,36-ZEP
230,“It,1,8,36-ZEP
231,will,1,8,36-ZEP
232,come,1,8,36-ZEP
233,about,1,8,36-ZEP
234,on,1,8,36-ZEP
235,the,1,8,36-ZEP
236,day,1,8,36-ZEP
237,of,1,8,36-ZEP
238,Yahweh’s,1,8,36-ZEP
239,"sacrifice,",1,8,36-ZEP
240,that,1,8,36-ZEP
241,I,1,8,36-ZEP
242,will,1,8,36-ZEP
243,punish,1,8,36-ZEP
244,the,1,8,36-ZEP
245,princes,1,8,36-ZEP
246,and,1,8,36-ZEP
247,the,1,8,36-ZEP
248,king’s,1,8,36-ZEP
249,"sons,",1,8,36-ZEP
250,and,1,8,36-ZEP
251,everyone,1,8,36-ZEP
252,dressed,1,8,36-ZEP
253,in,1,8,36-ZEP
254,foreign,1,8,36-ZEP
