,token,chapter,verse,book
0,In,1,1,37-HAG
1,the,1,1,37-HAG
2,second,1,1,37-HAG
3,year,1,1,37-HAG
4,of,1,1,37-HAG
5,Darius,1,1,37-HAG
6,the,1,1,37-HAG
7,"king,",1,1,37-HAG
8,in,1,1,37-HAG
9,the,1,1,37-HAG
10,sixth,1,1,37-HAG
11,"month,",1,1,37-HAG
12,on,1,1,37-HAG
13,the,1,1,37-HAG
14,first,1,1,37-HAG
15,day,1,1,37-HAG
16,of,1,1,37-HAG
17,the,1,1,37-HAG
18,"month,",1,1,37-HAG
19,the,1,1,37-HAG
20,word,1,1,37-HAG
21,of,1,1,37-HAG
22,Yahweh,1,1,37-HAG
23,came,1,1,37-HAG
24,by,1,1,37-HAG
25,the,1,1,37-HAG
26,hand,1,1,37-HAG
27,of,1,1,37-HAG
28,Haggai,1,1,37-HAG
29,the,1,1,37-HAG
30,prophet,1,1,37-HAG
31,to,1,1,37-HAG
32,the,1,1,37-HAG
33,governor,1,1,37-HAG
34,of,1,1,37-HAG
35,"Judah,",1,1,37-HAG
36,Zerubbabel,1,1,37-HAG
37,son,1,1,37-HAG
38,of,1,1,37-HAG
39,"Shealtiel,",1,1,37-HAG
40,and,1,1,37-HAG
41,to,1,1,37-HAG
42,the,1,1,37-HAG
43,high,1,1,37-HAG
44,priest,1,1,37-HAG
45,Joshua,1,1,37-HAG
46,son,1,1,37-HAG
47,of,1,1,37-HAG
48,"Jehozadak,",1,1,37-HAG
49,"saying,",1,1,37-HAG
50,“Yahweh,1,2,37-HAG
51,of,1,2,37-HAG
52,hosts,1,2,37-HAG
53,says,1,2,37-HAG
54,this:,1,2,37-HAG
55,These,1,2,37-HAG
56,people,1,2,37-HAG
57,"say,",1,2,37-HAG
58,‘It,1,2,37-HAG
59,is,1,2,37-HAG
60,not,1,2,37-HAG
61,time,1,2,37-HAG
62,for,1,2,37-HAG
63,us,1,2,37-HAG
64,to,1,2,37-HAG
65,come,1,2,37-HAG
66,or,1,2,37-HAG
67,to,1,2,37-HAG
68,build,1,2,37-HAG
69,Yahweh’s,1,2,37-HAG
70,house.’”,1,2,37-HAG
71,Then,1,3,37-HAG
72,the,1,3,37-HAG
73,word,1,3,37-HAG
74,of,1,3,37-HAG
75,Yahweh,1,3,37-HAG
76,came,1,3,37-HAG
77,by,1,3,37-HAG
78,the,1,3,37-HAG
79,hand,1,3,37-HAG
80,of,1,3,37-HAG
81,Haggai,1,3,37-HAG
82,the,1,3,37-HAG
83,"prophet,",1,3,37-HAG
84,"saying,",1,3,37-HAG
85,“Is,1,4,37-HAG
86,it,1,4,37-HAG
87,a,1,4,37-HAG
88,time,1,4,37-HAG
