,token,chapter,verse,book
0,In,1,1,38-ZEC
1,the,1,1,38-ZEC
2,eighth,1,1,38-ZEC
3,month,1,1,38-ZEC
4,of,1,1,38-ZEC
5,the,1,1,38-ZEC
6,second,1,1,38-ZEC
7,year,1,1,38-ZEC
8,of,1,1,38-ZEC
9,Darius’,1,1,38-ZEC
10,"reign,",1,1,38-ZEC
11,the,1,1,38-ZEC
12,word,1,1,38-ZEC
13,of,1,1,38-ZEC
14,Yahweh,1,1,38-ZEC
15,came,1,1,38-ZEC
16,to,1,1,38-ZEC
17,Zechariah,1,1,38-ZEC
18,son,1,1,38-ZEC
19,of,1,1,38-ZEC
20,Berechiah,1,1,38-ZEC
21,son,1,1,38-ZEC
22,of,1,1,38-ZEC
23,"Iddo,",1,1,38-ZEC
24,the,1,1,38-ZEC
25,"prophet,",1,1,38-ZEC
26,"saying,",1,1,38-ZEC
27,“Yahweh,1,2,38-ZEC
28,was,1,2,38-ZEC
29,exceedingly,1,2,38-ZEC
30,angry,1,2,38-ZEC
31,with,1,2,38-ZEC
32,your,1,2,38-ZEC
33,fathers!,1,2,38-ZEC
34,Say,1,3,38-ZEC
35,to,1,3,38-ZEC
36,"them,",1,3,38-ZEC
37,‘Yahweh,1,3,38-ZEC
38,of,1,3,38-ZEC
39,hosts,1,3,38-ZEC
40,says,1,3,38-ZEC
41,this:,1,3,38-ZEC
42,Turn,1,3,38-ZEC
43,to,1,3,38-ZEC
44,me!—this,1,3,38-ZEC
45,is,1,3,38-ZEC
46,the,1,3,38-ZEC
47,declaration,1,3,38-ZEC
48,of,1,3,38-ZEC
49,Yahweh,1,3,38-ZEC
50,of,1,3,38-ZEC
51,hosts—,1,3,38-ZEC
52,and,1,3,38-ZEC
53,I,1,3,38-ZEC
54,will,1,3,38-ZEC
55,return,1,3,38-ZEC
56,to,1,3,38-ZEC
57,"you,",1,3,38-ZEC
58,says,1,3,38-ZEC
59,Yahweh,1,3,38-ZEC
60,of,1,3,38-ZEC
61,hosts.,1,3,38-ZEC
62,\p,1,3,38-ZEC
63,Do,1,4,38-ZEC
64,not,1,4,38-ZEC
65,be,1,4,38-ZEC
66,like,1,4,38-ZEC
67,your,1,4,38-ZEC
68,fathers,1,4,38-ZEC
69,to,1,4,38-ZEC
70,whom,1,4,38-ZEC
71,the,1,4,38-ZEC
72,prophets,1,4,38-ZEC
73,cried,1,4,38-ZEC
74,out,1,4,38-ZEC
75,"previously,",1,4,38-ZEC
76,"saying,",1,4,38-ZEC
77,“Yahweh,1,4,38-ZEC
78,of,1,4,38-ZEC
79,hosts,1,4,38-ZEC
