,token,alg,alg_id,chapter,verse,book
0,"\w Paul|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",47-1CO-1,1,1,47-1CO
1,,"['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",47-1CO-1,1,1,47-1CO
2,", \w called|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G28220"" x-lemma=""κλητός"" x-morph=""Gr,AA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κλητὸς""\\*']",47-1CO-2,1,1,47-1CO
3,,"['\\zaln-s |x-strong=""G28220"" x-lemma=""κλητός"" x-morph=""Gr,AA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κλητὸς""\\*']",47-1CO-2,1,1,47-1CO
4," \w by|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",47-1CO-3,1,1,47-1CO
5," \w Christ|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",47-1CO-3,1,1,47-1CO
6,,"['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",47-1CO-3,1,1,47-1CO
7," \w Jesus|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Ἰησοῦ""\\*']",47-1CO-4,1,1,47-1CO
8,,"['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Ἰησοῦ""\\*']",47-1CO-4,1,1,47-1CO
9," \w to|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G28220"" x-lemma=""κλητός"" x-morph=""Gr,AA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κλητὸς""\\*']",47-1CO-5,1,1,47-1CO
