,token,alg,alg_id,chapter,verse,book
0,"\w Paul|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",50-EPH-1,1,1,50-EPH
1,,"['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",50-EPH-1,1,1,50-EPH
2,", \w an|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G06520"" x-lemma=""ἀπόστολος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπόστολος""\\*']",50-EPH-2,1,1,50-EPH
3," \w apostle|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G06520"" x-lemma=""ἀπόστολος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπόστολος""\\*']",50-EPH-2,1,1,50-EPH
4,,"['\\zaln-s |x-strong=""G06520"" x-lemma=""ἀπόστολος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπόστολος""\\*']",50-EPH-2,1,1,50-EPH
5," \w of|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",50-EPH-3,1,1,50-EPH
6," \w Christ|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",50-EPH-3,1,1,50-EPH
7,,"['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",50-EPH-3,1,1,50-EPH
8," \w Jesus|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""Ἰησοῦ""\\*']",50-EPH-4,1,1,50-EPH
9,,"['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""Ἰησοῦ""\\*']",50-EPH-4,1,1,50-EPH
