,token,alg,alg_id,chapter,verse,book
0,"\w Paul|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",51-PHP-1,1,1,51-PHP
1,,"['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",51-PHP-1,1,1,51-PHP
2," \w and|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""καὶ""\\*']",51-PHP-2,1,1,51-PHP
3,,"['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""καὶ""\\*']",51-PHP-2,1,1,51-PHP
4," \w Timothy|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G50950"" x-lemma=""Τιμόθεος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Τιμόθεος""\\*']",51-PHP-3,1,1,51-PHP
5,,"['\\zaln-s |x-strong=""G50950"" x-lemma=""Τιμόθεος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Τιμόθεος""\\*']",51-PHP-3,1,1,51-PHP
6,", \w servants|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G14010"" x-lemma=""δοῦλος"" x-morph=""Gr,N,,,,,NMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""δοῦλοι""\\*']",51-PHP-4,1,1,51-PHP
7,,"['\\zaln-s |x-strong=""G14010"" x-lemma=""δοῦλος"" x-morph=""Gr,N,,,,,NMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""δοῦλοι""\\*']",51-PHP-4,1,1,51-PHP
8," \w of|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",51-PHP-5,1,1,51-PHP
9," \w Christ|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",51-PHP-5,1,1,51-PHP
10,,"['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",51-PHP-5,1,1,51-PHP
11," \w Jesus|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""Ἰησοῦ""\\*']",51-PHP-6,1,1,51-PHP
12,,"['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""Ἰησοῦ""\\*']",51-PHP-6,1,1,51-PHP
13,", \w to|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39560"" x-lemma=""πᾶς"" x-morph=""Gr,EQ,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πᾶσιν""\\*']",51-PHP-7,1,1,51-PHP
14," \w all|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39560"" x-lemma=""πᾶς"" x-morph=""Gr,EQ,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πᾶσιν""\\*']",51-PHP-7,1,1,51-PHP
15,,"['\\zaln-s |x-strong=""G39560"" x-lemma=""πᾶς"" x-morph=""Gr,EQ,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πᾶσιν""\\*']",51-PHP-7,1,1,51-PHP
16," \w those|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""τοῖς""\\*', '\\zaln-s |x-strong=""G00400"" x-lemma=""ἅγιος"" x-morph=""Gr,NS,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἁγίοις""\\*']",51-PHP-8,1,1,51-PHP
17," \w set|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""τοῖς""\\*', '\\zaln-s |x-strong=""G00400"" x-lemma=""ἅγιος"" x-morph=""Gr,NS,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἁγίοις""\\*']",51-PHP-8,1,1,51-PHP
18," \w apart|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""τοῖς""\\*', '\\zaln-s |x-strong=""G00400"" x-lemma=""ἅγιος"" x-morph=""Gr,NS,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἁγίοις""\\*']",51-PHP-8,1,1,51-PHP
19,,"['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DMP,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""τοῖς""\\*', '\\zaln-s |x-strong=""G00400"" x-lemma=""ἅγιος"" x-morph=""Gr,NS,,,,DMP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἁγίοις""\\*']",51-PHP-8,1,1,51-PHP
20,,[],51-PHP-9,1,1,51-PHP
