,token,alg,alg_id,chapter,verse,book
0,"\w Paul|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",56-2TI-1,1,1,56-2TI
1,,"['\\zaln-s |x-strong=""G39720"" x-lemma=""Παῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Παῦλος""\\*']",56-2TI-1,1,1,56-2TI
2,", \w an|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G06520"" x-lemma=""ἀπόστολος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπόστολος""\\*']",56-2TI-2,1,1,56-2TI
3," \w apostle|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G06520"" x-lemma=""ἀπόστολος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπόστολος""\\*']",56-2TI-2,1,1,56-2TI
4,,"['\\zaln-s |x-strong=""G06520"" x-lemma=""ἀπόστολος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπόστολος""\\*']",56-2TI-2,1,1,56-2TI
5," \w of|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",56-2TI-3,1,1,56-2TI
6," \w Christ|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",56-2TI-3,1,1,56-2TI
7,,"['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστοῦ""\\*']",56-2TI-3,1,1,56-2TI
8," \w Jesus|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""Ἰησοῦ""\\*']",56-2TI-4,1,1,56-2TI
9,,"['\\zaln-s |x-strong=""G24240"" x-lemma=""Ἰησοῦς"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""Ἰησοῦ""\\*']",56-2TI-4,1,1,56-2TI
10," \w through|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G12230"" x-lemma=""διά"" x-morph=""Gr,P,,,,,G,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""διὰ""\\*']",56-2TI-5,1,1,56-2TI
11,,"['\\zaln-s |x-strong=""G12230"" x-lemma=""διά"" x-morph=""Gr,P,,,,,G,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""διὰ""\\*']",56-2TI-5,1,1,56-2TI
12," \w the|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G23070"" x-lemma=""θέλημα"" x-morph=""Gr,N,,,,,GNS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""θελήματος""\\*']",56-2TI-6,1,1,56-2TI
13," \w will|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G23070"" x-lemma=""θέλημα"" x-morph=""Gr,N,,,,,GNS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""θελήματος""\\*']",56-2TI-6,1,1,56-2TI
14,,"['\\zaln-s |x-strong=""G23070"" x-lemma=""θέλημα"" x-morph=""Gr,N,,,,,GNS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""θελήματος""\\*']",56-2TI-6,1,1,56-2TI
15," \w of|x-occurrence=""2"" x-occurrences=""3""","['\\zaln-s |x-strong=""G23160"" x-lemma=""θεός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Θεοῦ""\\*']",56-2TI-7,1,1,56-2TI
16," \w God|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G23160"" x-lemma=""θεός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Θεοῦ""\\*']",56-2TI-7,1,1,56-2TI
17,,"['\\zaln-s |x-strong=""G23160"" x-lemma=""θεός"" x-morph=""Gr,N,,,,,GMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Θεοῦ""\\*']",56-2TI-7,1,1,56-2TI
18,", \w according|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G25960"" x-lemma=""κατά"" x-morph=""Gr,P,,,,,A,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κατ’""\\*']",56-2TI-8,1,1,56-2TI
19," \w to|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G25960"" x-lemma=""κατά"" x-morph=""Gr,P,,,,,A,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κατ’""\\*']",56-2TI-8,1,1,56-2TI
20,,"['\\zaln-s |x-strong=""G25960"" x-lemma=""κατά"" x-morph=""Gr,P,,,,,A,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κατ’""\\*']",56-2TI-8,1,1,56-2TI
21," \w the|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""G18600"" x-lemma=""ἐπαγγελία"" x-morph=""Gr,N,,,,,AFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐπαγγελίαν""\\*']",56-2TI-9,1,1,56-2TI
22," \w promise|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G18600"" x-lemma=""ἐπαγγελία"" x-morph=""Gr,N,,,,,AFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐπαγγελίαν""\\*']",56-2TI-9,1,1,56-2TI
23,,"['\\zaln-s |x-strong=""G18600"" x-lemma=""ἐπαγγελία"" x-morph=""Gr,N,,,,,AFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐπαγγελίαν""\\*']",56-2TI-9,1,1,56-2TI
24," \w of|x-occurrence=""3"" x-occurrences=""3""","['\\zaln-s |x-strong=""G22220"" x-lemma=""ζωή"" x-morph=""Gr,N,,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ζωῆς""\\*']",56-2TI-10,1,1,56-2TI
25," \w life|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G22220"" x-lemma=""ζωή"" x-morph=""Gr,N,,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ζωῆς""\\*']",56-2TI-10,1,1,56-2TI
26,,"['\\zaln-s |x-strong=""G22220"" x-lemma=""ζωή"" x-morph=""Gr,N,,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ζωῆς""\\*']",56-2TI-10,1,1,56-2TI
27," \w that|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,RD,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τῆς""\\*']",56-2TI-11,1,1,56-2TI
28," \w is|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,RD,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τῆς""\\*']",56-2TI-11,1,1,56-2TI
29,,"['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,RD,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τῆς""\\*']",56-2TI-11,1,1,56-2TI
30," \w in|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G17220"" x-lemma=""ἐν"" x-morph=""Gr,P,,,,,D,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐν""\\*']",56-2TI-12,1,1,56-2TI
31,,"['\\zaln-s |x-strong=""G17220"" x-lemma=""ἐν"" x-morph=""Gr,P,,,,,D,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐν""\\*']",56-2TI-12,1,1,56-2TI
32," \w Christ|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s |x-strong=""G55470"" x-lemma=""χριστός"" x-morph=""Gr,N,,,,,DMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Χριστῷ""\\*']",56-2TI-13,1,1,56-2TI
