,token,alg,alg_id,chapter,verse,book
0,"\w From|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ὁ""\\*']",64-2JN-1,1,1,64-2JN
1," \w the|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ὁ""\\*']",64-2JN-1,1,1,64-2JN
2,,"['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ὁ""\\*']",64-2JN-1,1,1,64-2JN
3," \w elder|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G42450"" x-lemma=""πρεσβύτερος"" x-morph=""Gr,NS,,,,NMSC"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πρεσβύτερος""\\*']",64-2JN-2,1,1,64-2JN
4,,"['\\zaln-s |x-strong=""G42450"" x-lemma=""πρεσβύτερος"" x-morph=""Gr,NS,,,,NMSC"" x-occurrence=""1"" x-occurrences=""1"" x-content=""πρεσβύτερος""\\*']",64-2JN-2,1,1,64-2JN
5," \w to|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G15880"" x-lemma=""ἐκλεκτός"" x-morph=""Gr,AA,,,,DFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐκλεκτῇ""\\*']",64-2JN-3,1,1,64-2JN
6," \w the|x-occurrence=""2"" x-occurrences=""3""","['\\zaln-s |x-strong=""G15880"" x-lemma=""ἐκλεκτός"" x-morph=""Gr,AA,,,,DFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐκλεκτῇ""\\*']",64-2JN-3,1,1,64-2JN
7," \w chosen|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G15880"" x-lemma=""ἐκλεκτός"" x-morph=""Gr,AA,,,,DFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐκλεκτῇ""\\*']",64-2JN-3,1,1,64-2JN
8,,"['\\zaln-s |x-strong=""G15880"" x-lemma=""ἐκλεκτός"" x-morph=""Gr,AA,,,,DFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἐκλεκτῇ""\\*']",64-2JN-3,1,1,64-2JN
9," \w lady|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G29590"" x-lemma=""κυρία"" x-morph=""Gr,N,,,,,DFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κυρίᾳ""\\*']",64-2JN-4,1,1,64-2JN
10,,"['\\zaln-s |x-strong=""G29590"" x-lemma=""κυρία"" x-morph=""Gr,N,,,,,DFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""κυρίᾳ""\\*']",64-2JN-4,1,1,64-2JN
11," \w and|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""3"" x-content=""καὶ""\\*']",64-2JN-5,1,1,64-2JN
12,,"['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""3"" x-content=""καὶ""\\*']",64-2JN-5,1,1,64-2JN
13," \w her|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G08460"" x-lemma=""αὐτός"" x-morph=""Gr,RP,,,3GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""αὐτῆς""\\*']",64-2JN-6,1,1,64-2JN
14,,"['\\zaln-s |x-strong=""G08460"" x-lemma=""αὐτός"" x-morph=""Gr,RP,,,3GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""αὐτῆς""\\*']",64-2JN-6,1,1,64-2JN
15," \w children|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G35880"" x-lemma=""ὁ"" x-morph=""Gr,EA,,,,DNP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τοῖς""\\*', '\\zaln-s |x-strong=""G50430"" x-lemma=""τέκνον"" x-morph=""Gr,N,,,,,DNP,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""τέκνοις""\\*']",64-2JN-7,1,1,64-2JN
