index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w בְּ⁠רֵאשִׁ֖ית|lemma=""רֵאשִׁית"" strong=""b:H7225"" x-morph=""He,R:Ncfsa""",1,1, בְּ⁠רֵאשִׁ֖ית,,"He,R:Ncfsa",רֵאשִׁית,b:H7225,True,H7225,,0,1,1,01-GEN
1," \w בָּרָ֣א|lemma=""בָּרָא"" strong=""H1254a"" x-morph=""He,Vqp3ms""",1,1, בָּרָ֣א,,"He,Vqp3ms",בָּרָא,H1254a,False,H1254a,,1,1,1,01-GEN
2," \w אֱלֹהִ֑ים|lemma=""אֱלֹהִים"" strong=""H0430"" x-morph=""He,Ncmpa"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, אֱלֹהִ֑ים,,"He,Ncmpa",אֱלֹהִים,H0430,False,H0430,rc://*/tw/dict/bible/kt/god,2,1,1,01-GEN
3," \w אֵ֥ת|lemma=""אֵת"" strong=""H0853"" x-morph=""He,To""",1,1, אֵ֥ת,,"He,To",אֵת,H0853,False,H0853,,3,1,1,01-GEN
4," \w הַ⁠שָּׁמַ֖יִם|lemma=""שָׁמַיִם"" strong=""d:H8064"" x-morph=""He,Td:Ncmpa"" x-tw=""rc://*/tw/dict/bible/kt/heaven""",1,1, הַ⁠שָּׁמַ֖יִם,,"He,Td:Ncmpa",שָׁמַיִם,d:H8064,True,H8064,rc://*/tw/dict/bible/kt/heaven,4,1,1,01-GEN
5," \w וְ⁠אֵ֥ת|lemma=""אֵת"" strong=""c:H0853"" x-morph=""He,C:To""",1,1, וְ⁠אֵ֥ת,,"He,C:To",אֵת,c:H0853,True,H0853,,5,1,1,01-GEN
6," \w הָ⁠אָֽרֶץ|lemma=""אֶרֶץ"" strong=""d:H0776"" x-morph=""He,Td:Ncbsa"" x-tw=""rc://*/tw/dict/bible/other/earth""",1,1, הָ⁠אָֽרֶץ,,"He,Td:Ncbsa",אֶרֶץ,d:H0776,True,H0776,rc://*/tw/dict/bible/other/earth,6,1,1,01-GEN
8,"\w וְ⁠הָ⁠אָ֗רֶץ|lemma=""אֶרֶץ"" strong=""c:d:H0776"" x-morph=""He,C:Td:Ncbsa""",1,2, וְ⁠הָ⁠אָ֗רֶץ,,"He,C:Td:Ncbsa",אֶרֶץ,c:d:H0776,True,H0776,,8,1,1,01-GEN
9," \w הָיְתָ֥ה|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp3fs""",1,2, הָיְתָ֥ה,,"He,Vqp3fs",הָיָה,H1961,False,H1961,,9,1,1,01-GEN
10," \w תֹ֨הוּ֙|lemma=""תֹּהוּ"" strong=""H8414"" x-morph=""He,Ncmsa""",1,2, תֹ֨הוּ֙,,"He,Ncmsa",תֹּהוּ,H8414,False,H8414,,10,1,1,01-GEN
11," \w וָ⁠בֹ֔הוּ|lemma=""בֹּהוּ"" strong=""c:H0922"" x-morph=""He,C:Ncmsa""",1,2, וָ⁠בֹ֔הוּ,,"He,C:Ncmsa",בֹּהוּ,c:H0922,True,H0922,,11,1,1,01-GEN
12," \w וְ⁠חֹ֖שֶׁךְ|lemma=""חֹשֶׁךְ"" strong=""c:H2822"" x-morph=""He,C:Ncmsa""",1,2, וְ⁠חֹ֖שֶׁךְ,,"He,C:Ncmsa",חֹשֶׁךְ,c:H2822,True,H2822,,12,1,1,01-GEN
13," \w עַל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",1,2, עַל,,"He,R",עַל,H5921a,False,H5921a,,13,2,1,01-GEN
14,"־\w פְּנֵ֣י|lemma=""פָּנִים"" strong=""H6440"" x-morph=""He,Ncbpc"" x-tw=""rc://*/tw/dict/bible/other/face""",1,2, פְּנֵ֣י,־,"He,Ncbpc",פָּנִים,H6440,False,H6440,rc://*/tw/dict/bible/other/face,14,1,1,01-GEN
15," \w תְה֑וֹם|lemma=""תְּהוֹם"" strong=""H8415"" x-morph=""He,Ncbsa""",1,2, תְה֑וֹם,,"He,Ncbsa",תְּהוֹם,H8415,False,H8415,,15,1,1,01-GEN
16," \w וְ⁠ר֣וּחַ|lemma=""רוּחַ"" strong=""c:H7307"" x-morph=""He,C:Ncbsc"" x-tw=""rc://*/tw/dict/bible/kt/spirit""",1,2, וְ⁠ר֣וּחַ,,"He,C:Ncbsc",רוּחַ,c:H7307,True,H7307,rc://*/tw/dict/bible/kt/spirit,16,1,1,01-GEN
17," \w אֱלֹהִ֔ים|lemma=""אֱלֹהִים"" strong=""H0430"" x-morph=""He,Ncmpa"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,2, אֱלֹהִ֔ים,,"He,Ncmpa",אֱלֹהִים,H0430,False,H0430,rc://*/tw/dict/bible/kt/god,17,1,1,01-GEN
18," \w מְרַחֶ֖פֶת|lemma=""רָחַף"" strong=""H7363b"" x-morph=""He,Vprfsa""",1,2, מְרַחֶ֖פֶת,,"He,Vprfsa",רָחַף,H7363b,False,H7363,,18,1,1,01-GEN
19," \w עַל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",1,2, עַל,,"He,R",עַל,H5921a,False,H5921a,,19,2,2,01-GEN
20,"־\w פְּנֵ֥י|lemma=""פָּנִים"" strong=""H6440"" x-morph=""He,Ncbpc"" x-tw=""rc://*/tw/dict/bible/other/face""",1,2, פְּנֵ֥י,־,"He,Ncbpc",פָּנִים,H6440,False,H6440,rc://*/tw/dict/bible/other/face,20,1,1,01-GEN
21," \w הַ⁠מָּֽיִם|lemma=""מַיִם"" strong=""d:H4325"" x-morph=""He,Td:Ncmpa""",1,2, הַ⁠מָּֽיִם,,"He,Td:Ncmpa",מַיִם,d:H4325,True,H4325,,21,1,1,01-GEN
23,"\w וַ⁠יֹּ֥אמֶר|lemma=""אָמַר"" strong=""c:H0559"" x-morph=""He,C:Vqw3ms""",1,3, וַ⁠יֹּ֥אמֶר,,"He,C:Vqw3ms",אָמַר,c:H0559,True,H0559,,23,1,1,01-GEN
