index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וַ⁠יְדַבֵּ֨ר|lemma=""דָבַר"" strong=""c:H1696"" x-morph=""He,C:Vpw3ms""",1,1, וַ⁠יְדַבֵּ֨ר,,"He,C:Vpw3ms",דָבַר,c:H1696,True,H1696,,0,1,1,04-NUM
1," \w יְהוָ֧ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָ֧ה,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,1,1,1,04-NUM
2," \w אֶל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",1,1, אֶל,,"He,R",אֵל,H0413,False,H0413,,2,1,1,04-NUM
3,"־\w מֹשֶׁ֛ה|lemma=""מֹשֶׁה"" strong=""H4872"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/moses""",1,1, מֹשֶׁ֛ה,־,"He,Np",מֹשֶׁה,H4872,False,H4872,rc://*/tw/dict/bible/names/moses,3,1,1,04-NUM
4," \w בְּ⁠מִדְבַּ֥ר|lemma=""מִדְבָּר"" strong=""b:H4057b"" x-morph=""He,R:Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/desert""",1,1, בְּ⁠מִדְבַּ֥ר,,"He,R:Ncmsc",מִדְבָּר,b:H4057b,True,H4057,rc://*/tw/dict/bible/other/desert,4,1,1,04-NUM
5," \w סִינַ֖י|lemma=""סִינַי"" strong=""H5514"" x-morph=""He,Np""",1,1, סִינַ֖י,,"He,Np",סִינַי,H5514,False,H5514,,5,1,1,04-NUM
6," \w בְּ⁠אֹ֣הֶל|lemma=""אֹהֶל"" strong=""b:H0168"" x-morph=""He,R:Ncmsc""",1,1, בְּ⁠אֹ֣הֶל,,"He,R:Ncmsc",אֹהֶל,b:H0168,True,H0168,,6,1,1,04-NUM
7," \w מוֹעֵ֑ד|lemma=""מוֹעֵד"" strong=""H4150"" x-morph=""He,Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/feast""",1,1, מוֹעֵ֑ד,,"He,Ncmsa",מוֹעֵד,H4150,False,H4150,rc://*/tw/dict/bible/other/feast,7,1,1,04-NUM
8," \w בְּ⁠אֶחָד֩|lemma=""אֶחָד"" strong=""b:H0259"" x-morph=""He,R:Acmsa""",1,1, בְּ⁠אֶחָד֩,,"He,R:Acmsa",אֶחָד,b:H0259,True,H0259,,8,1,1,04-NUM
9," \w לַ⁠חֹ֨דֶשׁ|lemma=""חֹדֶשׁ"" strong=""l:H2320"" x-morph=""He,Rd:Ncmsa""",1,1, לַ⁠חֹ֨דֶשׁ,,"He,Rd:Ncmsa",חֹדֶשׁ,l:H2320,True,H2320,,9,1,1,04-NUM
10," \w הַ⁠שֵּׁנִ֜י|lemma=""שֵׁנִי"" strong=""d:H8145"" x-morph=""He,Td:Aomsa""",1,1, הַ⁠שֵּׁנִ֜י,,"He,Td:Aomsa",שֵׁנִי,d:H8145,True,H8145,,10,1,1,04-NUM
11," \w בַּ⁠שָּׁנָ֣ה|lemma=""שָׁנֶה"" strong=""b:H8141"" x-morph=""He,Rd:Ncfsa""",1,1, בַּ⁠שָּׁנָ֣ה,,"He,Rd:Ncfsa",שָׁנֶה,b:H8141,True,H8141,,11,1,1,04-NUM
