index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w אֵ֣לֶּה|lemma=""אֵלֶּה"" strong=""H0428"" x-morph=""He,Pdxcp""",1,1, אֵ֣לֶּה,,"He,Pdxcp",אֵלֶּה,H0428,False,H0428,,0,1,1,05-DEU
1," \w הַ⁠דְּבָרִ֗ים|lemma=""דָּבָר"" strong=""d:H1697"" x-morph=""He,Td:Ncmpa""",1,1, הַ⁠דְּבָרִ֗ים,,"He,Td:Ncmpa",דָּבָר,d:H1697,True,H1697,,1,1,1,05-DEU
2," \w אֲשֶׁ֨ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,1, אֲשֶׁ֨ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,2,1,1,05-DEU
3," \w דִּבֶּ֤ר|lemma=""דָבַר"" strong=""H1696"" x-morph=""He,Vpp3ms""",1,1, דִּבֶּ֤ר,,"He,Vpp3ms",דָבַר,H1696,False,H1696,,3,1,1,05-DEU
4," \w מֹשֶׁה֙|lemma=""מֹשֶׁה"" strong=""H4872"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/moses""",1,1, מֹשֶׁה֙,,"He,Np",מֹשֶׁה,H4872,False,H4872,rc://*/tw/dict/bible/names/moses,4,1,1,05-DEU
5," \w אֶל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",1,1, אֶל,,"He,R",אֵל,H0413,False,H0413,,5,1,1,05-DEU
6,"־\w כָּל|lemma=""כֹּל"" strong=""H3605"" x-morph=""He,Ncmsc""",1,1, כָּל,־,"He,Ncmsc",כֹּל,H3605,False,H3605,,6,1,1,05-DEU
7,"־\w יִשְׂרָאֵ֔ל|lemma=""יִשְׂרָאֵל"" strong=""H3478"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/israel""",1,1, יִשְׂרָאֵ֔ל,־,"He,Np",יִשְׂרָאֵל,H3478,False,H3478,rc://*/tw/dict/bible/kt/israel,7,1,1,05-DEU
8," \w בְּ⁠עֵ֖בֶר|lemma=""עֵבֶר"" strong=""b:H5676"" x-morph=""He,R:Ncmsc""",1,1, בְּ⁠עֵ֖בֶר,,"He,R:Ncmsc",עֵבֶר,b:H5676,True,H5676,,8,1,1,05-DEU
9," \w הַ⁠יַּרְדֵּ֑ן|lemma=""יַרְדֵּן"" strong=""d:H3383"" x-morph=""He,Td:Np"" x-tw=""rc://*/tw/dict/bible/names/jordanriver""",1,1, הַ⁠יַּרְדֵּ֑ן,,"He,Td:Np",יַרְדֵּן,d:H3383,True,H3383,rc://*/tw/dict/bible/names/jordanriver,9,1,1,05-DEU
