index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וַ⁠יְהִ֗י|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יְהִ֗י,,"He,C:Vqw3ms",הָיָה,c:H1961,True,H1961,,0,1,1,06-JOS
1," \w אַחֲרֵ֛י|lemma=""אַחַר"" strong=""H0310a"" x-morph=""He,R""",1,1, אַחֲרֵ֛י,,"He,R",אַחַר,H0310a,False,H0310a,,1,1,1,06-JOS
2," \w מ֥וֹת|lemma=""מָוֶת"" strong=""H4194"" x-morph=""He,Ncmsc""",1,1, מ֥וֹת,,"He,Ncmsc",מָוֶת,H4194,False,H4194,,2,1,1,06-JOS
3," \w מֹשֶׁ֖ה|lemma=""מֹשֶׁה"" strong=""H4872"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/moses""",1,1, מֹשֶׁ֖ה,,"He,Np",מֹשֶׁה,H4872,False,H4872,rc://*/tw/dict/bible/names/moses,3,2,1,06-JOS
4," \w עֶ֣בֶד|lemma=""עֶבֶד"" strong=""H5650"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/servant""",1,1, עֶ֣בֶד,,"He,Ncmsc",עֶבֶד,H5650,False,H5650,rc://*/tw/dict/bible/other/servant,4,1,1,06-JOS
5," \w יְהוָ֑ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָ֑ה,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,5,1,1,06-JOS
6," \w וַ⁠יֹּ֤אמֶר|lemma=""אָמַר"" strong=""c:H0559"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יֹּ֤אמֶר,,"He,C:Vqw3ms",אָמַר,c:H0559,True,H0559,,6,1,1,06-JOS
7," \w יְהוָה֙|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָה֙,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,7,1,1,06-JOS
8," \w אֶל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",1,1, אֶל,,"He,R",אֵל,H0413,False,H0413,,8,1,1,06-JOS
9,"־\w יְהוֹשֻׁ֣עַ|lemma=""יְהוֹשׁוּעַ"" strong=""H3091"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/joshua""",1,1, יְהוֹשֻׁ֣עַ,־,"He,Np",יְהוֹשׁוּעַ,H3091,False,H3091,rc://*/tw/dict/bible/names/joshua,9,1,1,06-JOS
10," \w בִּן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בִּן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,10,1,1,06-JOS
11,"־\w נ֔וּן|lemma=""נוּן"" strong=""H5126"" x-morph=""He,Np""",1,1, נ֔וּן,־,"He,Np",נוּן,H5126,False,H5126,,11,1,1,06-JOS
