index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וַ⁠יְהִי֩|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יְהִי֩,,"He,C:Vqw3ms",הָיָה,c:H1961,True,H1961,,0,1,1,09-1SA
1," \w אִ֨ישׁ|lemma=""אִישׁ"" strong=""H0376"" x-morph=""He,Ncmsa""",1,1, אִ֨ישׁ,,"He,Ncmsa",אִישׁ,H0376,False,H0376,,1,1,1,09-1SA
2," \w אֶחָ֜ד|lemma=""אֶחָד"" strong=""H0259"" x-morph=""He,Acmsa""",1,1, אֶחָ֜ד,,"He,Acmsa",אֶחָד,H0259,False,H0259,,2,1,1,09-1SA
3," \w מִן|lemma=""מִן"" strong=""H4480a"" x-morph=""He,R""",1,1, מִן,,"He,R",מִן,H4480a,False,H4480a,,3,1,1,09-1SA
4,"־\w הָ⁠רָמָתַ֛יִם|lemma=""רָמָתַיִם צוֹפִים"" strong=""d:H7436"" x-morph=""He,Td:Np""",1,1, הָ⁠רָמָתַ֛יִם,־,"He,Td:Np",רָמָתַיִם צוֹפִים,d:H7436,True,H7436,,4,1,1,09-1SA
5," \w צוֹפִ֖ים|lemma=""רָמָתַיִם צוֹפִים"" strong=""H7436"" x-morph=""He,Np""",1,1, צוֹפִ֖ים,,"He,Np",רָמָתַיִם צוֹפִים,H7436,False,H7436,,5,1,1,09-1SA
6," \w מֵ⁠הַ֣ר|lemma=""הַר"" strong=""m:H2022"" x-morph=""He,R:Ncmsc""",1,1, מֵ⁠הַ֣ר,,"He,R:Ncmsc",הַר,m:H2022,True,H2022,,6,1,1,09-1SA
7," \w אֶפְרָ֑יִם|lemma=""אֶפְרַיִם"" strong=""H0669"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/ephraim""",1,1, אֶפְרָ֑יִם,,"He,Np",אֶפְרַיִם,H0669,False,H0669,rc://*/tw/dict/bible/names/ephraim,7,1,1,09-1SA
8," \w וּ⁠שְׁמ֡⁠וֹ|lemma=""שֵׁם"" strong=""c:H8034"" x-morph=""He,C:Ncmsc:Sp3ms""",1,1, וּ⁠שְׁמ֡⁠וֹ,,"He,C:Ncmsc:Sp3ms",שֵׁם,c:H8034,True,H8034,,8,1,1,09-1SA
9," \w אֶ֠לְקָנָה|lemma=""אֶלְקָנָה"" strong=""H0511"" x-morph=""He,Np""",1,1, אֶ֠לְקָנָה,,"He,Np",אֶלְקָנָה,H0511,False,H0511,,9,1,1,09-1SA
