index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וְ⁠הַ⁠מֶּ֤לֶךְ|lemma=""מֶלֶךְ"" strong=""c:d:H4428"" x-morph=""He,C:Td:Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/king""",1,1, וְ⁠הַ⁠מֶּ֤לֶךְ,,"He,C:Td:Ncmsa",מֶלֶךְ,c:d:H4428,True,H4428,rc://*/tw/dict/bible/other/king,0,1,1,11-1KI
1," \w דָּוִד֙|lemma=""דָּוִד"" strong=""H1732"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/david""",1,1, דָּוִד֙,,"He,Np",דָּוִד,H1732,False,H1732,rc://*/tw/dict/bible/names/david,1,1,1,11-1KI
2," \w זָקֵ֔ן|lemma=""זָקֵן"" strong=""H2204"" x-morph=""He,Vqp3ms""",1,1, זָקֵ֔ן,,"He,Vqp3ms",זָקֵן,H2204,False,H2204,,2,1,1,11-1KI
3," \w בָּ֖א|lemma=""בּוֹא"" strong=""H0935"" x-morph=""He,Vqp3ms""",1,1, בָּ֖א,,"He,Vqp3ms",בּוֹא,H0935,False,H0935,,3,1,1,11-1KI
4," \w בַּ⁠יָּמִ֑ים|lemma=""יוֹם"" strong=""b:H3117"" x-morph=""He,Rd:Ncmpa""",1,1, בַּ⁠יָּמִ֑ים,,"He,Rd:Ncmpa",יוֹם,b:H3117,True,H3117,,4,1,1,11-1KI
5," \w וַ⁠יְכַסֻּ֨⁠הוּ֙|lemma=""כָּסָה"" strong=""c:H3680"" x-morph=""He,C:Vpw3mp:Sp3ms""",1,1, וַ⁠יְכַסֻּ֨⁠הוּ֙,,"He,C:Vpw3mp:Sp3ms",כָּסָה,c:H3680,True,H3680,,5,1,1,11-1KI
6," \w בַּ⁠בְּגָדִ֔ים|lemma=""בֶּגֶד"" strong=""b:H0899b"" x-morph=""He,Rd:Ncmpa""",1,1, בַּ⁠בְּגָדִ֔ים,,"He,Rd:Ncmpa",בֶּגֶד,b:H0899b,True,H0899,,6,1,1,11-1KI
7," \w וְ⁠לֹ֥א|lemma=""לֹא"" strong=""c:H3808"" x-morph=""He,C:Tn""",1,1, וְ⁠לֹ֥א,,"He,C:Tn",לֹא,c:H3808,True,H3808,,7,1,1,11-1KI
8," \w יִחַ֖ם|lemma=""יָחַם"" strong=""H3179"" x-morph=""He,Vqi3ms""",1,1, יִחַ֖ם,,"He,Vqi3ms",יָחַם,H3179,False,H3179,,8,1,1,11-1KI
9," \w לֽ⁠וֹ|lemma="""" strong=""l"" x-morph=""He,R:Sp3ms""",1,1, לֽ⁠וֹ,,"He,R:Sp3ms",,l,False,,,9,1,1,11-1KI
