index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w אָדָ֥ם|lemma=""אָדָם"" strong=""H0121"" x-morph=""He,Np""",1,1, אָדָ֥ם,,"He,Np",אָדָם,H0121,False,H0121,,0,1,1,13-1CH
1," \w שֵׁ֖ת|lemma=""שֵׁת"" strong=""H8352"" x-morph=""He,Np""",1,1, שֵׁ֖ת,,"He,Np",שֵׁת,H8352,False,H8352,,1,1,1,13-1CH
2," \w אֱנֽוֹשׁ|lemma=""אֱנוֹשׁ"" strong=""H0583"" x-morph=""He,Np""",1,1, אֱנֽוֹשׁ,,"He,Np",אֱנוֹשׁ,H0583,False,H0583,,2,1,1,13-1CH
4,"\w קֵינָ֥ן|lemma=""קֵינָן"" strong=""H7018"" x-morph=""He,Np""",1,2, קֵינָ֥ן,,"He,Np",קֵינָן,H7018,False,H7018,,4,1,1,13-1CH
5," \w מַהֲלַלְאֵ֖ל|lemma=""מַהֲלַלְאֵל"" strong=""H4111"" x-morph=""He,Np""",1,2, מַהֲלַלְאֵ֖ל,,"He,Np",מַהֲלַלְאֵל,H4111,False,H4111,,5,1,1,13-1CH
6," \w יָֽרֶד|lemma=""יֶרֶד"" strong=""H3382"" x-morph=""He,Np""",1,2, יָֽרֶד,,"He,Np",יֶרֶד,H3382,False,H3382,,6,1,1,13-1CH
8,"\w חֲנ֥וֹךְ|lemma=""חֲנוֹךְ"" strong=""H2585"" x-morph=""He,Np""",1,3, חֲנ֥וֹךְ,,"He,Np",חֲנוֹךְ,H2585,False,H2585,,8,1,1,13-1CH
9," \w מְתוּשֶׁ֖לַח|lemma=""מְתוּשֶׁלַח"" strong=""H4968"" x-morph=""He,Np""",1,3, מְתוּשֶׁ֖לַח,,"He,Np",מְתוּשֶׁלַח,H4968,False,H4968,,9,1,1,13-1CH
10," \w לָֽמֶךְ|lemma=""לֶמֶךְ"" strong=""H3929"" x-morph=""He,Np""",1,3, לָֽמֶךְ,,"He,Np",לֶמֶךְ,H3929,False,H3929,,10,1,1,13-1CH
12,"\w נֹ֥חַ|lemma=""נֹחַ"" strong=""H5146"" x-morph=""He,Np""",1,4, נֹ֥חַ,,"He,Np",נֹחַ,H5146,False,H5146,,12,1,1,13-1CH
13," \w שֵׁ֖ם|lemma=""שֵׁם"" strong=""H8035"" x-morph=""He,Np""",1,4, שֵׁ֖ם,,"He,Np",שֵׁם,H8035,False,H8035,,13,1,1,13-1CH
14," \w חָ֥ם|lemma=""חָם"" strong=""H2526"" x-morph=""He,Np""",1,4, חָ֥ם,,"He,Np",חָם,H2526,False,H2526,,14,1,1,13-1CH
15," \w וָ⁠יָֽפֶת|lemma=""יֶפֶת"" strong=""c:H3315"" x-morph=""He,C:Np""",1,4, וָ⁠יָֽפֶת,,"He,C:Np",יֶפֶת,c:H3315,True,H3315,,15,1,1,13-1CH
17,"\w בְּנֵ֣י|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmpc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,5, בְּנֵ֣י,,"He,Ncmpc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,17,1,1,13-1CH
18," \w יֶ֔פֶת|lemma=""יֶפֶת"" strong=""H3315"" x-morph=""He,Np""",1,5, יֶ֔פֶת,,"He,Np",יֶפֶת,H3315,False,H3315,,18,1,1,13-1CH
19," \w גֹּ֣מֶר|lemma=""גֹּמֶר"" strong=""H1586"" x-morph=""He,Np""",1,5, גֹּ֣מֶר,,"He,Np",גֹּמֶר,H1586,False,H1586,,19,1,1,13-1CH
20," \w וּ⁠מָג֔וֹג|lemma=""מָגוֹג"" strong=""c:H4031"" x-morph=""He,C:Np""",1,5, וּ⁠מָג֔וֹג,,"He,C:Np",מָגוֹג,c:H4031,True,H4031,,20,1,1,13-1CH
