index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וּ⁠בִ⁠שְׁנַ֣ת|lemma=""שָׁנֶה"" strong=""c:b:H8141"" x-morph=""He,C:R:Ncfsc""",1,1, וּ⁠בִ⁠שְׁנַ֣ת,,"He,C:R:Ncfsc",שָׁנֶה,c:b:H8141,True,H8141,,0,1,1,15-EZR
1," \w אַחַ֗ת|lemma=""אֶחָד"" strong=""H0259"" x-morph=""He,Acfsa""",1,1, אַחַ֗ת,,"He,Acfsa",אֶחָד,H0259,False,H0259,,1,1,1,15-EZR
2," \w לְ⁠כ֨וֹרֶשׁ֙|lemma=""כּוֹרֶשׁ"" strong=""l:H3566"" x-morph=""He,R:Np"" x-tw=""rc://*/tw/dict/bible/names/cyrus""",1,1, לְ⁠כ֨וֹרֶשׁ֙,,"He,R:Np",כּוֹרֶשׁ,l:H3566,True,H3566,rc://*/tw/dict/bible/names/cyrus,2,1,1,15-EZR
3," \w מֶ֣לֶךְ|lemma=""מֶלֶךְ"" strong=""H4428"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/king""",1,1, מֶ֣לֶךְ,,"He,Ncmsc",מֶלֶךְ,H4428,False,H4428,rc://*/tw/dict/bible/other/king,3,1,1,15-EZR
4," \w פָּרַ֔ס|lemma=""פָּרַס"" strong=""H6539"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/persia""",1,1, פָּרַ֔ס,,"He,Np",פָּרַס,H6539,False,H6539,rc://*/tw/dict/bible/names/persia,4,2,1,15-EZR
5," \w לִ⁠כְל֥וֹת|lemma=""כָּלָה"" strong=""l:H3615"" x-morph=""He,R:Vqc""",1,1, לִ⁠כְל֥וֹת,,"He,R:Vqc",כָּלָה,l:H3615,True,H3615,,5,1,1,15-EZR
6," \w דְּבַר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsc""",1,1, דְּבַר,,"He,Ncmsc",דָּבָר,H1697,False,H1697,,6,1,1,15-EZR
7,"־\w יְהוָ֖ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָ֖ה,־,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,7,1,1,15-EZR
8," \w מִ⁠פִּ֣י|lemma=""פֶּה"" strong=""m:H6310"" x-morph=""He,R:Ncmsc""",1,1, מִ⁠פִּ֣י,,"He,R:Ncmsc",פֶּה,m:H6310,True,H6310,,8,1,1,15-EZR
9," \w יִרְמְיָ֑ה|lemma=""יִרְמְיָה"" strong=""H3414"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/jeremiah""",1,1, יִרְמְיָ֑ה,,"He,Np",יִרְמְיָה,H3414,False,H3414,rc://*/tw/dict/bible/names/jeremiah,9,1,1,15-EZR
