index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w דִּבְרֵ֥י|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmpc""",1,1, דִּבְרֵ֥י,,"He,Ncmpc",דָּבָר,H1697,False,H1697,,0,1,1,16-NEH
1," \w נְחֶמְיָ֖ה|lemma=""נְחֶמְיָה"" strong=""H5166"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/nehemiah""",1,1, נְחֶמְיָ֖ה,,"He,Np",נְחֶמְיָה,H5166,False,H5166,rc://*/tw/dict/bible/names/nehemiah,1,1,1,16-NEH
2," \w בֶּן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶּן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,2,1,1,16-NEH
3,"־\w חֲכַלְיָ֑ה|lemma=""חֲכַלְיָה"" strong=""H2446"" x-morph=""He,Np""",1,1, חֲכַלְיָ֑ה,־,"He,Np",חֲכַלְיָה,H2446,False,H2446,,3,1,1,16-NEH
4," \w וַ⁠יְהִ֤י|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יְהִ֤י,,"He,C:Vqw3ms",הָיָה,c:H1961,True,H1961,,4,1,1,16-NEH
5," \w בְ⁠חֹֽדֶשׁ|lemma=""חֹדֶשׁ"" strong=""b:H2320"" x-morph=""He,R:Ncmsc""",1,1, בְ⁠חֹֽדֶשׁ,,"He,R:Ncmsc",חֹדֶשׁ,b:H2320,True,H2320,,5,1,1,16-NEH
6,"־\w כִּסְלֵיו֙|lemma=""כִּסְלֵו"" strong=""H3691"" x-morph=""He,Np""",1,1, כִּסְלֵיו֙,־,"He,Np",כִּסְלֵו,H3691,False,H3691,,6,1,1,16-NEH
7," \f + K \w כסלו|lemma=""כִּסְלֵו"" strong=""H3691"" x-morph=""He,Np""",1,1, + K \w כסלו,\f + K ,"He,Np",כִּסְלֵו,H3691,False,H3691,,7,1,1,16-NEH
8,"\f* \w שְׁנַ֣ת|lemma=""שָׁנֶה"" strong=""H8141"" x-morph=""He,Ncfsc""",1,1, שְׁנַ֣ת,\f* ,"He,Ncfsc",שָׁנֶה,H8141,False,H8141,,8,1,1,16-NEH
9," \w עֶשְׂרִ֔ים|lemma=""עֶשְׂרִים"" strong=""H6242"" x-morph=""He,Acbpa""",1,1, עֶשְׂרִ֔ים,,"He,Acbpa",עֶשְׂרִים,H6242,False,H6242,,9,1,1,16-NEH
10," \w וַ⁠אֲנִ֥י|lemma=""אֲנִי"" strong=""c:H0589"" x-morph=""He,C:Pp1cs""",1,1, וַ⁠אֲנִ֥י,,"He,C:Pp1cs",אֲנִי,c:H0589,True,H0589,,10,1,1,16-NEH
11," \w הָיִ֖יתִי|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp1cs""",1,1, הָיִ֖יתִי,,"He,Vqp1cs",הָיָה,H1961,False,H1961,,11,1,1,16-NEH
