index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w אַ֥שְֽׁרֵי|lemma=""אֶשֶׁר"" strong=""H0835"" x-morph=""He,Ncmpa""",1,1, אַ֥שְֽׁרֵי,,"He,Ncmpa",אֶשֶׁר,H0835,False,H0835,,0,1,1,19-PSA
1,"־\w הָ⁠אִ֗ישׁ|lemma=""אִישׁ"" strong=""d:H0376"" x-morph=""He,Td:Ncmsa""",1,1, הָ⁠אִ֗ישׁ,־,"He,Td:Ncmsa",אִישׁ,d:H0376,True,H0376,,1,1,1,19-PSA
2," \w אֲשֶׁ֤ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,1, אֲשֶׁ֤ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,2,1,1,19-PSA
3," ׀ \w לֹ֥א|lemma=""לֹא"" strong=""H3808"" x-morph=""He,Tn""",1,1, לֹ֥א,׀ ,"He,Tn",לֹא,H3808,False,H3808,,3,2,1,19-PSA
4," \w הָלַךְ֮|lemma=""הָלַךְ"" strong=""H1980"" x-morph=""He,Vqp3ms"" x-tw=""rc://*/tw/dict/bible/other/walk""",1,1, הָלַךְ֮,,"He,Vqp3ms",הָלַךְ,H1980,False,H1980,rc://*/tw/dict/bible/other/walk,4,1,1,19-PSA
5," \w בַּ⁠עֲצַ֪ת|lemma=""עֵצָה"" strong=""b:H6098"" x-morph=""He,R:Ncfsc""",1,1, בַּ⁠עֲצַ֪ת,,"He,R:Ncfsc",עֵצָה,b:H6098,True,H6098,,5,1,1,19-PSA
6," \w רְשָׁ֫עִ֥ים|lemma=""רָשָׁע"" strong=""H7563"" x-morph=""He,Aampa""",1,1, רְשָׁ֫עִ֥ים,,"He,Aampa",רָשָׁע,H7563,False,H7563,,6,1,1,19-PSA
7," \w וּ⁠בְ⁠דֶ֣רֶךְ|lemma=""דֶּרֶךְ"" strong=""c:b:H1870"" x-morph=""He,C:R:Ncbsc""",1,1, וּ⁠בְ⁠דֶ֣רֶךְ,,"He,C:R:Ncbsc",דֶּרֶךְ,c:b:H1870,True,H1870,,7,1,1,19-PSA
8," \w חַ֭טָּאִים|lemma=""חַטָּא"" strong=""H2400"" x-morph=""He,Aampa""",1,1, חַ֭טָּאִים,,"He,Aampa",חַטָּא,H2400,False,H2400,,8,1,1,19-PSA
9," \w לֹ֥א|lemma=""לֹא"" strong=""H3808"" x-morph=""He,Tn""",1,1, לֹ֥א,,"He,Tn",לֹא,H3808,False,H3808,,9,2,2,19-PSA
10," \w עָמָ֑ד|lemma=""עָמַד"" strong=""H5975"" x-morph=""He,Vqp3ms"" x-tw=""rc://*/tw/dict/bible/kt/appoint""",1,1, עָמָ֑ד,,"He,Vqp3ms",עָמַד,H5975,False,H5975,rc://*/tw/dict/bible/kt/appoint,10,1,1,19-PSA
11," \w וּ⁠בְ⁠מוֹשַׁ֥ב|lemma=""מוֹשָׁב"" strong=""c:b:H4186"" x-morph=""He,C:R:Ncmsc""",1,1, וּ⁠בְ⁠מוֹשַׁ֥ב,,"He,C:R:Ncmsc",מוֹשָׁב,c:b:H4186,True,H4186,,11,1,1,19-PSA
12," \w לֵ֝צִ֗ים|lemma=""לוּץ"" strong=""H3887"" x-morph=""He,Aampa""",1,1, לֵ֝צִ֗ים,,"He,Aampa",לוּץ,H3887,False,H3887,,12,1,1,19-PSA
13," \w לֹ֣א|lemma=""לֹא"" strong=""H3808"" x-morph=""He,Tn""",1,1, לֹ֣א,,"He,Tn",לֹא,H3808,False,H3808,,13,1,1,19-PSA
14," \w יָשָֽׁב|lemma=""יָשַׁב"" strong=""H3427"" x-morph=""He,Vqp3ms""",1,1, יָשָֽׁב,,"He,Vqp3ms",יָשַׁב,H3427,False,H3427,,14,1,1,19-PSA
16,"\w כִּ֤י|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",1,2, כִּ֤י,,"He,C",כִּי,H3588a,False,H3588a,,16,1,1,19-PSA
17," \w אִ֥ם|lemma=""אִם"" strong=""H0518a"" x-morph=""He,C""",1,2, אִ֥ם,,"He,C",אִם,H0518a,False,H0518a,,17,1,1,19-PSA
18," \w בְּ⁠תוֹרַ֥ת|lemma=""תּוֹרָה"" strong=""b:H8451"" x-morph=""He,R:Ncfsc"" x-tw=""rc://*/tw/dict/bible/kt/lawofmoses""",1,2, בְּ⁠תוֹרַ֥ת,,"He,R:Ncfsc",תּוֹרָה,b:H8451,True,H8451,rc://*/tw/dict/bible/kt/lawofmoses,18,1,1,19-PSA
19," \w יְהוָ֗ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,2, יְהוָ֗ה,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,19,1,1,19-PSA
20," \w חֶ֫פְצ֥⁠וֹ|lemma=""חֵפֶץ"" strong=""H2656"" x-morph=""He,Ncmsc:Sp3ms""",1,2, חֶ֫פְצ֥⁠וֹ,,"He,Ncmsc:Sp3ms",חֵפֶץ,H2656,False,H2656,,20,1,1,19-PSA
21," \w וּֽ⁠בְ⁠תוֹרָת֥⁠וֹ|lemma=""תּוֹרָה"" strong=""c:b:H8451"" x-morph=""He,C:R:Ncfsc:Sp3ms""",1,2, וּֽ⁠בְ⁠תוֹרָת֥⁠וֹ,,"He,C:R:Ncfsc:Sp3ms",תּוֹרָה,c:b:H8451,True,H8451,,21,1,1,19-PSA
22," \w יֶהְגֶּ֗ה|lemma=""הָגָה"" strong=""H1897"" x-morph=""He,Vqi3ms""",1,2, יֶהְגֶּ֗ה,,"He,Vqi3ms",הָגָה,H1897,False,H1897,,22,1,1,19-PSA
23," \w יוֹמָ֥ם|lemma=""יוֹמָם"" strong=""H3119"" x-morph=""He,D""",1,2, יוֹמָ֥ם,,"He,D",יוֹמָם,H3119,False,H3119,,23,1,1,19-PSA
24," \w וָ⁠לָֽיְלָה|lemma=""לַיִל"" strong=""c:H3915"" x-morph=""He,C:Ncmsa""",1,2, וָ⁠לָֽיְלָה,,"He,C:Ncmsa",לַיִל,c:H3915,True,H3915,,24,1,1,19-PSA
26,"\w וְֽ⁠הָיָ֗ה|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqq3ms""",1,3, וְֽ⁠הָיָ֗ה,,"He,C:Vqq3ms",הָיָה,c:H1961,True,H1961,,26,1,1,19-PSA
27," \w כְּ⁠עֵץ֮|lemma=""עֵץ"" strong=""k:H6086"" x-morph=""He,R:Ncmsa""",1,3, כְּ⁠עֵץ֮,,"He,R:Ncmsa",עֵץ,k:H6086,True,H6086,,27,1,1,19-PSA
28," \w שָׁת֪וּל|lemma=""שָׁתַל"" strong=""H8362"" x-morph=""He,Vqsmsa""",1,3, שָׁת֪וּל,,"He,Vqsmsa",שָׁתַל,H8362,False,H8362,,28,1,1,19-PSA
29," \w עַֽל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",1,3, עַֽל,,"He,R",עַל,H5921a,False,H5921a,,29,1,1,19-PSA
30,"־\w פַּלְגֵ֫י|lemma=""פֶּלֶג"" strong=""H6388"" x-morph=""He,Ncmpc""",1,3, פַּלְגֵ֫י,־,"He,Ncmpc",פֶּלֶג,H6388,False,H6388,,30,1,1,19-PSA
31," \w מָ֥יִם|lemma=""מַיִם"" strong=""H4325"" x-morph=""He,Ncmpa""",1,3, מָ֥יִם,,"He,Ncmpa",מַיִם,H4325,False,H4325,,31,1,1,19-PSA
32," \w אֲשֶׁ֤ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,3, אֲשֶׁ֤ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,32,1,1,19-PSA
33," \w פִּרְי֨⁠וֹ|lemma=""פְּרִי"" strong=""H6529"" x-morph=""He,Ncmsc:Sp3ms"" x-tw=""rc://*/tw/dict/bible/other/fruit""",1,3, פִּרְי֨⁠וֹ,,"He,Ncmsc:Sp3ms",פְּרִי,H6529,False,H6529,rc://*/tw/dict/bible/other/fruit,33,1,1,19-PSA
