index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w דְּבַר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsc""",1,1, דְּבַר,,"He,Ncmsc",דָּבָר,H1697,False,H1697,,0,1,1,29-JOL
1,"־\w יְהוָה֙|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָה֙,־,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,1,1,1,29-JOL
2," \w אֲשֶׁ֣ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,1, אֲשֶׁ֣ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,2,1,1,29-JOL
3," \w הָיָ֔ה|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp3ms""",1,1, הָיָ֔ה,,"He,Vqp3ms",הָיָה,H1961,False,H1961,,3,1,1,29-JOL
4," \w אֶל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",1,1, אֶל,,"He,R",אֵל,H0413,False,H0413,,4,1,1,29-JOL
5,"־\w יוֹאֵ֖ל|lemma=""יוֹאֵל"" strong=""H3100"" x-morph=""He,Np""",1,1, יוֹאֵ֖ל,־,"He,Np",יוֹאֵל,H3100,False,H3100,,5,1,1,29-JOL
6," \w בֶּן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶּן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,6,1,1,29-JOL
7,"־\w פְּתוּאֵֽל|lemma=""פְּתוּאֵל"" strong=""H6602"" x-morph=""He,Np""",1,1, פְּתוּאֵֽל,־,"He,Np",פְּתוּאֵל,H6602,False,H6602,,7,1,1,29-JOL
9,"\w שִׁמְעוּ|lemma=""שָׁמַע"" strong=""H8085"" x-morph=""He,Vqv2mp""",1,2, שִׁמְעוּ,,"He,Vqv2mp",שָׁמַע,H8085,False,H8085,,9,1,1,29-JOL
10,"־\w זֹאת֙|lemma=""זֹאת"" strong=""H2063"" x-morph=""He,Pdxfs""",1,2, זֹאת֙,־,"He,Pdxfs",זֹאת,H2063,False,H2063,,10,1,1,29-JOL
11," \w הַ⁠זְּקֵנִ֔ים|lemma=""זָקֵן"" strong=""d:H2205"" x-morph=""He,Td:Aampa""",1,2, הַ⁠זְּקֵנִ֔ים,,"He,Td:Aampa",זָקֵן,d:H2205,True,H2205,,11,1,1,29-JOL
12," \w וְ⁠הַֽאֲזִ֔ינוּ|lemma=""אָזַן"" strong=""c:H0238"" x-morph=""He,C:Vhv2mp""",1,2, וְ⁠הַֽאֲזִ֔ינוּ,,"He,C:Vhv2mp",אָזַן,c:H0238,True,H0238,,12,1,1,29-JOL
13," \w כֹּ֖ל|lemma=""כֹּל"" strong=""H3605"" x-morph=""He,Ncmsc""",1,2, כֹּ֖ל,,"He,Ncmsc",כֹּל,H3605,False,H3605,,13,1,1,29-JOL
14," \w יוֹשְׁבֵ֣י|lemma=""יָשַׁב"" strong=""H3427"" x-morph=""He,Vqrmpc""",1,2, יוֹשְׁבֵ֣י,,"He,Vqrmpc",יָשַׁב,H3427,False,H3427,,14,1,1,29-JOL
15," \w הָ⁠אָ֑רֶץ|lemma=""אֶרֶץ"" strong=""d:H0776"" x-morph=""He,Td:Ncbsa""",1,2, הָ⁠אָ֑רֶץ,,"He,Td:Ncbsa",אֶרֶץ,d:H0776,True,H0776,,15,1,1,29-JOL
16," \w הֶ⁠הָ֤יְתָה|lemma=""הָיָה"" strong=""d:H1961"" x-morph=""He,Ti:Vqp3fs""",1,2, הֶ⁠הָ֤יְתָה,,"He,Ti:Vqp3fs",הָיָה,d:H1961,True,H1961,,16,1,1,29-JOL
17," \w זֹּאת֙|lemma=""זֹאת"" strong=""H2063"" x-morph=""He,Pdxfs""",1,2, זֹּאת֙,,"He,Pdxfs",זֹאת,H2063,False,H2063,,17,1,1,29-JOL
18," \w בִּֽ⁠ימֵי⁠כֶ֔ם|lemma=""יוֹם"" strong=""b:H3117"" x-morph=""He,R:Ncmpc:Sp2mp""",1,2, בִּֽ⁠ימֵי⁠כֶ֔ם,,"He,R:Ncmpc:Sp2mp",יוֹם,b:H3117,True,H3117,,18,1,1,29-JOL
19," \w וְ⁠אִ֖ם|lemma=""אִם"" strong=""c:H0518a"" x-morph=""He,C:C""",1,2, וְ⁠אִ֖ם,,"He,C:C",אִם,c:H0518a,True,H0518a,,19,1,1,29-JOL
20," \w בִּ⁠ימֵ֥י|lemma=""יוֹם"" strong=""b:H3117"" x-morph=""He,R:Ncmpc""",1,2, בִּ⁠ימֵ֥י,,"He,R:Ncmpc",יוֹם,b:H3117,True,H3117,,20,1,1,29-JOL
21," \w אֲבֹֽתֵי⁠כֶֽם|lemma=""אָב"" strong=""H0001"" x-morph=""He,Ncmpc:Sp2mp"" x-tw=""rc://*/tw/dict/bible/other/father""",1,2, אֲבֹֽתֵי⁠כֶֽם,,"He,Ncmpc:Sp2mp",אָב,H0001,False,H0001,rc://*/tw/dict/bible/other/father,21,1,1,29-JOL
