index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w דְּבַר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsc""",1,1, דְּבַר,,"He,Ncmsc",דָּבָר,H1697,False,H1697,,0,1,1,36-ZEP
1,"־\w יְהוָ֣ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָ֣ה,־,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,1,1,1,36-ZEP
2," ׀ \w אֲשֶׁ֣ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,1, אֲשֶׁ֣ר,׀ ,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,2,1,1,36-ZEP
3," \w הָיָ֗ה|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp3ms""",1,1, הָיָ֗ה,,"He,Vqp3ms",הָיָה,H1961,False,H1961,,3,1,1,36-ZEP
4," \w אֶל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",1,1, אֶל,,"He,R",אֵל,H0413,False,H0413,,4,1,1,36-ZEP
5,"־\w צְפַנְיָה֙|lemma=""צְפַנְיָה"" strong=""H6846"" x-morph=""He,Np""",1,1, צְפַנְיָה֙,־,"He,Np",צְפַנְיָה,H6846,False,H6846,,5,1,1,36-ZEP
6," \w בֶּן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶּן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,6,3,1,36-ZEP
7,"־\w כּוּשִׁ֣י|lemma=""כּוּשִׁי"" strong=""H3570"" x-morph=""He,Np""",1,1, כּוּשִׁ֣י,־,"He,Np",כּוּשִׁי,H3570,False,H3570,,7,1,1,36-ZEP
8," \w בֶן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,8,2,1,36-ZEP
9,"־\w גְּדַלְיָ֔ה|lemma=""גְּדַּלְיָה"" strong=""H1436a"" x-morph=""He,Np""",1,1, גְּדַלְיָ֔ה,־,"He,Np",גְּדַּלְיָה,H1436a,False,H1436a,,9,1,1,36-ZEP
10," \w בֶּן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶּן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,10,3,2,36-ZEP
11,"־\w אֲמַרְיָ֖ה|lemma=""אֲמַרְיָה"" strong=""H0568"" x-morph=""He,Np""",1,1, אֲמַרְיָ֖ה,־,"He,Np",אֲמַרְיָה,H0568,False,H0568,,11,1,1,36-ZEP
12," \w בֶּן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶּן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,12,3,3,36-ZEP
13,"־\w חִזְקִיָּ֑ה|lemma=""חִזְקִיָּה"" strong=""H2396"" x-morph=""He,Np""",1,1, חִזְקִיָּ֑ה,־,"He,Np",חִזְקִיָּה,H2396,False,H2396,,13,1,1,36-ZEP
14," \w בִּ⁠ימֵ֛י|lemma=""יוֹם"" strong=""b:H3117"" x-morph=""He,R:Ncmpc""",1,1, בִּ⁠ימֵ֛י,,"He,R:Ncmpc",יוֹם,b:H3117,True,H3117,,14,1,1,36-ZEP
15," \w יֹאשִׁיָּ֥הוּ|lemma=""יֹאשִׁיָּה"" strong=""H2977"" x-morph=""He,Np""",1,1, יֹאשִׁיָּ֥הוּ,,"He,Np",יֹאשִׁיָּה,H2977,False,H2977,,15,1,1,36-ZEP
16," \w בֶן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,16,2,2,36-ZEP
17,"־\w אָמ֖וֹן|lemma=""אָמוֹן"" strong=""H0526"" x-morph=""He,Np""",1,1, אָמ֖וֹן,־,"He,Np",אָמוֹן,H0526,False,H0526,,17,1,1,36-ZEP
18," \w מֶ֥לֶךְ|lemma=""מֶלֶךְ"" strong=""H4428"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/king""",1,1, מֶ֥לֶךְ,,"He,Ncmsc",מֶלֶךְ,H4428,False,H4428,rc://*/tw/dict/bible/other/king,18,1,1,36-ZEP
19," \w יְהוּדָֽה|lemma=""יְהוּדָה"" strong=""H3063"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/judea""",1,1, יְהוּדָֽה,,"He,Np",יְהוּדָה,H3063,False,H3063,rc://*/tw/dict/bible/names/judea,19,1,1,36-ZEP
21,"\w אָסֹ֨ף|lemma=""אָסַף"" strong=""H0622"" x-morph=""He,Vqa"" x-tw=""rc://*/tw/dict/bible/other/assembly""",1,2, אָסֹ֨ף,,"He,Vqa",אָסַף,H0622,False,H0622,rc://*/tw/dict/bible/other/assembly,21,1,1,36-ZEP
22," \w אָסֵ֜ף|lemma=""סוּף"" strong=""H5486"" x-morph=""He,Vhi1cs"" x-tw=""rc://*/tw/dict/bible/kt/perish""",1,2, אָסֵ֜ף,,"He,Vhi1cs",סוּף,H5486,False,H5486,rc://*/tw/dict/bible/kt/perish,22,1,1,36-ZEP
23," \w כֹּ֗ל|lemma=""כֹּל"" strong=""H3605"" x-morph=""He,Ncmsa""",1,2, כֹּ֗ל,,"He,Ncmsa",כֹּל,H3605,False,H3605,,23,1,1,36-ZEP
24," \w מֵ⁠עַ֛ל|lemma=""עַל"" strong=""m:H5921a"" x-morph=""He,R:R""",1,2, מֵ⁠עַ֛ל,,"He,R:R",עַל,m:H5921a,True,H5921a,,24,1,1,36-ZEP
25," \w פְּנֵ֥י|lemma=""פָּנִים"" strong=""H6440"" x-morph=""He,Ncbpc"" x-tw=""rc://*/tw/dict/bible/other/face""",1,2, פְּנֵ֥י,,"He,Ncbpc",פָּנִים,H6440,False,H6440,rc://*/tw/dict/bible/other/face,25,1,1,36-ZEP
26," \w הָ⁠אֲדָמָ֖ה|lemma=""אֲדָמָה"" strong=""d:H0127"" x-morph=""He,Td:Ncfsa""",1,2, הָ⁠אֲדָמָ֖ה,,"He,Td:Ncfsa",אֲדָמָה,d:H0127,True,H0127,,26,1,1,36-ZEP
27," \w נְאֻם|lemma=""נְאֻם"" strong=""H5002"" x-morph=""He,Ncmsc""",1,2, נְאֻם,,"He,Ncmsc",נְאֻם,H5002,False,H5002,,27,1,1,36-ZEP
28,"־\w יְהוָֽה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,2, יְהוָֽה,־,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,28,1,1,36-ZEP
30,"\w אָסֵ֨ף|lemma=""אָסַף"" strong=""H0622"" x-morph=""He,Vhi1cs"" x-tw=""rc://*/tw/dict/bible/other/assembly""",1,3, אָסֵ֨ף,,"He,Vhi1cs",אָסַף,H0622,False,H0622,rc://*/tw/dict/bible/other/assembly,30,1,1,36-ZEP
31," \w אָדָ֜ם|lemma=""אָדָם"" strong=""H0120"" x-morph=""He,Ncmsa""",1,3, אָדָ֜ם,,"He,Ncmsa",אָדָם,H0120,False,H0120,,31,1,1,36-ZEP
32," \w וּ⁠בְהֵמָ֗ה|lemma=""בְּהֵמָה"" strong=""c:H0929"" x-morph=""He,C:Ncfsa"" x-tw=""rc://*/tw/dict/bible/other/cow""",1,3, וּ⁠בְהֵמָ֗ה,,"He,C:Ncfsa",בְּהֵמָה,c:H0929,True,H0929,rc://*/tw/dict/bible/other/cow,32,1,1,36-ZEP
33," \w אָסֵ֤ף|lemma=""אָסַף"" strong=""H0622"" x-morph=""He,Vhi1cs"" x-tw=""rc://*/tw/dict/bible/other/assembly""",1,3, אָסֵ֤ף,,"He,Vhi1cs",אָסַף,H0622,False,H0622,rc://*/tw/dict/bible/other/assembly,33,1,1,36-ZEP
