index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w מַשָּׂ֥א|lemma=""מַשָּׂא"" strong=""H4853b"" x-morph=""He,Ncmsa""",1,1, מַשָּׂ֥א,,"He,Ncmsa",מַשָּׂא,H4853b,False,H4853,,0,1,1,39-MAL
1," \w דְבַר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsc""",1,1, דְבַר,,"He,Ncmsc",דָּבָר,H1697,False,H1697,,1,1,1,39-MAL
2,"־\w יְהוָ֖ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָ֖ה,־,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,2,1,1,39-MAL
3," \w אֶל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",1,1, אֶל,,"He,R",אֵל,H0413,False,H0413,,3,1,1,39-MAL
4,"־\w יִשְׂרָאֵ֑ל|lemma=""יִשְׂרָאֵל"" strong=""H3478"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/israel""",1,1, יִשְׂרָאֵ֑ל,־,"He,Np",יִשְׂרָאֵל,H3478,False,H3478,rc://*/tw/dict/bible/kt/israel,4,1,1,39-MAL
5," \w בְּ⁠יַ֖ד|lemma=""יָד"" strong=""b:H3027"" x-morph=""He,R:Ncbsc"" x-tw=""rc://*/tw/dict/bible/other/hand""",1,1, בְּ⁠יַ֖ד,,"He,R:Ncbsc",יָד,b:H3027,True,H3027,rc://*/tw/dict/bible/other/hand,5,1,1,39-MAL
6," \w מַלְאָכִֽי|lemma=""מַלְאָכִי"" strong=""H4401"" x-morph=""He,Np""",1,1, מַלְאָכִֽי,,"He,Np",מַלְאָכִי,H4401,False,H4401,,6,1,1,39-MAL
8,"\w אָהַ֤בְתִּי|lemma=""אָהַב"" strong=""H0157"" x-morph=""He,Vqp1cs"" x-tw=""rc://*/tw/dict/bible/kt/love""",1,2, אָהַ֤בְתִּי,,"He,Vqp1cs",אָהַב,H0157,False,H0157,rc://*/tw/dict/bible/kt/love,8,1,1,39-MAL
9," \w אֶתְ⁠כֶם֙|lemma=""אֵת"" strong=""H0853"" x-morph=""He,To:Sp2mp""",1,2, אֶתְ⁠כֶם֙,,"He,To:Sp2mp",אֵת,H0853,False,H0853,,9,1,1,39-MAL
10," \w אָמַ֣ר|lemma=""אָמַר"" strong=""H0559"" x-morph=""He,Vqp3ms""",1,2, אָמַ֣ר,,"He,Vqp3ms",אָמַר,H0559,False,H0559,,10,1,1,39-MAL
11," \w יְהוָ֔ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,2, יְהוָ֔ה,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,11,2,1,39-MAL
12," \w וַ⁠אֲמַרְתֶּ֖ם|lemma=""אָמַר"" strong=""c:H0559"" x-morph=""He,C:Vqp2mp""",1,2, וַ⁠אֲמַרְתֶּ֖ם,,"He,C:Vqp2mp",אָמַר,c:H0559,True,H0559,,12,1,1,39-MAL
13," \w בַּ⁠מָּ֣ה|lemma=""מָה"" strong=""b:H4100"" x-morph=""He,R:Ti""",1,2, בַּ⁠מָּ֣ה,,"He,R:Ti",מָה,b:H4100,True,H4100,,13,1,1,39-MAL
14," \w אֲהַבְתָּ֑⁠נוּ|lemma=""אָהַב"" strong=""H0157"" x-morph=""He,Vqp2ms:Sp1cp"" x-tw=""rc://*/tw/dict/bible/kt/love""",1,2, אֲהַבְתָּ֑⁠נוּ,,"He,Vqp2ms:Sp1cp",אָהַב,H0157,False,H0157,rc://*/tw/dict/bible/kt/love,14,1,1,39-MAL
15," \w הֲ⁠לוֹא|lemma=""לֹא"" strong=""i:H3808"" x-morph=""He,Ti:Tn""",1,2, הֲ⁠לוֹא,,"He,Ti:Tn",לֹא,i:H3808,True,H3808,,15,1,1,39-MAL
16,"־\w אָ֨ח|lemma=""אָח"" strong=""H0251"" x-morph=""He,Ncmsa"" x-tw=""rc://*/tw/dict/bible/kt/brother""",1,2, אָ֨ח,־,"He,Ncmsa",אָח,H0251,False,H0251,rc://*/tw/dict/bible/kt/brother,16,1,1,39-MAL
17," \w עֵשָׂ֤ו|lemma=""עֵשָׂו"" strong=""H6215"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/esau""",1,2, עֵשָׂ֤ו,,"He,Np",עֵשָׂו,H6215,False,H6215,rc://*/tw/dict/bible/names/esau,17,1,1,39-MAL
