index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,49-GAL
1,", \w ἀπόστολος|lemma=""ἀπόστολος"" strong=""G06520"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/apostle""",1,1, ἀπόστολος,", ","Gr,N,,,,,NMS,",ἀπόστολος,G06520,False,G06520,rc://*/tw/dict/bible/kt/apostle,1,1,1,49-GAL
2," (\w οὐκ|lemma=""οὐ"" strong=""G37560"" x-morph=""Gr,D,,,,,,,,,""",1,1, οὐκ,(,"Gr,D,,,,,,,,,",οὐ,G37560,False,G37560,,2,1,1,49-GAL
3," \w ἀπ’|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,1, ἀπ’,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,3,1,1,49-GAL
4," \w ἀνθρώπων|lemma=""ἄνθρωπος"" strong=""G04440"" x-morph=""Gr,N,,,,,GMP,""",1,1, ἀνθρώπων,,"Gr,N,,,,,GMP,",ἄνθρωπος,G04440,False,G04440,,4,1,1,49-GAL
5,", \w οὐδὲ|lemma=""οὐδέ"" strong=""G37610"" x-morph=""Gr,CC,,,,,,,,""",1,1, οὐδὲ,", ","Gr,CC,,,,,,,,",οὐδέ,G37610,False,G37610,,5,1,1,49-GAL
6," \w δι’|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",1,1, δι’,,"Gr,P,,,,,G,,,",διά,G12230,False,G12230,,6,1,1,49-GAL
7," \w ἀνθρώπου|lemma=""ἄνθρωπος"" strong=""G04440"" x-morph=""Gr,N,,,,,GMS,""",1,1, ἀνθρώπου,,"Gr,N,,,,,GMS,",ἄνθρωπος,G04440,False,G04440,,7,1,1,49-GAL
8,", \w ἀλλὰ|lemma=""ἀλλά"" strong=""G02350"" x-morph=""Gr,CC,,,,,,,,""",1,1, ἀλλὰ,", ","Gr,CC,,,,,,,,",ἀλλά,G02350,False,G02350,,8,1,1,49-GAL
9," \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",1,1, διὰ,,"Gr,P,,,,,G,,,",διά,G12230,False,G12230,,9,1,1,49-GAL
