index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,51-PHP
1," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,1,2,1,51-PHP
2," \w Τιμόθεος|lemma=""Τιμόθεος"" strong=""G50950"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/timothy""",1,1, Τιμόθεος,,"Gr,N,,,,,NMS,",Τιμόθεος,G50950,False,G50950,rc://*/tw/dict/bible/names/timothy,2,1,1,51-PHP
3,", \w δοῦλοι|lemma=""δοῦλος"" strong=""G14010"" x-morph=""Gr,N,,,,,NMP,"" x-tw=""rc://*/tw/dict/bible/other/servant""",1,1, δοῦλοι,", ","Gr,N,,,,,NMP,",δοῦλος,G14010,False,G14010,rc://*/tw/dict/bible/other/servant,3,1,1,51-PHP
4," \k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*\w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*","Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/jesus,4,2,1,51-PHP
5," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,,5,2,1,51-PHP
6,"; \k-e\* \w πᾶσιν|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,EQ,,,,DMP,""",1,1, πᾶσιν,; \k-e\* ,"Gr,EQ,,,,DMP,",πᾶς,G39560,False,G39560,,6,1,1,51-PHP
7," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMP,""",1,1, τοῖς,,"Gr,EA,,,,DMP,",ὁ,G35880,False,G35880,,7,2,1,51-PHP
8," \w ἁγίοις|lemma=""ἅγιος"" strong=""G00400"" x-morph=""Gr,NS,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/saint""",1,1, ἁγίοις,,"Gr,NS,,,,DMP,",ἅγιος,G00400,False,G00400,rc://*/tw/dict/bible/kt/saint,8,1,1,51-PHP
9," \k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*\w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*","Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,rc://*/tw/dict/bible/kt/inchrist,9,2,2,51-PHP
