index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,53-1TH
1,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,1,4,1,53-1TH
2," \w Σιλουανὸς|lemma=""Σιλουανός"" strong=""G46100"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/silas""",1,1, Σιλουανὸς,,"Gr,N,,,,,NMS,",Σιλουανός,G46100,False,G46100,rc://*/tw/dict/bible/names/silas,2,1,1,53-1TH
3,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,3,4,2,53-1TH
4," \w Τιμόθεος|lemma=""Τιμόθεος"" strong=""G50950"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/timothy""",1,1, Τιμόθεος,,"Gr,N,,,,,NMS,",Τιμόθεος,G50950,False,G50950,rc://*/tw/dict/bible/names/timothy,4,1,1,53-1TH
5,"; \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",1,1, τῇ,; ,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,5,1,1,53-1TH
6," \w ἐκκλησίᾳ|lemma=""ἐκκλησία"" strong=""G15770"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/church""",1,1, ἐκκλησίᾳ,,"Gr,N,,,,,DFS,",ἐκκλησία,G15770,False,G15770,rc://*/tw/dict/bible/kt/church,6,1,1,53-1TH
7," \w Θεσσαλονικέων|lemma=""Θεσσαλονικεύς"" strong=""G23310"" x-morph=""Gr,N,,,,,GMP,"" x-tw=""rc://*/tw/dict/bible/names/thessalonica""",1,1, Θεσσαλονικέων,,"Gr,N,,,,,GMP,",Θεσσαλονικεύς,G23310,False,G23310,rc://*/tw/dict/bible/names/thessalonica,7,1,1,53-1TH
8," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,1, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,8,1,1,53-1TH
9," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεῷ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,DMS,""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,DMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,9,1,1,53-1TH
10," \w Πατρὶ|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,DMS,""",1,1, Πατρὶ,,"Gr,N,,,,,DMS,",πατήρ,G39620,False,G39620,,10,1,1,53-1TH
11," \k-e\* \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,\k-e\* ,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,11,4,3,53-1TH
12," \w Κυρίῳ|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,1, Κυρίῳ,,"Gr,N,,,,,DMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,12,1,1,53-1TH
13," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,DMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,13,1,1,53-1TH
14," \w Χριστῷ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστῷ,,"Gr,N,,,,,DMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,14,1,1,53-1TH
15,": \w χάρις|lemma=""χάρις"" strong=""G54850"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/grace""",1,1, χάρις,: ,"Gr,N,,,,,NFS,",χάρις,G54850,False,G54850,rc://*/tw/dict/bible/kt/grace,15,1,1,53-1TH
16," \w ὑμῖν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,P,""",1,1, ὑμῖν,,"Gr,RP,,,2D,P,",σύ,G47710,False,G47710,,16,1,1,53-1TH
17," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,17,4,4,53-1TH
18," \w εἰρήνη|lemma=""εἰρήνη"" strong=""G15150"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/peace""",1,1, εἰρήνη,,"Gr,N,,,,,NFS,",εἰρήνη,G15150,False,G15150,rc://*/tw/dict/bible/other/peace,18,1,1,53-1TH
20,"\w εὐχαριστοῦμεν|lemma=""εὐχαριστέω"" strong=""G21680"" x-morph=""Gr,V,IPA1,,P,""",1,2, εὐχαριστοῦμεν,,"Gr,V,IPA1,,P,",εὐχαριστέω,G21680,False,G21680,,20,1,1,53-1TH
21," \w τῷ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMS,""",1,2, τῷ,,"Gr,EA,,,,DMS,",ὁ,G35880,False,G35880,,21,1,1,53-1TH
22," \w Θεῷ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,2, Θεῷ,,"Gr,N,,,,,DMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,22,1,1,53-1TH
23," \w πάντοτε|lemma=""πάντοτε"" strong=""G38420"" x-morph=""Gr,D,,,,,,,,,""",1,2, πάντοτε,,"Gr,D,,,,,,,,,",πάντοτε,G38420,False,G38420,,23,1,1,53-1TH
24," \w περὶ|lemma=""περί"" strong=""G40120"" x-morph=""Gr,P,,,,,G,,,""",1,2, περὶ,,"Gr,P,,,,,G,,,",περί,G40120,False,G40120,,24,1,1,53-1TH
25," \w πάντων|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,RI,,,,GMP,""",1,2, πάντων,,"Gr,RI,,,,GMP,",πᾶς,G39560,False,G39560,,25,1,1,53-1TH
26," \w ὑμῶν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2G,P,""",1,2, ὑμῶν,,"Gr,RP,,,2G,P,",σύ,G47710,False,G47710,,26,1,1,53-1TH
27,", \w μνείαν|lemma=""μνεία"" strong=""G34170"" x-morph=""Gr,N,,,,,AFS,""",1,2, μνείαν,", ","Gr,N,,,,,AFS,",μνεία,G34170,False,G34170,,27,1,1,53-1TH
28," \w ποιούμενοι|lemma=""ποιέω"" strong=""G41600"" x-morph=""Gr,V,PPM,NMP,""",1,2, ποιούμενοι,,"Gr,V,PPM,NMP,",ποιέω,G41600,False,G41600,,28,1,1,53-1TH
29," \w ἐπὶ|lemma=""ἐπί"" strong=""G19090"" x-morph=""Gr,P,,,,,G,,,""",1,2, ἐπὶ,,"Gr,P,,,,,G,,,",ἐπί,G19090,False,G19090,,29,1,1,53-1TH
30," \w τῶν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GFP,""",1,2, τῶν,,"Gr,EA,,,,GFP,",ὁ,G35880,False,G35880,,30,1,1,53-1TH
31," \w προσευχῶν|lemma=""προσευχή"" strong=""G43350"" x-morph=""Gr,N,,,,,GFP,"" x-tw=""rc://*/tw/dict/bible/kt/pray""",1,2, προσευχῶν,,"Gr,N,,,,,GFP,",προσευχή,G43350,False,G43350,rc://*/tw/dict/bible/kt/pray,31,1,1,53-1TH
32," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,2, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,32,1,1,53-1TH
