index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,57-TIT
1,", \w δοῦλος|lemma=""δοῦλος"" strong=""G14010"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/other/servant""",1,1, δοῦλος,", ","Gr,N,,,,,NMS,",δοῦλος,G14010,False,G14010,rc://*/tw/dict/bible/other/servant,1,1,1,57-TIT
2," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,2,2,1,57-TIT
3,", \w ἀπόστολος|lemma=""ἀπόστολος"" strong=""G06520"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/apostle""",1,1, ἀπόστολος,", ","Gr,N,,,,,NMS,",ἀπόστολος,G06520,False,G06520,rc://*/tw/dict/bible/kt/apostle,3,1,1,57-TIT
4," \w δὲ|lemma=""δέ"" strong=""G11610"" x-morph=""Gr,CC,,,,,,,,""",1,1, δὲ,,"Gr,CC,,,,,,,,",δέ,G11610,False,G11610,,4,1,1,57-TIT
5," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,5,1,1,57-TIT
6," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,6,1,1,57-TIT
7,", \w κατὰ|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,1, κατὰ,", ","Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,7,1,1,57-TIT
8," \w πίστιν|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",1,1, πίστιν,,"Gr,N,,,,,AFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,8,1,1,57-TIT
9," \w ἐκλεκτῶν|lemma=""ἐκλεκτός"" strong=""G15880"" x-morph=""Gr,NS,,,,GMP,"" x-tw=""rc://*/tw/dict/bible/kt/elect""",1,1, ἐκλεκτῶν,,"Gr,NS,,,,GMP,",ἐκλεκτός,G15880,False,G15880,rc://*/tw/dict/bible/kt/elect,9,1,1,57-TIT
10," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,10,2,2,57-TIT
11,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,11,1,1,57-TIT
12," \w ἐπίγνωσιν|lemma=""ἐπίγνωσις"" strong=""G19220"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/other/know""",1,1, ἐπίγνωσιν,,"Gr,N,,,,,AFS,",ἐπίγνωσις,G19220,False,G19220,rc://*/tw/dict/bible/other/know,12,1,1,57-TIT
13," \w ἀληθείας|lemma=""ἀλήθεια"" strong=""G02250"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/true""",1,1, ἀληθείας,,"Gr,N,,,,,GFS,",ἀλήθεια,G02250,False,G02250,rc://*/tw/dict/bible/kt/true,13,1,1,57-TIT
14,", \w τῆς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RR,,,,GFS,""",1,1, τῆς,", ","Gr,RR,,,,GFS,",ὁ,G35880,False,G35880,,14,1,1,57-TIT
15," \w κατ’|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,1, κατ’,,"Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,15,1,1,57-TIT
