index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,58-PHM
1,", \w δέσμιος|lemma=""δέσμιος"" strong=""G11980"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/other/prison""",1,1, δέσμιος,", ","Gr,N,,,,,NMS,",δέσμιος,G11980,False,G11980,rc://*/tw/dict/bible/other/prison,1,1,1,58-PHM
2," \k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*\w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*","Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/jesus,2,1,1,58-PHM
3," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,,3,1,1,58-PHM
4,", \k-e\* \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", \k-e\* ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,4,2,1,58-PHM
5," \w Τιμόθεος|lemma=""Τιμόθεος"" strong=""G50950"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/timothy""",1,1, Τιμόθεος,,"Gr,N,,,,,NMS,",Τιμόθεος,G50950,False,G50950,rc://*/tw/dict/bible/names/timothy,5,1,1,58-PHM
6,", \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EP,,,,NMS,""",1,1, ὁ,", ","Gr,EP,,,,NMS,",ὁ,G35880,False,G35880,,6,1,1,58-PHM
7," \w ἀδελφὸς|lemma=""ἀδελφός"" strong=""G00800"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/brother""",1,1, ἀδελφὸς,,"Gr,N,,,,,NMS,",ἀδελφός,G00800,False,G00800,rc://*/tw/dict/bible/kt/brother,7,1,1,58-PHM
8,"; \w Φιλήμονι|lemma=""Φιλήμων"" strong=""G53710"" x-morph=""Gr,N,,,,,DMS,""",1,1, Φιλήμονι,; ,"Gr,N,,,,,DMS,",Φιλήμων,G53710,False,G53710,,8,1,1,58-PHM
9,", \w τῷ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMS,""",1,1, τῷ,", ","Gr,EA,,,,DMS,",ὁ,G35880,False,G35880,,9,1,1,58-PHM
10," \w ἀγαπητῷ|lemma=""ἀγαπητός"" strong=""G00270"" x-morph=""Gr,AR,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/beloved""",1,1, ἀγαπητῷ,,"Gr,AR,,,,DMS,",ἀγαπητός,G00270,False,G00270,rc://*/tw/dict/bible/kt/beloved,10,1,1,58-PHM
11," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,11,2,2,58-PHM
12," \w συνεργῷ|lemma=""συνεργός"" strong=""G49040"" x-morph=""Gr,NS,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/other/companion""",1,1, συνεργῷ,,"Gr,NS,,,,DMS,",συνεργός,G49040,False,G49040,rc://*/tw/dict/bible/other/companion,12,1,1,58-PHM
13," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,1, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,13,1,1,58-PHM
15,"\w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,15,3,1,58-PHM
