index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w πολυμερῶς|lemma=""πολυμερῶς"" strong=""G41810"" x-morph=""Gr,D,,,,,,,,,""",1,1, πολυμερῶς,,"Gr,D,,,,,,,,,",πολυμερῶς,G41810,False,G41810,,0,1,1,59-HEB
1," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,1,1,1,59-HEB
2," \w πολυτρόπως|lemma=""πολυτρόπως"" strong=""G41870"" x-morph=""Gr,D,,,,,,,,,""",1,1, πολυτρόπως,,"Gr,D,,,,,,,,,",πολυτρόπως,G41870,False,G41870,,2,1,1,59-HEB
3," \w πάλαι|lemma=""πάλαι"" strong=""G38190"" x-morph=""Gr,D,,,,,,,,,""",1,1, πάλαι,,"Gr,D,,,,,,,,,",πάλαι,G38190,False,G38190,,3,1,1,59-HEB
4,", \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NMS,""",1,1, ὁ,", ","Gr,EA,,,,NMS,",ὁ,G35880,False,G35880,,4,1,1,59-HEB
5," \w Θεὸς|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεὸς,,"Gr,N,,,,,NMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,5,1,1,59-HEB
6,", \w λαλήσας|lemma=""λαλέω"" strong=""G29800"" x-morph=""Gr,V,PAA,NMS,""",1,1, λαλήσας,", ","Gr,V,PAA,NMS,",λαλέω,G29800,False,G29800,,6,1,1,59-HEB
7," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMP,""",1,1, τοῖς,,"Gr,EA,,,,DMP,",ὁ,G35880,False,G35880,,7,2,1,59-HEB
8," \w πατράσιν|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/other/father""",1,1, πατράσιν,,"Gr,N,,,,,DMP,",πατήρ,G39620,False,G39620,rc://*/tw/dict/bible/other/father,8,1,1,59-HEB
9," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,1, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,9,1,1,59-HEB
