index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Πέτρος|lemma=""πέτρος"" strong=""G40740"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/peter""",1,1, Πέτρος,,"Gr,N,,,,,NMS,",πέτρος,G40740,False,G40740,rc://*/tw/dict/bible/names/peter,0,1,1,61-1PE
1,", \w ἀπόστολος|lemma=""ἀπόστολος"" strong=""G06520"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/apostle""",1,1, ἀπόστολος,", ","Gr,N,,,,,NMS,",ἀπόστολος,G06520,False,G06520,rc://*/tw/dict/bible/kt/apostle,1,1,1,61-1PE
2," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,2,1,1,61-1PE
3," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,3,1,1,61-1PE
4,"; \w ἐκλεκτοῖς|lemma=""ἐκλεκτός"" strong=""G15880"" x-morph=""Gr,AA,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/elect""",1,1, ἐκλεκτοῖς,; ,"Gr,AA,,,,DMP,",ἐκλεκτός,G15880,False,G15880,rc://*/tw/dict/bible/kt/elect,4,1,1,61-1PE
5," \w παρεπιδήμοις|lemma=""παρεπίδημος"" strong=""G39270"" x-morph=""Gr,NS,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/other/exile""",1,1, παρεπιδήμοις,,"Gr,NS,,,,DMP,",παρεπίδημος,G39270,False,G39270,rc://*/tw/dict/bible/other/exile,5,1,1,61-1PE
6," \w διασπορᾶς|lemma=""διασπορά"" strong=""G12900"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/other/disperse""",1,1, διασπορᾶς,,"Gr,N,,,,,GFS,",διασπορά,G12900,False,G12900,rc://*/tw/dict/bible/other/disperse,6,1,1,61-1PE
7," \w Πόντου|lemma=""Πόντος"" strong=""G41950"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/names/pontus""",1,1, Πόντου,,"Gr,N,,,,,GMS,",Πόντος,G41950,False,G41950,rc://*/tw/dict/bible/names/pontus,7,1,1,61-1PE
8,", \w Γαλατίας|lemma=""Γαλατία"" strong=""G10530"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/names/galatia""",1,1, Γαλατίας,", ","Gr,N,,,,,GFS,",Γαλατία,G10530,False,G10530,rc://*/tw/dict/bible/names/galatia,8,1,1,61-1PE
9,", \w Καππαδοκίας|lemma=""Καππαδοκία"" strong=""G25870"" x-morph=""Gr,N,,,,,GFS,""",1,1, Καππαδοκίας,", ","Gr,N,,,,,GFS,",Καππαδοκία,G25870,False,G25870,,9,1,1,61-1PE
10,", \w Ἀσίας|lemma=""Ἀσία"" strong=""G07730"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/names/asia""",1,1, Ἀσίας,", ","Gr,N,,,,,GFS,",Ἀσία,G07730,False,G07730,rc://*/tw/dict/bible/names/asia,10,1,1,61-1PE
11,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,11,1,1,61-1PE
12," \w Βιθυνίας|lemma=""Βιθυνία"" strong=""G09780"" x-morph=""Gr,N,,,,,GFS,""",1,1, Βιθυνίας,,"Gr,N,,,,,GFS,",Βιθυνία,G09780,False,G09780,,12,1,1,61-1PE
14,"\w κατὰ|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,2, κατὰ,,"Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,14,1,1,61-1PE
15," \w πρόγνωσιν|lemma=""πρόγνωσις"" strong=""G42680"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/other/foreordain""",1,2, πρόγνωσιν,,"Gr,N,,,,,AFS,",πρόγνωσις,G42680,False,G42680,rc://*/tw/dict/bible/other/foreordain,15,1,1,61-1PE
16," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,""",1,2, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,16,1,1,61-1PE
17," \w Πατρός|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,GMS,""",1,2, Πατρός,,"Gr,N,,,,,GMS,",πατήρ,G39620,False,G39620,,17,1,1,61-1PE
18," \k-e\* \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,2, ἐν,\k-e\* ,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,18,1,1,61-1PE
19," \w ἁγιασμῷ|lemma=""ἁγιασμός"" strong=""G00380"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/sanctify""",1,2, ἁγιασμῷ,,"Gr,N,,,,,DMS,",ἁγιασμός,G00380,False,G00380,rc://*/tw/dict/bible/kt/sanctify,19,1,1,61-1PE
