index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w ὃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,NNS,""",1,1, ὃ,,"Gr,RR,,,,NNS,",ὅς,G37390,False,G37390,,0,4,1,63-1JN
1," \w ἦν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IIA3,,S,""",1,1, ἦν,,"Gr,V,IIA3,,S,",εἰμί,G15100,False,G15100,,1,1,1,63-1JN
2," \w ἀπ’|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,1, ἀπ’,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,2,1,1,63-1JN
3," \w ἀρχῆς|lemma=""ἀρχή"" strong=""G07460"" x-morph=""Gr,N,,,,,GFS,""",1,1, ἀρχῆς,,"Gr,N,,,,,GFS,",ἀρχή,G07460,False,G07460,,3,1,1,63-1JN
4,", \w ὃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,ANS,""",1,1, ὃ,", ","Gr,RR,,,,ANS,",ὅς,G37390,False,G37390,,4,4,2,63-1JN
5," \w ἀκηκόαμεν|lemma=""ἀκούω"" strong=""G01910"" x-morph=""Gr,V,IEA1,,P,""",1,1, ἀκηκόαμεν,,"Gr,V,IEA1,,P,",ἀκούω,G01910,False,G01910,,5,1,1,63-1JN
6,", \w ὃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,ANS,""",1,1, ὃ,", ","Gr,RR,,,,ANS,",ὅς,G37390,False,G37390,,6,4,3,63-1JN
7," \w ἑωράκαμεν|lemma=""ὁράω"" strong=""G37080"" x-morph=""Gr,V,IEA1,,P,""",1,1, ἑωράκαμεν,,"Gr,V,IEA1,,P,",ὁράω,G37080,False,G37080,,7,1,1,63-1JN
8," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMP,""",1,1, τοῖς,,"Gr,EA,,,,DMP,",ὁ,G35880,False,G35880,,8,1,1,63-1JN
9," \w ὀφθαλμοῖς|lemma=""ὀφθαλμός"" strong=""G37880"" x-morph=""Gr,N,,,,,DMP,""",1,1, ὀφθαλμοῖς,,"Gr,N,,,,,DMP,",ὀφθαλμός,G37880,False,G37880,,9,1,1,63-1JN
10," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,1, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,10,2,1,63-1JN
11,", \w ὃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,ANS,""",1,1, ὃ,", ","Gr,RR,,,,ANS,",ὅς,G37390,False,G37390,,11,4,4,63-1JN
12," \w ἐθεασάμεθα|lemma=""θεάομαι"" strong=""G23000"" x-morph=""Gr,V,IAM1,,P,""",1,1, ἐθεασάμεθα,,"Gr,V,IAM1,,P,",θεάομαι,G23000,False,G23000,,12,1,1,63-1JN
13,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,13,1,1,63-1JN
14," \w αἱ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NFP,""",1,1, αἱ,,"Gr,EA,,,,NFP,",ὁ,G35880,False,G35880,,14,1,1,63-1JN
15," \w χεῖρες|lemma=""χείρ"" strong=""G54950"" x-morph=""Gr,N,,,,,NFP,"" x-tw=""rc://*/tw/dict/bible/other/hand""",1,1, χεῖρες,,"Gr,N,,,,,NFP,",χείρ,G54950,False,G54950,rc://*/tw/dict/bible/other/hand,15,1,1,63-1JN
16," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,1, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,16,2,2,63-1JN
17," \w ἐψηλάφησαν|lemma=""ψηλαφάω"" strong=""G55840"" x-morph=""Gr,V,IAA3,,P,""",1,1, ἐψηλάφησαν,,"Gr,V,IAA3,,P,",ψηλαφάω,G55840,False,G55840,,17,1,1,63-1JN
18,", \w περὶ|lemma=""περί"" strong=""G40120"" x-morph=""Gr,P,,,,,G,,,""",1,1, περὶ,", ","Gr,P,,,,,G,,,",περί,G40120,False,G40120,,18,1,1,63-1JN
19," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,1, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,19,1,1,63-1JN
20," \w λόγου|lemma=""λόγος"" strong=""G30560"" x-morph=""Gr,N,,,,,GMS,""",1,1, λόγου,,"Gr,N,,,,,GMS,",λόγος,G30560,False,G30560,,20,1,1,63-1JN
21," \w τῆς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GFS,""",1,1, τῆς,,"Gr,EA,,,,GFS,",ὁ,G35880,False,G35880,,21,1,1,63-1JN
22," \w ζωῆς|lemma=""ζωή"" strong=""G22220"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/life""",1,1, ζωῆς,,"Gr,N,,,,,GFS,",ζωή,G22220,False,G22220,rc://*/tw/dict/bible/kt/life,22,1,1,63-1JN
24,"\w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,24,5,1,63-1JN
25," \w ἡ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NFS,""",1,2, ἡ,,"Gr,EA,,,,NFS,",ὁ,G35880,False,G35880,,25,1,1,63-1JN
26," \w ζωὴ|lemma=""ζωή"" strong=""G22220"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/life""",1,2, ζωὴ,,"Gr,N,,,,,NFS,",ζωή,G22220,False,G22220,rc://*/tw/dict/bible/kt/life,26,1,1,63-1JN
27," \w ἐφανερώθη|lemma=""φανερόω"" strong=""G53190"" x-morph=""Gr,V,IAP3,,S,"" x-tw=""rc://*/tw/dict/bible/kt/reveal""",1,2, ἐφανερώθη,,"Gr,V,IAP3,,S,",φανερόω,G53190,False,G53190,rc://*/tw/dict/bible/kt/reveal,27,2,1,63-1JN
28,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,28,5,2,63-1JN
29," \w ἑωράκαμεν|lemma=""ὁράω"" strong=""G37080"" x-morph=""Gr,V,IEA1,,P,""",1,2, ἑωράκαμεν,,"Gr,V,IEA1,,P,",ὁράω,G37080,False,G37080,,29,1,1,63-1JN
30,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,30,5,3,63-1JN
31," \w μαρτυροῦμεν|lemma=""μαρτυρέω"" strong=""G31400"" x-morph=""Gr,V,IPA1,,P,"" x-tw=""rc://*/tw/dict/bible/kt/testimony""",1,2, μαρτυροῦμεν,,"Gr,V,IPA1,,P,",μαρτυρέω,G31400,False,G31400,rc://*/tw/dict/bible/kt/testimony,31,1,1,63-1JN
32,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,32,5,4,63-1JN
33," \w ἀπαγγέλλομεν|lemma=""ἀπαγγέλλω"" strong=""G05180"" x-morph=""Gr,V,IPA1,,P,"" x-tw=""rc://*/tw/dict/bible/other/declare""",1,2, ἀπαγγέλλομεν,,"Gr,V,IPA1,,P,",ἀπαγγέλλω,G05180,False,G05180,rc://*/tw/dict/bible/other/declare,33,1,1,63-1JN
34," \w ὑμῖν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,P,""",1,2, ὑμῖν,,"Gr,RP,,,2D,P,",σύ,G47710,False,G47710,,34,1,1,63-1JN
35," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",1,2, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,35,2,1,63-1JN
36," \w ζωὴν|lemma=""ζωή"" strong=""G22220"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/life""",1,2, ζωὴν,,"Gr,N,,,,,AFS,",ζωή,G22220,False,G22220,rc://*/tw/dict/bible/kt/life,36,1,1,63-1JN
37," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",1,2, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,37,2,2,63-1JN
38," \w αἰώνιον|lemma=""αἰώνιος"" strong=""G01660"" x-morph=""Gr,AR,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/eternity""",1,2, αἰώνιον,,"Gr,AR,,,,AFS,",αἰώνιος,G01660,False,G01660,rc://*/tw/dict/bible/kt/eternity,38,1,1,63-1JN
39,", \w ἥτις|lemma=""ὅστις"" strong=""G37480"" x-morph=""Gr,RR,,,,NFS,""",1,2, ἥτις,", ","Gr,RR,,,,NFS,",ὅστις,G37480,False,G37480,,39,1,1,63-1JN
40," \w ἦν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IIA3,,S,""",1,2, ἦν,,"Gr,V,IIA3,,S,",εἰμί,G15100,False,G15100,,40,1,1,63-1JN
41," \w πρὸς|lemma=""πρός"" strong=""G43140"" x-morph=""Gr,P,,,,,A,,,""",1,2, πρὸς,,"Gr,P,,,,,A,,,",πρός,G43140,False,G43140,,41,1,1,63-1JN
42," \w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMS,""",1,2, τὸν,,"Gr,EA,,,,AMS,",ὁ,G35880,False,G35880,,42,1,1,63-1JN
43," \w Πατέρα|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,AMS,"" x-tw=""rc://*/tw/dict/bible/kt/godthefather""",1,2, Πατέρα,,"Gr,N,,,,,AMS,",πατήρ,G39620,False,G39620,rc://*/tw/dict/bible/kt/godthefather,43,1,1,63-1JN
44,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,44,5,5,63-1JN
45," \w ἐφανερώθη|lemma=""φανερόω"" strong=""G53190"" x-morph=""Gr,V,IAP3,,S,"" x-tw=""rc://*/tw/dict/bible/kt/reveal""",1,2, ἐφανερώθη,,"Gr,V,IAP3,,S,",φανερόω,G53190,False,G53190,rc://*/tw/dict/bible/kt/reveal,45,2,2,63-1JN
46," \w ἡμῖν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1D,P,""",1,2, ἡμῖν,,"Gr,RP,,,1D,P,",ἐγώ,G14730,False,G14730,,46,1,1,63-1JN
48,"\w ὃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,ANS,""",1,3, ὃ,,"Gr,RR,,,,ANS,",ὅς,G37390,False,G37390,,48,1,1,63-1JN
49," \w ἑωράκαμεν|lemma=""ὁράω"" strong=""G37080"" x-morph=""Gr,V,IEA1,,P,""",1,3, ἑωράκαμεν,,"Gr,V,IEA1,,P,",ὁράω,G37080,False,G37080,,49,1,1,63-1JN
50,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,3, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,50,5,1,63-1JN
51," \w ἀκηκόαμεν|lemma=""ἀκούω"" strong=""G01910"" x-morph=""Gr,V,IEA1,,P,""",1,3, ἀκηκόαμεν,,"Gr,V,IEA1,,P,",ἀκούω,G01910,False,G01910,,51,1,1,63-1JN
52,", \w ἀπαγγέλλομεν|lemma=""ἀπαγγέλλω"" strong=""G05180"" x-morph=""Gr,V,IPA1,,P,"" x-tw=""rc://*/tw/dict/bible/other/declare""",1,3, ἀπαγγέλλομεν,", ","Gr,V,IPA1,,P,",ἀπαγγέλλω,G05180,False,G05180,rc://*/tw/dict/bible/other/declare,52,1,1,63-1JN
53," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,D,,,,,,,,,""",1,3, καὶ,,"Gr,D,,,,,,,,,",καί,G25320,False,G25320,,53,5,2,63-1JN
54," \w ὑμῖν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,P,""",1,3, ὑμῖν,,"Gr,RP,,,2D,P,",σύ,G47710,False,G47710,,54,1,1,63-1JN
55,", \w ἵνα|lemma=""ἵνα"" strong=""G24430"" x-morph=""Gr,CS,,,,,,,,""",1,3, ἵνα,", ","Gr,CS,,,,,,,,",ἵνα,G24430,False,G24430,,55,1,1,63-1JN
56," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,D,,,,,,,,,""",1,3, καὶ,,"Gr,D,,,,,,,,,",καί,G25320,False,G25320,,56,5,3,63-1JN
57," \w ὑμεῖς|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2N,P,""",1,3, ὑμεῖς,,"Gr,RP,,,2N,P,",σύ,G47710,False,G47710,,57,1,1,63-1JN
58," \w κοινωνίαν|lemma=""κοινωνία"" strong=""G28420"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/fellowship""",1,3, κοινωνίαν,,"Gr,N,,,,,AFS,",κοινωνία,G28420,False,G28420,rc://*/tw/dict/bible/kt/fellowship,58,1,1,63-1JN
59," \w ἔχητε|lemma=""ἔχω"" strong=""G21920"" x-morph=""Gr,V,SPA2,,P,""",1,3, ἔχητε,,"Gr,V,SPA2,,P,",ἔχω,G21920,False,G21920,,59,1,1,63-1JN
